VERB_lemma	VERB_lexical	Prep_lemma	Prep_lexical	PP_head_lemma	PP_head_lexical	PP_head_POS
employ	employ	at	at	level	level	NOUN
work	working	for	for	side	side	NOUN
assassinate	assassinated	with	with	driver	driver	NOUN
demonstrate	demonstrated	in	in	Baghdad	Baghdad	PROPN
run	running	on	on	list	lists	NOUN
marginalize	marginalized	within	within	Iraq	Iraq	PROPN
recall	recalled	to	to	duty	duty	NOUN
continue	continues	in	in	area	areas	NOUN
surround	surrounded	by	by	troops	troops	NOUN
sign	signed	by	by	Abdul	Abdul	PROPN
promote	promoted	by	by	Society	Society	PROPN
throw	thrown	with	with	States	States	PROPN
catapult	catapult	to	to	power	power	NOUN
run	run	for	for	president	president	NOUN
refer	referring	to	to	President	President	PROPN
take	taking	to	to	task	task	NOUN
make	made	in	in	part	part	ADJ
come	came	to	to	power	power	NOUN
play	play	with	with	India	India	PROPN
bring	bringing	to	to	region	region	NOUN
withdraw	withdrew	from	from	territory	territory	NOUN
side	side	with	with	coreligionist	coreligionists	NOUN
get	get	from	from	sale	sales	NOUN
trade	trading	for	for	peace	peace	NOUN
back	backed	by	by	LTTE	LTTE	PROPN
hold	held	in	in	stronghold	stronghold	NOUN
hold	held	at	at	airport	airport	NOUN
deploy	deployed	as	as	peacekeeper	peacekeepers	NOUN
pull	pull	from	from	Lanka	Lanka	PROPN
negotiate	negotiated	by	by	party	parties	NOUN
back	backed	by	by	LTTE	LTTE	PROPN
separate	separated	from	from	peninsula	peninsula	NOUN
even	even	with	with	India	India	PROPN
indulge	indulged	in	in	bout	bout	NOUN
impugn	impugned	on	on	report	report	NOUN
see	saw	in	in	theater	theater	NOUN
send	sent	to	to	I	me	PRON
show	show	for	for	duty	duty	NOUN
focus	focus	on	on	portion	portion	NOUN
fly	flew	with	with	Bush	Bush	PROPN
engage	engaging	in	in	attack	attacks	NOUN
make	made	by	by	Sha'lan	Sha'lan	PROPN
root	rooting	for	for	party	party	PROPN
return	return	to	to	power	power	NOUN
take	taken	into	into	custody	custody	NOUN
seem	seem	like	like	history	history	NOUN
stifle	stifled	by	by	they	them	PRON
have	had	with	with	girl	girl	NOUN
have	have	in	in	northwest	northwest	NOUN
feature	featured	in	in	show	show	NOUN
look	looking	into	into	immigration	immigration	NOUN
