original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
8 17 6 15 21 30 19 28
14 17 12 15 21 24 19 22
18 19 16 17 21 22 19 20
4 5 2 3 7 8 5 6
49 51 47 49 53 55 51 53
8 13 6 11 11 16 9 14
29 38 27 36 31 40 29 38
7 8 5 6 12 13 10 11
7 10 5 8 9 12 7 10
11 11 9 9 15 15 13 13
5 5 3 3 9 9 7 7
16 14 14 12 19 17 17 15
4 5 2 3 7 8 5 6
32 45 30 43 36 49 34 47
7 8 5 6 10 11 8 9
6 8 4 6 8 10 6 8
5 5 3 3 9 9 7 7
7 8 5 6 10 11 8 9
8 8 6 6 11 11 9 9
4 6 2 4 8 10 6 8
13 9 11 7 17 13 15 11
14 9 12 7 17 12 15 10
9 9 7 7 13 13 11 11
28 22 26 20 31 25 29 23
6 5 4 3 11 10 9 8
10 8 8 6 15 13 13 11
11 10 9 8 16 15 14 13
7 6 5 4 12 11 10 9
6 6 4 4 9 9 7 7
6 9 4 7 9 12 7 10
10 9 8 7 15 14 13 12
4 4 2 2 6 6 4 4
8 8 6 6 14 14 12 12
21 12 19 10 24 15 22 13
6 7 4 5 13 14 11 12
42 59 40 57 45 62 43 60
11 11 9 9 15 15 13 13
9 9 7 7 15 15 13 13
5 7 3 5 11 13 9 11
9 9 7 7 15 15 13 13
36 35 34 33 39 38 37 36
11 16 9 14 15 20 13 18
6 8 4 6 11 13 9 11
30 29 28 27 35 34 33 32
13 10 11 8 16 13 14 11
11 16 9 14 15 20 13 18
13 15 11 13 16 18 14 16
10 11 8 9 16 17 14 15
12 12 10 10 17 17 15 15
8 9 6 7 13 14 11 12
8 9 6 7 11 12 9 10
5 5 3 3 9 9 7 7
6 6 4 4 8 8 6 6
10 9 8 7 17 16 15 14
7 10 5 8 9 12 7 10
8 9 6 7 13 14 11 12
27 34 25 32 30 37 28 35
5 6 3 4 10 11 8 9
10 10 8 8 12 12 10 10
18 17 16 15 23 22 21 20
11 14 9 12 15 18 13 16
7 8 5 6 12 13 10 11
12 11 10 9 17 16 15 14
9 7 7 5 13 11 11 9
13 10 11 8 17 14 15 12
80 128 78 126 85 133 83 131
20 20 18 18 24 24 22 22
12 18 10 16 16 22 14 20
7 11 5 9 10 14 8 12
5 6 3 4 10 11 8 9
6 9 4 7 9 12 7 10
12 13 10 11 15 16 13 14
19 16 17 14 23 20 21 18
29 21 27 19 34 26 32 24
9 8 7 6 14 13 12 11
12 17 10 15 16 21 14 19
5 7 3 5 8 10 6 8
6 7 4 5 9 10 7 8
9 9 7 7 13 13 11 11
14 17 12 15 18 21 16 19
10 15 8 13 14 19 12 17
12 15 10 13 16 19 14 17
13 11 11 9 17 15 15 13
10 13 8 11 13 16 11 14
5 7 3 5 9 11 7 9
4 5 2 3 7 8 5 6
10 13 8 11 13 16 11 14
10 12 8 10 14 16 12 14
25 40 23 38 29 44 27 42
19 17 17 15 22 20 20 18
22 22 20 20 25 25 23 23
11 13 9 11 15 17 13 15
