original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
10 13 8 11 8 11 6 9
6 6 4 4 4 4 2 2
7 6 5 4 5 4 3 2
14 17 12 15 12 15 10 13
7 8 5 6 5 6 3 4
7 13 5 11 5 11 3 9
6 6 4 4 4 4 2 2
19 24 17 22 17 22 15 20
10 8 8 6 8 6 6 4
8 10 6 8 6 8 4 6
8 10 6 8 6 8 4 6
16 26 14 24 14 24 12 22
8 6 6 4 6 4 4 2
19 12 17 10 17 10 15 8
6 9 4 7 4 7 2 5
8 8 6 6 6 6 4 4
15 19 13 17 13 17 11 15
25 29 23 27 23 27 21 25
14 22 12 20 12 20 10 18
6 8 4 6 4 6 2 4
12 7 10 5 10 5 8 3
7 6 5 4 5 4 3 2
10 32 8 30 8 30 6 28
13 12 11 10 11 10 9 8
6 8 4 6 4 6 2 4
20 39 18 37 18 37 16 35
6 11 4 9 4 9 2 7
17 19 15 17 15 17 13 15
6 7 4 5 4 5 2 3
26 31 24 29 24 29 22 27
6 16 4 14 4 14 2 12
11 14 9 12 9 12 7 10
7 10 5 8 4 7 2 5
31 47 29 45 29 45 27 43
12 12 10 10 10 10 8 8
8 10 6 8 6 8 4 6
14 14 12 12 12 12 10 10
14 16 12 14 12 14 10 12
15 14 13 12 13 12 11 10
6 15 4 13 4 13 2 11
21 33 19 31 19 31 17 29
9 10 7 8 7 8 5 6
26 23 24 21 24 21 22 19
7 9 5 7 5 7 3 5
6 6 4 4 4 4 2 2
7 8 5 6 5 6 3 4
11 23 9 21 8 20 6 18
19 22 17 20 17 20 15 18
8 9 6 7 6 7 4 5
6 7 4 5 4 5 2 3
6 11 4 9 4 9 2 7
22 22 20 20 18 18 16 16
15 10 13 8 11 6 9 4
31 47 29 45 29 45 27 43
10 13 8 11 8 11 6 9
7 9 5 7 4 6 2 4
8 8 6 6 5 5 3 3
6 6 4 4 4 4 2 2
6 10 4 8 4 8 2 6
10 12 8 10 8 10 6 8
12 20 10 18 10 18 8 16
7 14 5 12 5 12 3 10
14 18 12 16 12 16 10 14
7 9 5 7 4 6 2 4
8 10 6 8 6 8 4 6
38 40 36 38 36 38 34 36
6 7 4 5 4 5 2 3
8 9 6 7 6 7 4 5
8 10 6 8 6 8 4 6
7 13 5 11 5 11 3 9
6 6 4 4 4 4 2 2
7 8 5 6 5 6 3 4
16 35 14 33 14 33 12 31
14 19 12 17 12 17 10 15
10 20 8 18 8 18 6 16
15 20 13 18 13 18 11 16
10 11 8 9 8 9 6 7
34 18 32 16 32 16 30 14
17 19 15 17 15 17 13 15
14 28 12 26 12 26 10 24
27 31 25 29 25 29 23 27
12 9 10 7 10 7 8 5
7 9 5 7 4 6 2 4
18 24 16 22 16 22 14 20
10 7 8 5 8 5 6 3
6 18 4 16 4 16 2 14
8 8 6 6 6 6 4 4
8 7 6 5 6 5 4 3
7 16 5 14 5 14 3 12
10 10 8 8 8 8 6 6
7 9 5 7 5 7 3 5
7 16 5 14 5 14 3 12
10 11 8 9 8 9 6 7
10 22 8 20 8 20 6 18
12 9 10 7 10 7 8 5
6 9 4 7 4 7 2 5
11 12 9 10 7 8 5 6
19 17 17 15 17 15 15 13
18 22 16 20 16 20 14 18
13 16 11 14 11 14 9 12
6 18 4 16 4 16 2 14
20 27 18 25 18 25 16 23
8 7 6 5 6 5 4 3
8 12 6 10 6 10 4 8
16 23 14 21 14 21 12 19
7 34 5 32 5 32 3 30
7 8 5 6 5 6 3 4
15 14 13 12 13 12 11 10
11 22 9 20 8 19 6 17
8 6 6 4 6 4 4 2
10 12 8 10 8 10 6 8
8 21 6 19 6 19 4 17
6 8 4 6 4 6 2 4
8 12 6 10 6 10 4 8
9 8 7 6 7 6 5 4
12 21 10 19 10 19 8 17
8 8 6 6 6 6 4 4
34 43 32 41 32 41 30 39
8 11 6 9 6 9 4 7
16 25 14 23 14 23 12 21
15 19 13 17 13 17 11 15
23 14 21 12 21 12 19 10
8 16 6 14 6 14 4 12
11 21 9 19 8 18 6 16
6 8 4 6 4 6 2 4
7 19 5 17 5 17 3 15
11 11 9 9 9 9 7 7
7 7 5 5 5 5 3 3
6 7 4 5 4 5 2 3
18 16 16 14 16 14 14 12
11 14 9 12 9 12 7 10
27 41 25 39 25 39 23 37
6 18 4 16 4 16 2 14
11 17 9 15 9 15 7 13
9 11 7 9 7 9 5 7
11 8 9 6 9 6 7 4
15 17 13 15 13 15 11 13
16 22 14 20 14 20 12 18
7 9 5 7 5 7 3 5
30 30 28 28 26 26 24 24
10 10 8 8 7 7 5 5
13 8 11 6 11 6 9 4
6 8 4 6 4 6 2 4
10 11 8 9 8 9 6 7
36 34 34 32 34 32 32 30
14 14 12 12 11 11 9 9
6 12 4 10 4 10 2 8
7 9 5 7 5 7 3 5
7 8 5 6 5 6 3 4
15 14 13 12 10 9 8 7
7 8 5 6 5 6 3 4
6 15 4 13 4 13 2 11
11 14 9 12 8 11 6 9
16 19 14 17 14 17 12 15
7 7 5 5 5 5 3 3
11 13 9 11 9 11 7 9
7 9 5 7 5 7 3 5
7 6 5 4 5 4 3 2
30 25 28 23 28 23 26 21
27 37 25 35 24 34 22 32
15 20 13 18 12 17 10 15
9 46 7 44 7 44 5 42
8 9 6 7 5 6 3 4
10 15 8 13 8 13 6 11
19 17 17 15 17 15 15 13
12 26 10 24 10 24 8 22
16 10 14 8 14 8 12 6
10 17 8 15 8 15 6 13
16 32 14 30 14 30 12 28
7 10 5 8 5 8 3 6
13 15 11 13 11 13 9 11
12 14 10 12 10 12 8 10
6 10 4 8 4 8 2 6
8 9 6 7 6 7 4 5
13 17 11 15 11 15 9 13
7 9 5 7 4 6 2 4
12 65 10 63 10 63 8 61
8 7 6 5 6 5 4 3
6 16 4 14 4 14 2 12
14 28 12 26 11 25 9 23
30 37 28 35 28 35 26 33
13 15 11 13 11 13 9 11
13 13 11 11 11 11 9 9
6 8 4 6 4 6 2 4
23 22 21 20 21 20 19 18
11 11 9 9 9 9 7 7
16 14 14 12 14 12 12 10
13 23 11 21 11 21 9 19
15 27 13 25 13 25 11 23
24 24 22 22 22 22 20 20
22 32 20 30 20 30 18 28
12 11 10 9 10 9 8 7
19 25 17 23 15 21 13 19
10 10 8 8 8 8 6 6
7 12 5 10 5 10 3 8
10 14 8 12 8 12 6 10
6 6 4 4 4 4 2 2
9 21 7 19 7 19 5 17
14 29 12 27 12 27 10 25
13 30 11 28 11 28 9 26
10 13 8 11 8 11 6 9
9 9 7 7 7 7 5 5
6 6 4 4 4 4 2 2
18 21 16 19 16 19 14 17
20 16 18 14 18 14 16 12
9 34 7 32 6 31 4 29
20 40 18 38 18 38 16 36
26 29 24 27 24 27 22 25
33 67 31 65 30 64 28 62
22 18 20 16 20 16 18 14
11 22 9 20 9 20 7 18
15 11 13 9 13 9 11 7
20 30 18 28 18 28 16 26
7 6 5 4 5 4 3 2
20 19 18 17 18 17 16 15
9 16 7 14 7 14 5 12
7 13 5 11 4 10 2 8
8 13 6 11 6 11 4 9
12 20 10 18 10 18 8 16
18 29 16 27 15 26 13 24
37 52 35 50 35 50 33 48
18 19 16 17 16 17 14 15
18 12 16 10 16 10 14 8
33 31 31 29 31 29 29 27
26 27 24 25 24 25 22 23
13 35 11 33 11 33 9 31
19 22 17 20 17 20 15 18
30 38 28 36 28 36 26 34
16 14 14 12 14 12 12 10
6 13 4 11 4 11 2 9
8 21 6 19 5 18 3 16
7 7 5 5 5 5 3 3
10 17 8 15 8 15 6 13
6 21 4 19 4 19 2 17
19 23 17 21 17 21 15 19
7 9 5 7 4 6 2 4
11 52 9 50 8 49 6 47
9 16 7 14 7 14 5 12
10 7 8 5 8 5 6 3
13 14 11 12 10 11 8 9
20 28 18 26 18 26 16 24
10 16 8 14 8 14 6 12
19 28 17 26 15 24 13 22
24 21 22 19 22 19 20 17
8 14 6 12 6 12 4 10
37 52 35 50 35 50 33 48
7 6 5 4 5 4 3 2
21 23 19 21 19 21 17 19
10 14 8 12 8 12 6 10
6 6 4 4 4 4 2 2
20 13 18 11 18 11 16 9
23 25 21 23 21 23 19 21
15 16 13 14 13 14 11 12
34 34 32 32 32 32 30 30
20 24 18 22 18 22 16 20
7 7 5 5 5 5 3 3
9 11 7 9 7 9 5 7
50 55 48 53 46 51 44 49
9 7 7 5 7 5 5 3
7 13 5 11 5 11 3 9
13 18 11 16 11 16 9 14
16 27 14 25 14 25 12 23
8 10 6 8 6 8 4 6
13 9 11 7 11 7 9 5
8 6 6 4 6 4 4 2
8 41 6 39 5 38 3 36
9 11 7 9 7 9 5 7
7 40 5 38 5 38 3 36
14 13 12 11 10 9 8 7
8 7 6 5 5 4 3 2
6 15 4 13 4 13 2 11
