original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 10 6 8 4 6 2 4
6 6 4 4 4 4 2 2
13 14 11 12 10 11 8 9
13 14 11 12 10 11 8 9
7 11 5 9 4 8 2 6
7 8 5 6 4 5 2 3
8 13 6 11 5 10 3 8
6 8 4 6 4 6 2 4
16 27 14 25 14 25 12 23
15 14 13 12 13 12 11 10
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
7 12 5 10 4 9 2 7
8 7 6 5 5 4 3 2
8 19 6 17 5 16 3 14
11 12 9 10 8 9 6 7
9 18 7 16 6 15 4 13
11 10 9 8 9 8 7 6
15 9 13 7 12 6 10 4
9 11 7 9 6 8 4 6
17 26 15 24 6 15 4 13
8 14 6 12 4 10 2 8
12 14 10 12 8 10 6 8
9 11 7 9 6 8 4 6
18 20 16 18 14 16 12 14
6 8 4 6 4 6 2 4
9 9 7 7 5 5 3 3
8 13 6 11 5 10 3 8
9 9 7 7 5 5 3 3
6 7 4 5 4 5 2 3
10 13 8 11 6 9 4 7
9 9 7 7 5 5 3 3
6 11 4 9 4 9 2 7
8 7 6 5 5 4 3 2
28 30 26 28 25 27 23 25
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
18 12 16 10 15 9 13 7
9 9 7 7 5 5 3 3
11 13 9 11 7 9 5 7
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
11 13 9 11 9 11 7 9
13 16 11 14 11 14 9 12
10 12 8 10 6 8 4 6
9 7 7 5 7 5 5 3
14 10 12 8 11 7 9 5
11 11 9 9 7 7 5 5
10 12 8 10 6 8 4 6
16 10 14 8 14 8 12 6
7 8 5 6 4 5 2 3
15 14 13 12 13 12 11 10
10 8 8 6 8 6 6 4
10 11 8 9 8 9 6 7
6 6 4 4 4 4 2 2
9 7 7 5 7 5 5 3
12 10 10 8 9 7 7 5
6 8 4 6 4 6 2 4
8 9 6 7 5 6 3 4
19 18 17 16 15 14 13 12
6 10 4 8 4 8 2 6
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
11 31 9 29 7 27 5 25
12 19 10 17 7 14 5 12
8 7 6 5 5 4 3 2
7 8 5 6 4 5 2 3
8 10 6 8 4 6 2 4
13 9 11 7 9 5 7 3
7 8 5 6 4 5 2 3
12 10 10 8 9 7 7 5
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
11 9 9 7 9 7 7 5
12 12 10 10 7 7 5 5
8 7 6 5 5 4 3 2
10 15 8 13 8 13 6 11
8 7 6 5 5 4 3 2
9 9 7 7 6 6 4 4
8 7 6 5 5 4 3 2
8 7 6 5 5 4 3 2
7 8 5 6 4 5 2 3
10 9 8 7 7 6 5 4
9 9 7 7 5 5 3 3
9 12 7 10 5 8 3 6
19 10 17 8 16 7 14 5
11 16 9 14 9 14 7 12
9 12 7 10 7 10 5 8
6 9 4 7 4 7 2 5
8 7 6 5 5 4 3 2
8 7 6 5 5 4 3 2
13 12 11 10 11 10 9 8
16 10 14 8 13 7 11 5
22 23 20 21 19 20 17 18
8 10 6 8 4 6 2 4
8 8 6 6 5 5 3 3
10 10 8 8 7 7 5 5
6 8 4 6 4 6 2 4
28 33 26 31 22 27 20 25
12 9 10 7 9 6 7 4
7 8 5 6 5 6 3 4
6 8 4 6 4 6 2 4
20 12 18 10 18 10 16 8
6 6 4 4 4 4 2 2
12 13 10 11 7 8 5 6
14 23 12 21 12 21 10 19
17 13 15 11 13 9 11 7
11 20 9 18 9 18 7 16
14 25 12 23 10 21 8 19
10 15 8 13 8 13 6 11
12 10 10 8 10 8 8 6
19 21 17 19 14 16 12 14
8 8 6 6 6 6 4 4
8 7 6 5 5 4 3 2
10 6 8 4 8 4 6 2
11 14 9 12 8 11 6 9
10 8 8 6 6 4 4 2
15 16 13 14 13 14 11 12
10 13 8 11 7 10 5 8
8 7 6 5 5 4 3 2
13 10 11 8 8 5 6 3
9 10 7 8 6 7 4 5
9 9 7 7 6 6 4 4
10 20 8 18 6 16 4 14
8 8 6 6 6 6 4 4
8 7 6 5 5 4 3 2
8 10 6 8 6 8 4 6
6 6 4 4 4 4 2 2
9 12 7 10 5 8 3 6
7 11 5 9 4 8 2 6
9 11 7 9 5 7 3 5
11 14 9 12 9 12 7 10
14 14 12 12 12 12 10 10
15 9 13 7 13 7 11 5
9 10 7 8 7 8 5 6
12 12 10 10 10 10 8 8
9 11 7 9 7 9 5 7
8 10 6 8 6 8 4 6
30 35 28 33 24 29 22 27
9 10 7 8 6 7 4 5
10 13 8 11 8 11 6 9
10 7 8 5 7 4 5 2
8 7 6 5 5 4 3 2
9 9 7 7 5 5 3 3
9 11 7 9 5 7 3 5
10 33 8 31 8 31 6 29
12 11 10 9 9 8 7 6
6 10 4 8 4 8 2 6
6 18 4 16 4 16 2 14
10 8 8 6 7 5 5 3
12 12 10 10 9 9 7 7
10 14 8 12 8 12 6 10
8 7 6 5 5 4 3 2
15 15 13 13 11 11 9 9
9 9 7 7 5 5 3 3
19 18 17 16 16 15 14 13
8 11 6 9 5 8 3 6
8 10 6 8 5 7 3 5
12 8 10 6 8 4 6 2
