original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 7 4 5 9 10 7 8
8 10 6 8 10 12 8 10
5 5 3 3 8 8 6 6
10 7 8 5 12 9 10 7
4 4 2 2 6 6 4 4
8 8 6 6 10 10 8 8
19 17 17 15 21 19 19 17
8 8 6 6 12 12 10 10
7 5 5 3 10 8 8 6
17 25 15 23 20 28 18 26
20 16 18 14 22 18 20 16
10 9 8 7 13 12 11 10
10 14 8 12 12 16 10 14
7 7 5 5 11 11 9 9
4 5 2 3 7 8 5 6
5 4 3 2 8 7 6 5
14 12 12 10 16 14 14 12
10 8 8 6 12 10 10 8
11 12 9 10 14 15 12 13
11 15 9 13 15 19 13 17
16 23 14 21 20 27 18 25
6 6 4 4 8 8 6 6
10 8 8 6 14 12 12 10
6 4 4 2 9 7 7 5
6 7 4 5 9 10 7 8
11 9 9 7 15 13 13 11
8 8 6 6 10 10 8 8
5 5 3 3 9 9 7 7
6 4 4 2 9 7 7 5
6 6 4 4 8 8 6 6
7 5 5 3 11 9 9 7
12 11 10 9 15 14 13 12
12 15 10 13 15 18 13 16
10 10 8 8 12 12 10 10
10 11 8 9 13 14 11 12
5 4 3 2 8 7 6 5
7 8 5 6 12 13 10 11
17 21 15 19 20 24 18 22
7 8 5 6 11 12 9 10
14 17 12 15 17 20 15 18
11 9 9 7 15 13 13 11
5 5 3 3 9 9 7 7
15 16 13 14 21 22 19 20
11 9 9 7 15 13 13 11
5 4 3 2 8 7 6 5
8 8 6 6 11 11 9 9
16 13 14 11 19 16 17 14
10 9 8 7 13 12 11 10
15 10 13 8 18 13 16 11
6 6 4 4 8 8 6 6
5 6 3 4 8 9 6 7
7 6 5 4 10 9 8 7
7 6 5 4 10 9 8 7
12 11 10 9 15 14 13 12
21 20 19 18 24 23 22 21
12 10 10 8 15 13 13 11
18 12 16 10 21 15 19 13
4 4 2 2 6 6 4 4
14 10 12 8 16 12 14 10
13 17 11 15 15 19 13 17
4 5 2 3 7 8 5 6
18 15 16 13 21 18 19 16
7 7 5 5 11 11 9 9
10 8 8 6 14 12 12 10
20 28 18 26 23 31 21 29
10 13 8 11 14 17 12 15
15 14 13 12 18 17 16 15
14 18 12 16 16 20 14 18
15 13 13 11 17 15 15 13
12 12 10 10 14 14 12 12
9 12 7 10 11 14 9 12
22 16 20 14 25 19 23 17
6 7 4 5 9 10 7 8
4 4 2 2 6 6 4 4
6 7 4 5 9 10 7 8
10 12 8 10 16 18 14 16
13 11 11 9 16 14 14 12
