original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
9 21 7 19 6 18 4 16
27 31 25 29 23 27 21 25
13 20 11 18 8 15 6 13
22 42 20 40 17 37 15 35
14 16 12 14 10 12 8 10
8 13 6 11 5 10 3 8
20 20 18 18 16 16 14 14
22 31 20 29 15 24 13 22
15 13 13 11 13 11 11 9
12 15 10 13 7 10 5 8
12 11 10 9 9 8 7 6
13 12 11 10 9 8 7 6
18 22 16 20 14 18 12 16
26 21 24 19 24 19 22 17
10 22 8 20 7 19 5 17
6 6 4 4 4 4 2 2
12 12 10 10 6 6 4 4
13 14 11 12 6 7 4 5
18 26 16 24 11 19 9 17
16 17 14 15 10 11 8 9
13 14 11 12 9 10 7 8
10 11 8 9 7 8 5 6
12 16 10 14 8 12 6 10
9 9 7 7 5 5 3 3
12 13 10 11 9 10 7 8
18 18 16 16 16 16 14 14
13 22 11 20 10 19 8 17
14 23 12 21 11 20 9 18
21 25 19 23 18 22 16 20
11 12 9 10 7 8 5 6
8 10 6 8 5 7 3 5
23 25 21 23 20 22 18 20
15 11 13 9 11 7 9 5
12 31 10 29 9 28 7 26
12 16 10 14 8 12 6 10
26 16 24 14 21 11 19 9
17 27 15 25 14 24 12 22
7 9 5 7 4 6 2 4
30 47 28 45 25 42 23 40
10 10 8 8 7 7 5 5
17 17 15 15 13 13 11 11
17 18 15 16 13 14 11 12
32 36 30 34 29 33 27 31
28 27 26 25 23 22 21 20
14 16 12 14 10 12 8 10
12 10 10 8 8 6 6 4
10 12 8 10 6 8 4 6
9 10 7 8 6 7 4 5
9 11 7 9 6 8 4 6
11 17 9 15 5 11 3 9
15 16 13 14 13 14 11 12
11 12 9 10 6 7 4 5
11 7 9 5 8 4 6 2
11 15 9 13 7 11 5 9
16 14 14 12 14 12 12 10
7 12 5 10 4 9 2 7
13 11 11 9 9 7 7 5
11 11 9 9 9 9 7 7
17 14 15 12 13 10 11 8
15 16 13 14 11 12 9 10
25 27 23 25 19 21 17 19
19 23 17 21 15 19 13 17
10 12 8 10 6 8 4 6
22 23 20 21 18 19 16 17
24 42 22 40 20 38 18 36
11 14 9 12 7 10 5 8
16 17 14 15 12 13 10 11
14 27 12 25 9 22 7 20
6 19 4 17 4 17 2 15
13 11 11 9 10 8 8 6
16 19 14 17 11 14 9 12
7 9 5 7 5 7 3 5
15 14 13 12 11 10 9 8
21 22 19 20 17 18 15 16
21 58 19 56 17 54 15 52
11 14 9 12 6 9 4 7
16 16 14 14 12 12 10 10
13 15 11 13 11 13 9 11
11 7 9 5 8 4 6 2
36 41 34 39 33 38 31 36
13 6 11 4 11 4 9 2
18 19 16 17 15 16 13 14
18 19 16 17 15 16 13 14
13 13 11 11 9 9 7 7
14 11 12 9 11 8 9 6
18 11 16 9 13 6 11 4
15 18 13 16 7 10 5 8
12 11 10 9 8 7 6 5
9 13 7 11 6 10 4 8
20 35 18 33 14 29 12 27
41 58 39 56 34 51 32 49
11 11 9 9 9 9 7 7
6 7 4 5 4 5 2 3
6 7 4 5 4 5 2 3
8 8 6 6 6 6 4 4
26 19 24 17 23 16 21 14
11 11 9 9 7 7 5 5
15 13 13 11 11 9 9 7
18 42 16 40 15 39 13 37
15 12 13 10 11 8 9 6
22 27 20 25 18 23 16 21
18 22 16 20 14 18 12 16
20 16 18 14 16 12 14 10
11 12 9 10 7 8 5 6
13 48 11 46 8 43 6 41
10 11 8 9 8 9 6 7
14 12 12 10 8 6 6 4
12 12 10 10 9 9 7 7
11 16 9 14 9 14 7 12
20 21 18 19 17 18 15 16
25 24 23 22 21 20 19 18
10 11 8 9 5 6 3 4
12 12 10 10 7 7 5 5
10 11 8 9 6 7 4 5
25 25 23 23 21 21 19 19
11 29 9 27 6 24 4 22
21 26 19 24 16 21 14 19
10 15 8 13 7 12 5 10
8 7 6 5 5 4 3 2
8 7 6 5 5 4 3 2
12 23 10 21 8 19 6 17
7 11 5 9 4 8 2 6
10 10 8 8 7 7 5 5
38 38 36 36 34 34 32 32
11 13 9 11 7 9 5 7
13 37 11 35 10 34 8 32
14 32 12 30 11 29 9 27
17 17 15 15 13 13 11 11
23 35 21 33 19 31 17 29
7 9 5 7 4 6 2 4
20 32 18 30 16 28 14 26
19 22 17 20 17 20 15 18
16 16 14 14 13 13 11 11
11 20 9 18 7 16 5 14
23 28 21 26 20 25 18 23
28 21 26 19 24 17 22 15
13 20 11 18 11 18 9 16
12 14 10 12 8 10 6 8
10 9 8 7 7 6 5 4
10 14 8 12 7 11 5 9
12 13 10 11 7 8 5 6
18 20 16 18 12 14 10 12
10 14 8 12 7 11 5 9
7 10 5 8 4 7 2 5
11 16 9 14 8 13 6 11
8 9 6 7 5 6 3 4
17 32 15 30 13 28 11 26
20 26 18 24 16 22 14 20
14 26 12 24 10 22 8 20
22 31 20 29 15 24 13 22
14 14 12 12 12 12 10 10
10 10 8 8 6 6 4 4
18 18 16 16 13 13 11 11
11 15 9 13 6 10 4 8
7 12 5 10 4 9 2 7
11 11 9 9 7 7 5 5
29 46 27 44 23 40 21 38
24 22 22 20 20 18 18 16
12 11 10 9 7 6 5 4
13 15 11 13 10 12 8 10
12 39 10 37 8 35 6 33
28 40 26 38 24 36 22 34
8 11 6 9 6 9 4 7
9 12 7 10 5 8 3 6
10 28 8 26 6 24 4 22
9 9 7 7 7 7 5 5
16 21 14 19 13 18 11 16
18 16 16 14 13 11 11 9
11 14 9 12 5 8 3 6
8 37 6 35 4 33 2 31
9 9 7 7 6 6 4 4
11 10 9 8 8 7 6 5
6 8 4 6 4 6 2 4
14 48 12 46 10 44 8 42
11 21 9 19 7 17 5 15
14 18 12 16 10 14 8 12
11 14 9 12 5 8 3 6
6 10 4 8 4 8 2 6
22 22 20 20 18 18 16 16
60 50 58 48 55 45 53 43
10 21 8 19 7 18 5 16
10 9 8 7 7 6 5 4
14 17 12 15 11 14 9 12
8 8 6 6 5 5 3 3
20 22 18 20 17 19 15 17
13 15 11 13 9 11 7 9
18 22 16 20 12 16 10 14
9 11 7 9 5 7 3 5
35 38 33 36 26 29 24 27
9 13 7 11 5 9 3 7
17 18 15 16 14 15 12 13
17 13 15 11 13 9 11 7
14 15 12 13 10 11 8 9
27 28 25 26 22 23 20 21
38 36 36 34 36 34 34 32
10 16 8 14 8 14 6 12
14 12 12 10 10 8 8 6
13 14 11 12 9 10 7 8
17 11 15 9 14 8 12 6
11 13 9 11 7 9 5 7
15 23 13 21 12 20 10 18
11 10 9 8 7 6 5 4
10 12 8 10 7 9 5 7
17 14 15 12 14 11 12 9
22 28 20 26 17 23 15 21
