original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
24 27 22 25 29 32 27 30
13 14 11 12 16 17 14 15
92 94 90 92 97 99 95 97
45 30 43 28 50 35 48 33
16 13 14 11 19 16 17 14
21 17 19 15 25 21 23 19
21 19 19 17 25 23 23 21
13 11 11 9 17 15 15 13
15 19 13 17 20 24 18 22
25 23 23 21 29 27 27 25
13 12 11 10 18 17 16 15
32 23 30 21 34 25 32 23
26 19 24 17 30 23 28 21
11 9 9 7 15 13 13 11
19 16 17 14 22 19 20 17
16 15 14 13 19 18 17 16
13 13 11 11 16 16 14 14
20 18 18 16 24 22 22 20
13 12 11 10 19 18 17 16
59 53 57 51 64 58 62 56
26 19 24 17 31 24 29 22
21 28 19 26 23 30 21 28
22 22 20 20 25 25 23 23
20 15 18 13 27 22 25 20
14 15 12 13 17 18 15 16
8 9 6 7 10 11 8 9
26 19 24 17 29 22 27 20
21 20 19 18 26 25 24 23
13 13 11 11 15 15 13 13
39 26 37 24 43 30 41 28
8 11 6 9 13 16 11 14
27 29 25 27 30 32 28 30
8 7 6 5 11 10 9 8
16 18 14 16 20 22 18 20
16 12 14 10 19 15 17 13
48 29 46 27 52 33 50 31
37 35 35 33 41 39 39 37
21 14 19 12 25 18 23 16
27 42 25 40 32 47 30 45
10 9 8 7 13 12 11 10
13 13 11 11 15 15 13 13
9 11 7 9 13 15 11 13
15 14 13 12 18 17 16 15
23 19 21 17 27 23 25 21
9 11 7 9 15 17 13 15
11 8 9 6 16 13 14 11
10 8 8 6 14 12 12 10
10 10 8 8 14 14 12 12
10 9 8 7 13 12 11 10
7 8 5 6 10 11 8 9
15 15 13 13 20 20 18 18
9 7 7 5 13 11 11 9
12 11 10 9 17 16 15 14
43 36 41 34 46 39 44 37
16 16 14 14 21 21 19 19
38 33 36 31 40 35 38 33
17 15 15 13 21 19 19 17
19 24 17 22 23 28 21 26
18 14 16 12 21 17 19 15
17 20 15 18 21 24 19 22
48 40 46 38 52 44 50 42
12 13 10 11 16 17 14 15
12 15 10 13 19 22 17 20
98 95 96 93 101 98 99 96
20 19 18 17 23 22 21 20
19 17 17 15 24 22 22 20
8 8 6 6 12 12 10 10
12 12 10 10 14 14 12 12
15 14 13 12 20 19 18 17
12 10 10 8 18 16 16 14
12 10 10 8 16 14 14 12
18 14 16 12 21 17 19 15
13 15 11 13 16 18 14 16
16 24 14 22 22 30 20 28
7 8 5 6 10 11 8 9
8 7 6 5 11 10 9 8
34 31 32 29 41 38 39 36
11 10 9 8 14 13 12 11
21 13 19 11 25 17 23 15
25 33 23 31 28 36 26 34
12 12 10 10 16 16 14 14
10 9 8 7 13 12 11 10
13 13 11 11 15 15 13 13
10 9 8 7 13 12 11 10
9 10 7 8 12 13 10 11
35 48 33 46 37 50 35 48
19 15 17 13 24 20 22 18
15 22 13 20 21 28 19 26
27 25 25 23 35 33 33 31
28 26 26 24 32 30 30 28
8 7 6 5 11 10 9 8
21 21 19 19 26 26 24 24
12 10 10 8 15 13 13 11
40 50 38 48 47 57 45 55
26 31 24 29 29 34 27 32
18 27 16 25 22 31 20 29
9 7 7 5 15 13 13 11
13 16 11 14 17 20 15 18
23 18 21 16 29 24 27 22
39 54 37 52 44 59 42 57
23 17 21 15 29 23 27 21
11 8 9 6 14 11 12 9
11 9 9 7 15 13 13 11
21 31 19 29 27 37 25 35
10 8 8 6 14 12 12 10
9 10 7 8 12 13 10 11
10 9 8 7 13 12 11 10
10 9 8 7 13 12 11 10
53 49 51 47 55 51 53 49
17 13 15 11 21 17 19 15
10 11 8 9 13 14 11 12
15 12 13 10 18 15 16 13
12 15 10 13 14 17 12 15
70 56 68 54 74 60 72 58
41 33 39 31 44 36 42 34
