original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
25 22 23 20 41 38 39 36
5 5 3 3 9 9 7 7
18 26 16 24 32 40 30 38
18 19 16 17 21 22 19 20
17 13 15 11 31 27 29 25
8 8 6 6 12 12 10 10
9 8 7 6 12 11 10 9
8 14 6 12 13 19 11 17
13 16 11 14 15 18 13 16
11 13 9 11 20 22 18 20
15 19 13 17 28 32 26 30
8 6 6 4 10 8 8 6
11 12 9 10 19 20 17 18
8 11 6 9 13 16 11 14
14 15 12 13 17 18 15 16
33 19 31 17 53 39 51 37
5 5 3 3 9 9 7 7
9 7 7 5 13 11 11 9
21 20 19 18 26 25 24 23
13 13 11 11 15 15 13 13
11 8 9 6 18 15 16 13
6 10 4 8 12 16 10 14
12 17 10 15 18 23 16 21
5 7 3 5 11 13 9 11
9 11 7 9 13 15 11 13
7 5 5 3 13 11 11 9
33 34 31 32 42 43 40 41
8 5 6 3 15 12 13 10
11 7 9 5 17 13 15 11
12 10 10 8 14 12 12 10
7 9 5 7 17 19 15 17
7 10 5 8 13 16 11 14
7 6 5 4 12 11 10 9
11 5 9 3 18 12 16 10
5 5 3 3 9 9 7 7
7 8 5 6 14 15 12 13
11 8 9 6 16 13 14 11
8 5 6 3 13 10 11 8
28 13 26 11 40 25 38 23
14 17 12 15 21 24 19 22
14 14 12 12 25 25 23 23
8 9 6 7 11 12 9 10
6 8 4 6 9 11 7 9
15 16 13 14 25 26 23 24
18 19 16 17 30 31 28 29
8 9 6 7 11 12 9 10
35 33 33 31 42 40 40 38
7 5 5 3 11 9 9 7
6 5 4 3 11 10 9 8
15 15 13 13 18 18 16 16
10 9 8 7 13 12 11 10
30 26 28 24 38 34 36 32
6 6 4 4 8 8 6 6
10 5 8 3 16 11 14 9
17 18 15 16 23 24 21 22
16 16 14 14 26 26 24 24
12 11 10 9 14 13 12 11
12 10 10 8 22 20 20 18
6 9 4 7 15 18 13 16
28 16 26 14 41 29 39 27
4 4 2 2 6 6 4 4
7 9 5 7 14 16 12 14
9 6 7 4 14 11 12 9
20 15 18 13 28 23 26 21
10 8 8 6 12 10 10 8
9 8 7 6 11 10 9 8
16 17 14 15 19 20 17 18
10 10 8 8 14 14 12 12
9 16 7 14 18 25 16 23
20 19 18 17 24 23 22 21
13 14 11 12 16 17 14 15
7 5 5 3 10 8 8 6
6 9 4 7 15 18 13 16
11 11 9 9 17 17 15 15
11 10 9 8 16 15 14 13
16 15 14 13 19 18 17 16
7 8 5 6 16 17 14 15
6 7 4 5 10 11 8 9
7 7 5 5 11 11 9 9
4 5 2 3 7 8 5 6
15 10 13 8 25 20 23 18
10 11 8 9 15 16 13 14
10 16 8 14 19 25 17 23
9 9 7 7 13 13 11 11
5 7 3 5 11 13 9 11
26 36 24 34 32 42 30 40
9 9 7 7 17 17 15 15
10 11 8 9 13 14 11 12
6 7 4 5 13 14 11 12
17 14 15 12 24 21 22 19
11 11 9 9 22 22 20 20
4 7 2 5 9 12 7 10
8 7 6 5 11 10 9 8
8 8 6 6 12 12 10 10
11 11 9 9 14 14 12 12
16 14 14 12 27 25 25 23
4 5 2 3 7 8 5 6
9 13 7 11 17 21 15 19
6 5 4 3 8 7 6 5
13 10 11 8 19 16 17 14
6 5 4 3 11 10 9 8
16 10 14 8 25 19 23 17
9 8 7 6 11 10 9 8
16 18 14 16 22 24 20 22
11 10 9 8 17 16 15 14
8 7 6 5 10 9 8 7
9 10 7 8 15 16 13 14
18 21 16 19 33 36 31 34
17 18 15 16 22 23 20 21
11 12 9 10 16 17 14 15
7 9 5 7 17 19 15 17
