original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
13 24 11 22 11 22 9 20
9 11 7 9 5 7 3 5
12 14 10 12 10 12 8 10
14 16 12 14 8 10 6 8
10 10 8 8 8 8 6 6
7 8 5 6 4 5 2 3
14 14 12 12 12 12 10 10
18 19 16 17 13 14 11 12
11 14 9 12 9 12 7 10
7 11 5 9 4 8 2 6
14 18 12 16 11 15 9 13
18 21 16 19 15 18 13 16
7 11 5 9 4 8 2 6
19 14 17 12 15 10 13 8
9 24 7 22 6 21 4 19
9 9 7 7 7 7 5 5
8 6 6 4 6 4 4 2
8 11 6 9 6 9 4 7
13 12 11 10 10 9 8 7
8 10 6 8 6 8 4 6
10 12 8 10 7 9 5 7
22 20 20 18 20 18 18 16
16 19 14 17 13 16 11 14
9 12 7 10 4 7 2 5
8 16 6 14 4 12 2 10
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
10 12 8 10 7 9 5 7
14 14 12 12 12 12 10 10
15 27 13 25 11 23 9 21
12 12 10 10 9 9 7 7
13 13 11 11 9 9 7 7
12 10 10 8 10 8 8 6
18 22 16 20 15 19 13 17
9 10 7 8 5 6 3 4
17 15 15 13 15 13 13 11
10 9 8 7 8 7 6 5
10 11 8 9 8 9 6 7
6 9 4 7 4 7 2 5
9 18 7 16 7 16 5 14
8 7 6 5 5 4 3 2
22 13 20 11 18 9 16 7
15 19 13 17 13 17 11 15
8 8 6 6 6 6 4 4
7 9 5 7 5 7 3 5
18 -9 16 -11 16 -11 14 -13
8 7 6 5 6 5 4 3
14 14 12 12 11 11 9 9
22 25 20 23 18 21 16 19
8 12 6 10 6 10 4 8
11 13 9 11 9 11 7 9
8 8 6 6 6 6 4 4
12 11 10 9 9 8 7 6
10 15 8 13 8 13 6 11
22 26 20 24 20 24 18 22
17 32 15 30 15 30 13 28
8 8 6 6 6 6 4 4
12 11 10 9 10 9 8 7
11 11 9 9 8 8 6 6
20 20 18 18 17 17 15 15
12 10 10 8 10 8 8 6
15 24 13 22 10 19 8 17
12 10 10 8 10 8 8 6
11 7 9 5 8 4 6 2
10 9 8 7 7 6 5 4
12 25 10 23 9 22 7 20
12 11 10 9 9 8 7 6
19 16 17 14 16 13 14 11
12 11 10 9 9 8 7 6
10 10 8 8 6 6 4 4
23 26 21 24 18 21 16 19
17 22 15 20 14 19 12 17
8 7 6 5 5 4 3 2
14 22 12 20 12 20 10 18
8 8 6 6 6 6 4 4
13 21 11 19 11 19 9 17
8 13 6 11 5 10 3 8
6 17 4 15 4 15 2 13
14 16 12 14 9 11 7 9
9 11 7 9 7 9 5 7
8 13 6 11 6 11 4 9
15 14 13 12 13 12 11 10
7 11 5 9 4 8 2 6
8 14 6 12 6 12 4 10
10 8 8 6 8 6 6 4
15 16 13 14 11 12 9 10
16 28 14 26 14 26 12 24
14 17 12 15 12 15 10 13
10 -4 8 -6 8 -6 6 -8
25 33 23 31 22 30 20 28
12 10 10 8 10 8 8 6
7 8 5 6 4 5 2 3
8 12 6 10 6 10 4 8
7 11 5 9 5 9 3 7
13 12 11 10 10 9 8 7
17 19 15 17 12 14 10 12
8 19 6 17 6 17 4 15
8 9 6 7 5 6 3 4
10 12 8 10 8 10 6 8
13 15 11 13 10 12 8 10
8 8 6 6 6 6 4 4
12 11 10 9 10 9 8 7
7 6 5 4 5 4 3 2
9 10 7 8 6 7 4 5
13 31 11 29 9 27 7 25
10 8 8 6 7 5 5 3
8 10 6 8 5 7 3 5
8 23 6 21 6 21 4 19
25 27 23 25 20 22 18 20
8 10 6 8 5 7 3 5
7 8 5 6 5 6 3 4
8 11 6 9 5 8 3 6
11 25 9 23 7 21 5 19
11 12 9 10 8 9 6 7
8 10 6 8 6 8 4 6
12 11 10 9 8 7 6 5
7 8 5 6 4 5 2 3
10 30 8 28 7 27 5 25
14 19 12 17 9 14 7 12
11 10 9 8 6 5 4 3
8 14 6 12 5 11 3 9
9 11 7 9 6 8 4 6
8 15 6 13 6 13 4 11
6 8 4 6 4 6 2 4
8 10 6 8 6 8 4 6
19 24 17 22 17 22 15 20
8 12 6 10 6 10 4 8
12 18 10 16 10 16 8 14
10 10 8 8 7 7 5 5
12 25 10 23 10 23 8 21
15 16 13 14 11 12 9 10
10 14 8 12 7 11 5 9
13 3 11 1 8 -2 6 -4
8 25 6 23 5 22 3 20
6 17 4 15 4 15 2 13
12 10 10 8 10 8 8 6
13 25 11 23 10 22 8 20
17 16 15 14 15 14 13 12
11 13 9 11 8 10 6 8
18 19 16 17 13 14 11 12
8 8 6 6 6 6 4 4
15 14 13 12 13 12 11 10
10 12 8 10 7 9 5 7
6 9 4 7 4 7 2 5
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
11 14 9 12 9 12 7 10
6 16 4 14 4 14 2 12
12 10 10 8 10 8 8 6
8 10 6 8 6 8 4 6
10 15 8 13 7 12 5 10
8 10 6 8 4 6 2 4
12 26 10 24 8 22 6 20
10 11 8 9 7 8 5 6
11 14 9 12 8 11 6 9
10 11 8 9 5 6 3 4
11 13 9 11 8 10 6 8
15 16 13 14 12 13 10 11
10 8 8 6 8 6 6 4
16 28 14 26 14 26 12 24
22 22 20 20 20 20 18 18
7 9 5 7 4 6 2 4
13 19 11 17 10 16 8 14
10 18 8 16 6 14 4 12
10 8 8 6 8 6 6 4
8 10 6 8 6 8 4 6
12 12 10 10 10 10 8 8
19 26 17 24 16 23 14 21
10 10 8 8 8 8 6 6
18 20 16 18 14 16 12 14
6 6 4 4 4 4 2 2
7 11 5 9 4 8 2 6
6 19 4 17 4 17 2 15
11 11 9 9 9 9 7 7
6 8 4 6 4 6 2 4
8 19 6 17 6 17 4 15
7 11 5 9 4 8 2 6
9 16 7 14 7 14 5 12
6 6 4 4 4 4 2 2
13 31 11 29 8 26 6 24
14 14 12 12 10 10 8 8
10 15 8 13 8 13 6 11
8 10 6 8 4 6 2 4
10 10 8 8 8 8 6 6
13 31 11 29 11 29 9 27
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
12 8 10 6 10 6 8 4
11 9 9 7 8 6 6 4
13 11 11 9 7 5 5 3
7 7 5 5 5 5 3 3
6 6 4 4 4 4 2 2
10 21 8 19 6 17 4 15
16 17 14 15 13 14 11 12
11 26 9 24 9 24 7 22
10 8 8 6 8 6 6 4
12 27 10 25 7 22 5 20
13 24 11 22 11 22 9 20
8 12 6 10 4 8 2 6
14 14 12 12 10 10 8 8
8 8 6 6 6 6 4 4
12 20 10 18 10 18 8 16
16 26 14 24 10 20 8 18
16 13 14 11 14 11 12 9
8 9 6 7 5 6 3 4
11 12 9 10 8 9 6 7
16 30 14 28 11 25 9 23
9 10 7 8 6 7 4 5
15 16 13 14 12 13 10 11
12 19 10 17 7 14 5 12
9 14 7 12 6 11 4 9
7 7 5 5 5 5 3 3
8 8 6 6 6 6 4 4
14 14 12 12 11 11 9 9
10 -27 8 -29 7 -30 5 -32
10 10 8 8 7 7 5 5
7 8 5 6 4 5 2 3
8 21 6 19 6 19 4 17
13 13 11 11 11 11 9 9
8 7 6 5 5 4 3 2
11 12 9 10 7 8 5 6
11 10 9 8 9 8 7 6
11 11 9 9 7 7 5 5
10 11 8 9 7 8 5 6
14 14 12 12 12 12 10 10
9 9 7 7 5 5 3 3
8 10 6 8 4 6 2 4
6 9 4 7 4 7 2 5
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
11 12 9 10 8 9 6 7
10 20 8 18 7 17 5 15
