original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
7 8 5 6 10 11 8 9
10 10 8 8 12 12 10 10
25 30 23 28 27 32 25 30
13 11 11 9 15 13 13 11
4 4 2 2 6 6 4 4
15 13 13 11 18 16 16 14
5 5 3 3 7 7 5 5
13 19 11 17 15 21 13 19
9 9 7 7 12 12 10 10
10 12 8 10 12 14 10 12
12 9 10 7 15 12 13 10
6 7 4 5 8 9 6 7
8 10 6 8 10 12 8 10
18 18 16 16 20 20 18 18
13 10 11 8 16 13 14 11
24 28 22 26 26 30 24 28
9 6 7 4 12 9 10 7
12 12 10 10 14 14 12 12
16 17 14 15 19 20 17 18
9 7 7 5 12 10 10 8
30 27 28 25 33 30 31 28
34 52 32 50 40 58 38 56
6 5 4 3 8 7 6 5
13 11 11 9 15 13 13 11
5 5 3 3 7 7 5 5
9 11 7 9 11 13 9 11
9 8 7 6 11 10 9 8
8 9 6 7 10 11 8 9
4 4 2 2 6 6 4 4
10 10 8 8 12 12 10 10
5 5 3 3 7 7 5 5
28 23 26 21 31 26 29 24
6 6 4 4 8 8 6 6
11 10 9 8 14 13 12 11
4 5 2 3 7 8 5 6
10 14 8 12 16 20 14 18
7 9 5 7 10 12 8 10
8 7 6 5 11 10 9 8
36 31 34 29 38 33 36 31
8 7 6 5 11 10 9 8
8 9 6 7 10 11 8 9
14 13 12 11 19 18 17 16
6 5 4 3 9 8 7 6
13 10 11 8 15 12 13 10
6 10 4 8 10 14 8 12
38 35 36 33 40 37 38 35
22 34 20 32 25 37 23 35
12 11 10 9 17 16 15 14
7 7 5 5 11 11 9 9
7 8 5 6 10 11 8 9
16 28 14 26 19 31 17 29
8 9 6 7 10 11 8 9
11 11 9 9 22 22 20 20
25 42 23 40 28 45 26 43
4 4 2 2 6 6 4 4
7 7 5 5 9 9 7 7
12 7 10 5 21 16 19 14
8 10 6 8 13 15 11 13
4 5 2 3 7 8 5 6
7 9 5 7 9 11 7 9
11 8 9 6 13 10 11 8
6 6 4 4 12 12 10 10
13 14 11 12 16 17 14 15
10 9 8 7 14 13 12 11
5 5 3 3 7 7 5 5
4 5 2 3 7 8 5 6
4 7 2 5 9 12 7 10
5 6 3 4 7 8 5 6
8 9 6 7 11 12 9 10
7 7 5 5 11 11 9 9
7 7 5 5 9 9 7 7
13 14 11 12 15 16 13 14
11 12 9 10 14 15 12 13
10 8 8 6 14 12 12 10
5 5 3 3 7 7 5 5
23 18 21 16 29 24 27 22
9 12 7 10 11 14 9 12
30 24 28 22 32 26 30 24
5 4 3 2 8 7 6 5
9 9 7 7 13 13 11 11
24 39 22 37 29 44 27 42
7 6 5 4 11 10 9 8
9 10 7 8 13 14 11 12
8 10 6 8 12 14 10 12
7 7 5 5 9 9 7 7
10 9 8 7 14 13 12 11
5 5 3 3 7 7 5 5
6 5 4 3 11 10 9 8
29 43 27 41 32 46 30 44
30 49 28 47 32 51 30 49
11 6 9 4 16 11 14 9
10 9 8 7 15 14 13 12
41 31 39 29 43 33 41 31
11 16 9 14 13 18 11 16
19 14 17 12 22 17 20 15
20 36 18 34 23 39 21 37
9 8 7 6 12 11 10 9
10 8 8 6 13 11 11 9
11 10 9 8 14 13 12 11
4 4 2 2 6 6 4 4
36 54 34 52 39 57 37 55
10 11 8 9 13 14 11 12
11 15 9 13 14 18 12 16
15 23 13 21 18 26 16 24
26 26 24 24 28 28 26 26
4 5 2 3 7 8 5 6
11 8 9 6 13 10 11 8
8 8 6 6 12 12 10 10
11 13 9 11 15 17 13 15
5 4 3 2 8 7 6 5
5 4 3 2 8 7 6 5
10 13 8 11 12 15 10 13
36 32 34 30 38 34 36 32
9 10 7 8 12 13 10 11
11 8 9 6 14 11 12 9
9 -36 7 -38 13 -32 11 -34
30 34 28 32 32 36 30 34
8 8 6 6 11 11 9 9
25 42 23 40 29 46 27 44
19 13 17 11 23 17 21 15
9 12 7 10 12 15 10 13
26 26 24 24 30 30 28 28
7 10 5 8 12 15 10 13
11 10 9 8 14 13 12 11
5 5 3 3 7 7 5 5
6 5 4 3 9 8 7 6
6 5 4 3 9 8 7 6
9 10 7 8 11 12 9 10
4 4 2 2 6 6 4 4
6 5 4 3 11 10 9 8
9 14 7 12 11 16 9 14
15 11 13 9 17 13 15 11
6 7 4 5 9 10 7 8
7 8 5 6 13 14 11 12
14 15 12 13 19 20 17 18
8 10 6 8 10 12 8 10
14 14 12 12 18 18 16 16
7 7 5 5 10 10 8 8
4 4 2 2 6 6 4 4
11 11 9 9 15 15 13 13
6 4 4 2 10 8 8 6
36 34 34 32 39 37 37 35
7 9 5 7 9 11 7 9
6 5 4 3 9 8 7 6
15 11 13 9 18 14 16 12
8 9 6 7 10 11 8 9
15 16 13 14 19 20 17 18
5 5 3 3 7 7 5 5
6 6 4 4 9 9 7 7
10 16 8 14 12 18 10 16
35 24 33 22 39 28 37 26
