original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
9 11 7 9 5 7 3 5
10 12 8 10 7 9 5 7
10 22 8 20 8 20 6 18
13 16 11 14 10 13 8 11
9 13 7 11 5 9 3 7
8 8 6 6 5 5 3 3
12 11 10 9 8 7 6 5
22 20 20 18 14 12 12 10
9 22 7 20 7 20 5 18
13 14 11 12 10 11 8 9
10 11 8 9 6 7 4 5
10 11 8 9 5 6 3 4
14 16 12 14 8 10 6 8
23 21 21 19 15 13 13 11
12 20 10 18 8 16 6 14
11 9 9 7 7 5 5 3
13 34 11 32 11 32 9 30
13 20 11 18 11 18 9 16
13 16 11 14 11 14 9 12
9 9 7 7 5 5 3 3
11 15 9 13 8 12 6 10
8 10 6 8 5 7 3 5
7 8 5 6 4 5 2 3
10 14 8 12 8 12 6 10
7 13 5 11 4 10 2 8
13 12 11 10 10 9 8 7
25 27 23 25 19 21 17 19
14 24 12 22 11 21 9 19
11 18 9 16 9 16 7 14
12 11 10 9 7 6 5 4
10 10 8 8 6 6 4 4
7 11 5 9 4 8 2 6
19 20 17 18 17 18 15 16
7 8 5 6 5 6 3 4
8 10 6 8 5 7 3 5
11 24 9 22 7 20 5 18
15 20 13 18 11 16 9 14
10 15 8 13 8 13 6 11
14 14 12 12 11 11 9 9
19 20 17 18 15 16 13 14
9 11 7 9 6 8 4 6
6 6 4 4 4 4 2 2
9 11 7 9 7 9 5 7
7 9 5 7 5 7 3 5
8 9 6 7 5 6 3 4
6 28 4 26 4 26 2 24
6 7 4 5 4 5 2 3
12 14 10 12 8 10 6 8
14 16 12 14 11 13 9 11
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
20 13 18 11 16 9 14 7
12 11 10 9 9 8 7 6
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
10 28 8 26 7 25 5 23
6 11 4 9 4 9 2 7
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
12 12 10 10 9 9 7 7
6 10 4 8 4 8 2 6
11 11 9 9 7 7 5 5
