original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
35 20 33 18 37 22 35 20
44 26 42 24 46 28 44 26
22 15 20 13 24 17 22 15
11 16 9 14 13 18 11 16
6 5 4 3 9 8 7 6
6 7 4 5 8 9 6 7
6 7 4 5 8 9 6 7
6 7 4 5 8 9 6 7
14 18 12 16 17 21 15 19
14 10 12 8 16 12 14 10
36 56 34 54 38 58 36 56
11 12 9 10 14 15 12 13
18 17 16 15 21 20 19 18
8 6 6 4 11 9 9 7
9 13 7 11 11 15 9 13
20 16 18 14 27 23 25 21
5 5 3 3 9 9 7 7
17 20 15 18 21 24 19 22
14 10 12 8 16 12 14 10
13 12 11 10 15 14 13 12
6 6 4 4 8 8 6 6
11 14 9 12 16 19 14 17
6 9 4 7 9 12 7 10
4 5 2 3 7 8 5 6
7 7 5 5 9 9 7 7
15 15 13 13 17 17 15 15
9 12 7 10 13 16 11 14
11 9 9 7 14 12 12 10
6 7 4 5 8 9 6 7
10 7 8 5 12 9 10 7
18 13 16 11 20 15 18 13
23 39 21 37 26 42 24 40
6 6 4 4 9 9 7 7
8 9 6 7 11 12 9 10
9 9 7 7 13 13 11 11
6 5 4 3 11 10 9 8
6 5 4 3 8 7 6 5
8 7 6 5 11 10 9 8
6 8 4 6 9 11 7 9
9 7 7 5 12 10 10 8
5 6 3 4 10 11 8 9
8 11 6 9 10 13 8 11
12 12 10 10 14 14 12 12
7 6 5 4 9 8 7 6
4 4 2 2 6 6 4 4
6 5 4 3 8 7 6 5
10 12 8 10 13 15 11 13
8 10 6 8 10 12 8 10
4 4 2 2 6 6 4 4
15 13 13 11 20 18 18 16
10 8 8 6 13 11 11 9
6 7 4 5 8 9 6 7
4 4 2 2 6 6 4 4
4 5 2 3 7 8 5 6
4 6 2 4 8 10 6 8
8 4 6 2 10 6 8 4
9 8 7 6 12 11 10 9
5 5 3 3 8 8 6 6
6 5 4 3 8 7 6 5
10 7 8 5 13 10 11 8
8 7 6 5 10 9 8 7
7 6 5 4 10 9 8 7
7 5 5 3 10 8 8 6
7 7 5 5 10 10 8 8
7 6 5 4 10 9 8 7
11 10 9 8 16 15 14 13
9 6 7 4 12 9 10 7
12 9 10 7 14 11 12 9
5 5 3 3 9 9 7 7
12 11 10 9 16 15 14 13
10 12 8 10 14 16 12 14
6 7 4 5 13 14 11 12
12 10 10 8 17 15 15 13
11 18 9 16 13 20 11 18
12 11 10 9 17 16 15 14
15 19 13 17 17 21 15 19
16 12 14 10 20 16 18 14
5 4 3 2 8 7 6 5
10 12 8 10 13 15 11 13
13 16 11 14 16 19 14 17
14 13 12 11 17 16 15 14
6 6 4 4 10 10 8 8
4 5 2 3 7 8 5 6
6 5 4 3 8 7 6 5
4 5 2 3 7 8 5 6
8 11 6 9 12 15 10 13
6 6 4 4 8 8 6 6
5 5 3 3 9 9 7 7
10 7 8 5 12 9 10 7
8 8 6 6 12 12 10 10
17 11 15 9 21 15 19 13
8 8 6 6 10 10 8 8
9 10 7 8 12 13 10 11
4 4 2 2 6 6 4 4
6 5 4 3 8 7 6 5
6 6 4 4 9 9 7 7
5 5 3 3 9 9 7 7
13 14 11 12 16 17 14 15
8 11 6 9 11 14 9 12
17 15 15 13 19 17 17 15
7 9 5 7 9 11 7 9
5 7 3 5 7 9 5 7
5 6 3 4 8 9 6 7
6 6 4 4 8 8 6 6
11 7 9 5 14 10 12 8
8 6 6 4 10 8 8 6
18 28 16 26 20 30 18 28
13 17 11 15 15 19 13 17
26 18 24 16 28 20 26 18
5 5 3 3 8 8 6 6
6 5 4 3 10 9 8 7
11 9 9 7 13 11 11 9
12 10 10 8 14 12 12 10
5 6 3 4 10 11 8 9
5 7 3 5 9 11 7 9
6 5 4 3 9 8 7 6
10 13 8 11 12 15 10 13
4 5 2 3 7 8 5 6
23 19 21 17 28 24 26 22
10 11 8 9 12 13 10 11
6 5 4 3 9 8 7 6
6 6 4 4 8 8 6 6
8 6 6 4 10 8 8 6
9 11 7 9 13 15 11 13
11 12 9 10 13 14 11 12
7 7 5 5 11 11 9 9
