original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 6 4 4 4 4 2 2
8 15 6 13 5 12 3 10
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
9 12 7 10 6 9 4 7
6 8 4 6 4 6 2 4
7 8 5 6 4 5 2 3
8 7 6 5 6 5 4 3
10 20 8 18 6 16 4 14
10 12 8 10 8 10 6 8
8 9 6 7 5 6 3 4
6 20 4 18 4 18 2 16
12 12 10 10 9 9 7 7
10 10 8 8 6 6 4 4
11 14 9 12 8 11 6 9
8 6 6 4 6 4 4 2
9 11 7 9 5 7 3 5
10 10 8 8 8 8 6 6
10 18 8 16 6 14 4 12
8 8 6 6 5 5 3 3
7 10 5 8 4 7 2 5
7 6 5 4 5 4 3 2
7 19 5 17 4 16 2 14
8 9 6 7 5 6 3 4
15 16 13 14 11 12 9 10
16 15 14 13 13 12 11 10
8 31 6 29 4 27 2 25
8 8 6 6 6 6 4 4
11 10 9 8 6 5 4 3
9 13 7 11 4 8 2 6
9 10 7 8 6 7 4 5
8 8 6 6 6 6 4 4
10 9 8 7 7 6 5 4
8 7 6 5 5 4 3 2
21 21 19 19 17 17 15 15
10 11 8 9 5 6 3 4
12 10 10 8 8 6 6 4
8 13 6 11 5 10 3 8
6 6 4 4 4 4 2 2
8 17 6 15 4 13 2 11
8 16 6 14 6 14 4 12
9 8 7 6 6 5 4 3
11 11 9 9 7 7 5 5
8 8 6 6 6 6 4 4
8 31 6 29 5 28 3 26
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
10 14 8 12 8 12 6 10
8 15 6 13 4 11 2 9
13 13 11 11 9 9 7 7
7 8 5 6 4 5 2 3
9 8 7 6 7 6 5 4
16 27 14 25 10 21 8 19
8 11 6 9 6 9 4 7
10 10 8 8 6 6 4 4
9 8 7 6 6 5 4 3
7 11 5 9 4 8 2 6
18 -8 16 -10 13 -13 11 -15
8 7 6 5 5 4 3 2
8 7 6 5 5 4 3 2
22 20 20 18 19 17 17 15
17 22 15 20 8 13 6 11
8 9 6 7 6 7 4 5
19 11 17 9 15 7 13 5
8 16 6 14 4 12 2 10
8 8 6 6 6 6 4 4
13 28 11 26 10 25 8 23
6 6 4 4 4 4 2 2
7 56 5 54 4 53 2 51
20 16 18 14 15 11 13 9
8 12 6 10 6 10 4 8
10 18 8 16 6 14 4 12
6 6 4 4 4 4 2 2
6 7 4 5 4 5 2 3
10 9 8 7 7 6 5 4
10 11 8 9 8 9 6 7
7 8 5 6 4 5 2 3
9 13 7 11 6 10 4 8
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
11 15 9 13 7 11 5 9
11 15 9 13 7 11 5 9
18 15 16 13 16 13 14 11
11 11 9 9 7 7 5 5
21 22 19 20 18 19 16 17
7 8 5 6 4 5 2 3
9 9 7 7 5 5 3 3
15 26 13 24 8 19 6 17
8 10 6 8 4 6 2 4
16 21 14 19 9 14 7 12
10 10 8 8 8 8 6 6
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
12 13 10 11 7 8 5 6
12 21 10 19 7 16 5 14
8 13 6 11 4 9 2 7
11 12 9 10 9 10 7 8
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
9 11 7 9 6 8 4 6
14 25 12 23 5 16 3 14
11 13 9 11 7 9 5 7
8 11 6 9 5 8 3 6
7 8 5 6 4 5 2 3
10 9 8 7 7 6 5 4
6 7 4 5 4 5 2 3
6 11 4 9 4 9 2 7
