original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
8 14 6 12 6 12 4 10
25 27 23 25 17 19 15 17
16 21 14 19 13 18 11 16
6 6 4 4 4 4 2 2
10 14 8 12 8 12 6 10
11 11 9 9 8 8 6 6
8 8 6 6 6 6 4 4
15 14 13 12 12 11 10 9
13 14 11 12 10 11 8 9
10 20 8 18 6 16 4 14
8 7 6 5 5 4 3 2
10 10 8 8 8 8 6 6
11 13 9 11 8 10 6 8
11 11 9 9 7 7 5 5
7 13 5 11 4 10 2 8
9 9 7 7 5 5 3 3
7 8 5 6 4 5 2 3
19 19 17 17 14 14 12 12
10 11 8 9 6 7 4 5
17 19 15 17 11 13 9 11
10 27 8 25 6 23 4 21
10 11 8 9 6 7 4 5
13 26 11 24 8 21 6 19
14 11 12 9 10 7 8 5
12 11 10 9 9 8 7 6
12 19 10 17 8 15 6 13
16 14 14 12 13 11 11 9
16 12 14 10 12 8 10 6
12 9 10 7 8 5 6 3
16 18 14 16 13 15 11 13
23 14 21 12 21 12 19 10
21 22 19 20 14 15 12 13
15 14 13 12 12 11 10 9
10 11 8 9 5 6 3 4
11 18 9 16 5 12 3 10
13 14 11 12 10 11 8 9
10 11 8 9 5 6 3 4
14 17 12 15 8 11 6 9
23 25 21 23 19 21 17 19
35 55 33 53 32 52 30 50
14 14 12 12 9 9 7 7
15 13 13 11 10 8 8 6
8 8 6 6 6 6 4 4
14 18 12 16 10 14 8 12
8 33 6 31 5 30 3 28
17 20 15 18 10 13 8 11
7 7 5 5 5 5 3 3
8 8 6 6 6 6 4 4
10 8 8 6 6 4 4 2
11 15 9 13 7 11 5 9
20 20 18 18 16 16 14 14
14 13 12 11 10 9 8 7
31 31 29 29 27 27 25 25
7 10 5 8 4 7 2 5
12 19 10 17 6 13 4 11
7 8 5 6 4 5 2 3
29 32 27 30 26 29 24 27
26 15 24 13 22 11 20 9
11 21 9 19 8 18 6 16
12 7 10 5 9 4 7 2
13 15 11 13 9 11 7 9
9 9 7 7 5 5 3 3
13 13 11 11 9 9 7 7
10 10 8 8 6 6 4 4
12 20 10 18 7 15 5 13
23 16 21 14 19 12 17 10
10 11 8 9 6 7 4 5
12 12 10 10 9 9 7 7
14 26 12 24 10 22 8 20
14 18 12 16 8 12 6 10
18 17 16 15 15 14 13 12
9 13 7 11 6 10 4 8
13 16 11 14 9 12 7 10
12 13 10 11 8 9 6 7
10 8 8 6 6 4 4 2
13 19 11 17 9 15 7 13
7 8 5 6 4 5 2 3
10 10 8 8 8 8 6 6
14 26 12 24 11 23 9 21
13 15 11 13 7 9 5 7
16 19 14 17 11 14 9 12
8 12 6 10 6 10 4 8
12 21 10 19 8 17 6 15
10 11 8 9 5 6 3 4
8 9 6 7 6 7 4 5
9 10 7 8 5 6 3 4
17 16 15 14 12 11 10 9
13 18 11 16 8 13 6 11
15 12 13 10 11 8 9 6
13 29 11 27 8 24 6 22
16 16 14 14 12 12 10 10
16 17 14 15 10 11 8 9
13 14 11 12 8 9 6 7
8 14 6 12 4 10 2 8
9 9 7 7 5 5 3 3
17 12 15 10 11 6 9 4
12 9 10 7 8 5 6 3
6 6 4 4 4 4 2 2
9 6 7 4 7 4 5 2
15 15 13 13 11 11 9 9
13 12 11 10 11 10 9 8
17 14 15 12 12 9 10 7
19 16 17 14 15 12 13 10
12 11 10 9 7 6 5 4
14 16 12 14 8 10 6 8
9 9 7 7 5 5 3 3
17 14 15 12 14 11 12 9
28 45 26 43 25 42 23 40
12 11 10 9 9 8 7 6
10 10 8 8 7 7 5 5
10 10 8 8 7 7 5 5
20 15 18 13 15 10 13 8
25 17 23 15 21 13 19 11
13 15 11 13 11 13 9 11
14 14 12 12 10 10 8 8
16 19 14 17 8 11 6 9
18 16 16 14 10 8 8 6
7 8 5 6 4 5 2 3
15 19 13 17 10 14 8 12
12 24 10 22 7 19 5 17
9 26 7 24 6 23 4 21
17 17 15 15 13 13 11 11
13 15 11 13 9 11 7 9
19 19 17 17 15 15 13 13
12 11 10 9 8 7 6 5
9 9 7 7 5 5 3 3
14 30 12 28 11 27 9 25
20 33 18 31 15 28 13 26
12 12 10 10 8 8 6 6
16 28 14 26 11 23 9 21
11 12 9 10 6 7 4 5
14 11 12 9 9 6 7 4
23 29 21 27 17 23 15 21
8 8 6 6 5 5 3 3
9 21 7 19 6 18 4 16
10 29 8 27 6 25 4 23
7 22 5 20 4 19 2 17
12 25 10 23 8 21 6 19
14 20 12 18 10 16 8 14
14 15 12 13 7 8 5 6
22 21 20 19 20 19 18 17
16 21 14 19 12 17 10 15
11 13 9 11 8 10 6 8
22 18 20 16 18 14 16 12
6 6 4 4 4 4 2 2
14 21 12 19 9 16 7 14
32 32 30 30 30 30 28 28
11 12 9 10 8 9 6 7
7 8 5 6 4 5 2 3
19 20 17 18 15 16 13 14
15 18 13 16 12 15 10 13
13 15 11 13 7 9 5 7
8 17 6 15 4 13 2 11
21 23 19 21 18 20 16 18
21 18 19 16 15 12 13 10
14 11 12 9 9 6 7 4
8 7 6 5 5 4 3 2
11 12 9 10 8 9 6 7
16 16 14 14 12 12 10 10
13 16 11 14 9 12 7 10
15 9 13 7 12 6 10 4
18 28 16 26 14 24 12 22
11 9 9 7 7 5 5 3
12 10 10 8 8 6 6 4
17 17 15 15 13 13 11 11
13 20 11 18 9 16 7 14
14 16 12 14 11 13 9 11
28 25 26 23 24 21 22 19
11 7 9 5 8 4 6 2
20 17 18 15 15 12 13 10
11 14 9 12 6 9 4 7
30 15 28 13 25 10 23 8
10 9 8 7 6 5 4 3
19 28 17 26 13 22 11 20
10 9 8 7 7 6 5 4
9 10 7 8 5 6 3 4
11 21 9 19 7 17 5 15
10 23 8 21 6 19 4 17
13 13 11 11 9 9 7 7
9 9 7 7 5 5 3 3
8 7 6 5 5 4 3 2
19 21 17 19 10 12 8 10
16 16 14 14 8 8 6 6
10 12 8 10 5 7 3 5
31 16 29 14 25 10 23 8
10 9 8 7 6 5 4 3
8 11 6 9 4 7 2 5
10 24 8 22 7 21 5 19
11 9 9 7 8 6 6 4
17 36 15 34 13 32 11 30
11 11 9 9 7 7 5 5
11 15 9 13 6 10 4 8
9 9 7 7 5 5 3 3
11 22 9 20 7 18 5 16
36 33 34 31 31 28 29 26
10 8 8 6 8 6 6 4
