original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 4 4 2 10 8 8 6
11 12 9 10 16 17 14 15
11 13 9 11 15 17 13 15
13 11 11 9 16 14 14 12
16 24 14 22 21 29 19 27
16 16 14 14 20 20 18 18
25 20 23 18 28 23 26 21
27 28 25 26 32 33 30 31
7 8 5 6 12 13 10 11
10 9 8 7 13 12 11 10
40 55 38 53 44 59 42 57
5 4 3 2 8 7 6 5
44 67 42 65 48 71 46 69
7 8 5 6 11 12 9 10
32 35 30 33 35 38 33 36
4 7 2 5 9 12 7 10
7 8 5 6 9 10 7 8
7 8 5 6 9 10 7 8
7 6 5 4 10 9 8 7
7 6 5 4 10 9 8 7
4 4 2 2 6 6 4 4
8 8 6 6 13 13 11 11
7 7 5 5 11 11 9 9
10 12 8 10 12 14 10 12
4 5 2 3 7 8 5 6
4 5 2 3 7 8 5 6
13 14 11 12 17 18 15 16
11 9 9 7 15 13 13 11
7 9 5 7 10 12 8 10
13 14 11 12 16 17 14 15
12 10 10 8 17 15 15 13
13 19 11 17 17 23 15 21
8 8 6 6 11 11 9 9
7 7 5 5 11 11 9 9
16 14 14 12 20 18 18 16
8 9 6 7 11 12 9 10
14 9 12 7 21 16 19 14
10 6 8 4 17 13 15 11
9 9 7 7 13 13 11 11
6 8 4 6 11 13 9 11
19 15 17 13 23 19 21 17
7 6 5 4 10 9 8 7
18 15 16 13 22 19 20 17
7 6 5 4 10 9 8 7
24 30 22 28 30 36 28 34
10 12 8 10 13 15 11 13
10 10 8 8 13 13 11 11
4 7 2 5 9 12 7 10
11 15 9 13 16 20 14 18
8 6 6 4 10 8 8 6
4 4 2 2 6 6 4 4
6 7 4 5 9 10 7 8
11 9 9 7 15 13 13 11
6 5 4 3 9 8 7 6
6 8 4 6 10 12 8 10
4 8 2 6 10 14 8 12
4 4 2 2 6 6 4 4
7 7 5 5 11 11 9 9
4 4 2 2 6 6 4 4
23 17 21 15 30 24 28 22
7 8 5 6 12 13 10 11
25 42 23 40 28 45 26 43
13 15 11 13 16 18 14 16
11 11 9 9 16 16 14 14
9 10 7 8 12 13 10 11
19 12 17 10 22 15 20 13
32 35 30 33 37 40 35 38
19 22 17 20 25 28 23 26
15 16 13 14 21 22 19 20
9 10 7 8 14 15 12 13
17 20 15 18 22 25 20 23
24 21 22 19 28 25 26 23
37 25 35 23 40 28 38 26
11 12 9 10 13 14 11 12
19 15 17 13 24 20 22 18
12 15 10 13 16 19 14 17
7 8 5 6 9 10 7 8
6 4 4 2 10 8 8 6
10 14 8 12 16 20 14 18
7 1 5 -1 10 4 8 2
10 10 8 8 14 14 12 12
14 12 12 10 17 15 15 13
10 15 8 13 13 18 11 16
11 10 9 8 14 13 12 11
10 8 8 6 14 12 12 10
16 21 14 19 21 26 19 24
8 7 6 5 15 14 13 12
8 11 6 9 12 15 10 13
17 16 15 14 21 20 19 18
10 10 8 8 13 13 11 11
7 6 5 4 10 9 8 7
9 10 7 8 12 13 10 11
22 25 20 23 24 27 22 25
6 6 4 4 9 9 7 7
6 6 4 4 8 8 6 6
39 45 37 43 46 52 44 50
10 8 8 6 13 11 11 9
12 9 10 7 19 16 17 14
9 10 7 8 11 12 9 10
5 6 3 4 7 8 5 6
6 6 4 4 10 10 8 8
18 19 16 17 21 22 19 20
7 7 5 5 9 9 7 7
14 14 12 12 18 18 16 16
10 10 8 8 14 14 12 12
12 15 10 13 17 20 15 18
11 16 9 14 15 20 13 18
13 15 11 13 16 18 14 16
8 13 6 11 11 16 9 14
16 19 14 17 21 24 19 22
19 16 17 14 23 20 21 18
33 31 31 29 37 35 35 33
9 10 7 8 14 15 12 13
9 9 7 7 13 13 11 11
14 12 12 10 18 16 16 14
31 42 29 40 34 45 32 43
6 8 4 6 10 12 8 10
17 24 15 22 20 27 18 25
7 7 5 5 11 11 9 9
19 15 17 13 22 18 20 16
5 8 3 6 12 15 10 13
9 7 7 5 13 11 11 9
13 13 11 11 17 17 15 15
10 15 8 13 14 19 12 17
8 0 6 -2 13 5 11 3
10 11 8 9 14 15 12 13
12 9 10 7 15 12 13 10
9 7 7 5 13 11 11 9
5 5 3 3 9 9 7 7
10 14 8 12 13 17 11 15
8 9 6 7 13 14 11 12
14 19 12 17 18 23 16 21
7 7 5 5 11 11 9 9
9 9 7 7 13 13 11 11
5 6 3 4 10 11 8 9
5 5 3 3 9 9 7 7
16 20 14 18 23 27 21 25
4 5 2 3 7 8 5 6
16 20 14 18 20 24 18 22
12 16 10 14 16 20 14 18
14 13 12 11 19 18 17 16
9 9 7 7 13 13 11 11
18 22 16 20 22 26 20 24
18 16 16 14 20 18 18 16
6 6 4 4 12 12 10 10
4 5 2 3 7 8 5 6
10 11 8 9 14 15 12 13
21 21 19 19 29 29 27 27
18 18 16 16 22 22 20 20
8 8 6 6 11 11 9 9
7 14 5 12 18 25 16 23
6 5 4 3 9 8 7 6
21 21 19 19 25 25 23 23
10 10 8 8 14 14 12 12
11 10 9 8 14 13 12 11
9 9 7 7 14 14 12 12
17 14 15 12 21 18 19 16
15 14 13 12 20 19 18 17
6 9 4 7 9 12 7 10
43 40 41 38 49 46 47 44
22 25 20 23 26 29 24 27
17 23 15 21 19 25 17 23
16 19 14 17 20 23 18 21
6 7 4 5 10 11 8 9
18 22 16 20 22 26 20 24
5 4 3 2 8 7 6 5
9 6 7 4 12 9 10 7
11 11 9 9 15 15 13 13
7 7 5 5 10 10 8 8
15 15 13 13 19 19 17 17
8 7 6 5 13 12 11 10
10 11 8 9 15 16 13 14
15 18 13 16 21 24 19 22
37 38 35 36 42 43 40 41
26 33 24 31 31 38 29 36
7 9 5 7 11 13 9 11
10 9 8 7 15 14 13 12
4 5 2 3 7 8 5 6
29 31 27 29 34 36 32 34
16 17 14 15 18 19 16 17
5 5 3 3 9 9 7 7
9 8 7 6 11 10 9 8
16 17 14 15 20 21 18 19
7 8 5 6 12 13 10 11
5 6 3 4 10 11 8 9
9 8 7 6 12 11 10 9
5 6 3 4 8 9 6 7
30 26 28 24 34 30 32 28
16 14 14 12 21 19 19 17
7 8 5 6 12 13 10 11
14 14 12 12 18 18 16 16
14 14 12 12 20 20 18 18
15 14 13 12 18 17 16 15
7 7 5 5 11 11 9 9
7 7 5 5 10 10 8 8
16 16 14 14 19 19 17 17
17 26 15 24 20 29 18 27
14 14 12 12 17 17 15 15
13 10 11 8 16 13 14 11
9 8 7 6 14 13 12 11
11 12 9 10 14 15 12 13
4 4 2 2 6 6 4 4
10 9 8 7 15 14 13 12
8 10 6 8 10 12 8 10
14 10 12 8 19 15 17 13
4 4 2 2 6 6 4 4
9 9 7 7 11 11 9 9
12 12 10 10 14 14 12 12
8 12 6 10 14 18 12 16
9 8 7 6 11 10 9 8
7 7 5 5 9 9 7 7
4 4 2 2 6 6 4 4
6 6 4 4 12 12 10 10
9 10 7 8 11 12 9 10
12 13 10 11 17 18 15 16
9 7 7 5 11 9 9 7
15 15 13 13 19 19 17 17
12 11 10 9 15 14 13 12
11 9 9 7 15 13 13 11
6 7 4 5 9 10 7 8
12 13 10 11 15 16 13 14
7 9 5 7 15 17 13 15
11 16 9 14 14 19 12 17
15 20 13 18 19 24 17 22
9 8 7 6 12 11 10 9
17 16 15 14 20 19 18 17
16 11 14 9 21 16 19 14
6 7 4 5 11 12 9 10
32 42 30 40 36 46 34 44
11 12 9 10 14 15 12 13
15 10 13 8 18 13 16 11
9 10 7 8 12 13 10 11
19 28 17 26 24 33 22 31
28 42 26 40 32 46 30 44
8 8 6 6 12 12 10 10
6 6 4 4 10 10 8 8
22 17 20 15 25 20 23 18
16 15 14 13 20 19 18 17
13 10 11 8 17 14 15 12
10 10 8 8 14 14 12 12
6 6 4 4 12 12 10 10
17 12 15 10 20 15 18 13
8 8 6 6 10 10 8 8
10 7 8 5 12 9 10 7
7 12 5 10 13 18 11 16
13 17 11 15 21 25 19 23
19 26 17 24 21 28 19 26
6 8 4 6 10 12 8 10
23 34 21 32 28 39 26 37
9 9 7 7 13 13 11 11
18 15 16 13 21 18 19 16
14 15 12 13 17 18 15 16
9 10 7 8 12 13 10 11
6 6 4 4 9 9 7 7
12 12 10 10 16 16 14 14
10 9 8 7 13 12 11 10
32 30 30 28 36 34 34 32
9 12 7 10 12 15 10 13
17 15 15 13 20 18 18 16
24 26 22 24 29 31 27 29
8 8 6 6 12 12 10 10
12 10 10 8 16 14 14 12
12 18 10 16 17 23 15 21
8 8 6 6 12 12 10 10
14 12 12 10 18 16 16 14
5 4 3 2 8 7 6 5
7 7 5 5 11 11 9 9
10 5 8 3 19 14 17 12
11 9 9 7 15 13 13 11
18 21 16 19 22 25 20 23
8 12 6 10 10 14 8 12
10 11 8 9 15 16 13 14
8 10 6 8 12 14 10 12
5 -3 3 -5 11 3 9 1
6 5 4 3 8 7 6 5
6 6 4 4 8 8 6 6
18 22 16 20 21 25 19 23
6 6 4 4 8 8 6 6
7 6 5 4 10 9 8 7
13 13 11 11 18 18 16 16
5 6 3 4 8 9 6 7
9 9 7 7 11 11 9 9
7 10 5 8 14 17 12 15
14 17 12 15 18 21 16 19
23 32 21 30 26 35 24 33
16 16 14 14 20 20 18 18
40 35 38 33 42 37 40 35
13 16 11 14 18 21 16 19
9 9 7 7 15 15 13 13
38 61 36 59 41 64 39 62
28 31 26 29 33 36 31 34
21 15 19 13 27 21 25 19
26 18 24 16 29 21 27 19
11 16 9 14 17 22 15 20
34 33 32 31 37 36 35 34
8 8 6 6 10 10 8 8
9 8 7 6 12 11 10 9
11 15 9 13 15 19 13 17
4 4 2 2 6 6 4 4
9 6 7 4 12 9 10 7
6 6 4 4 8 8 6 6
6 7 4 5 9 10 7 8
4 4 2 2 6 6 4 4
6 6 4 4 9 9 7 7
7 6 5 4 10 9 8 7
13 11 11 9 18 16 16 14
6 8 4 6 11 13 9 11
16 12 14 10 19 15 17 13
10 11 8 9 13 14 11 12
4 8 2 6 10 14 8 12
7 9 5 7 9 11 7 9
20 17 18 15 23 20 21 18
5 6 3 4 10 11 8 9
6 7 4 5 9 10 7 8
