original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
17 17 15 15 12 12 10 10
10 8 8 6 6 4 4 2
10 11 8 9 5 6 3 4
6 6 4 4 4 4 2 2
13 23 11 21 10 20 8 18
10 17 8 15 7 14 5 12
7 8 5 6 4 5 2 3
11 14 9 12 7 10 5 8
9 9 7 7 5 5 3 3
20 16 18 14 16 12 14 10
16 23 14 21 8 15 6 13
17 19 15 17 12 14 10 12
11 14 9 12 8 11 6 9
8 10 6 8 4 6 2 4
14 11 12 9 10 7 8 5
9 15 7 13 6 12 4 10
14 33 12 31 8 27 6 25
7 8 5 6 4 5 2 3
10 10 8 8 8 8 6 6
14 15 12 13 11 12 9 10
8 8 6 6 5 5 3 3
10 8 8 6 6 4 4 2
15 14 13 12 10 9 8 7
9 10 7 8 6 7 4 5
11 17 9 15 5 11 3 9
34 30 32 28 30 26 28 24
21 27 19 25 16 22 14 20
7 10 5 8 4 7 2 5
14 13 12 11 11 10 9 8
11 12 9 10 7 8 5 6
11 17 9 15 5 11 3 9
17 16 15 14 8 7 6 5
12 18 10 16 8 14 6 12
13 8 11 6 9 4 7 2
37 36 35 34 28 27 26 25
12 14 10 12 8 10 6 8
7 10 5 8 4 7 2 5
8 8 6 6 6 6 4 4
15 15 13 13 10 10 8 8
6 8 4 6 4 6 2 4
11 10 9 8 6 5 4 3
9 11 7 9 4 6 2 4
15 25 13 23 9 19 7 17
7 12 5 10 4 9 2 7
7 8 5 6 4 5 2 3
11 18 9 16 7 14 5 12
7 10 5 8 4 7 2 5
12 11 10 9 8 7 6 5
21 31 19 29 17 27 15 25
14 10 12 8 8 4 6 2
9 8 7 6 6 5 4 3
9 20 7 18 4 15 2 13
13 34 11 32 8 29 6 27
11 7 9 5 8 4 6 2
12 16 10 14 8 12 6 10
15 11 13 9 10 6 8 4
13 14 11 12 8 9 6 7
14 11 12 9 8 5 6 3
22 24 20 22 18 20 16 18
10 10 8 8 8 8 6 6
14 16 12 14 6 8 4 6
17 26 15 24 13 22 11 20
8 8 6 6 6 6 4 4
10 10 8 8 8 8 6 6
9 22 7 20 5 18 3 16
15 10 13 8 10 5 8 3
8 7 6 5 5 4 3 2
13 15 11 13 9 11 7 9
14 15 12 13 9 10 7 8
12 10 10 8 8 6 6 4
19 15 17 13 11 7 9 5
7 8 5 6 4 5 2 3
24 24 22 22 18 18 16 16
10 13 8 11 5 8 3 6
7 6 5 4 5 4 3 2
9 15 7 13 6 12 4 10
8 7 6 5 5 4 3 2
14 16 12 14 6 8 4 6
7 12 5 10 4 9 2 7
15 20 13 18 6 11 4 9
10 9 8 7 7 6 5 4
9 21 7 19 6 18 4 16
10 14 8 12 5 9 3 7
8 12 6 10 6 10 4 8
8 9 6 7 4 5 2 3
8 7 6 5 5 4 3 2
7 13 5 11 5 11 3 9
12 17 10 15 6 11 4 9
8 18 6 16 5 15 3 13
10 11 8 9 5 6 3 4
7 8 5 6 5 6 3 4
11 15 9 13 4 8 2 6
10 13 8 11 5 8 3 6
7 8 5 6 4 5 2 3
16 19 14 17 12 15 10 13
8 10 6 8 4 6 2 4
10 14 8 12 8 12 6 10
15 12 13 10 9 6 7 4
14 9 12 7 11 6 9 4
10 8 8 6 6 4 4 2
7 8 5 6 4 5 2 3
20 24 18 22 14 18 12 16
8 7 6 5 5 4 3 2
8 8 6 6 6 6 4 4
9 21 7 19 5 17 3 15
12 23 10 21 6 17 4 15
16 11 14 9 9 4 7 2
8 20 6 18 5 17 3 15
7 13 5 11 4 10 2 8
11 13 9 11 5 7 3 5
16 11 14 9 9 4 7 2
11 9 9 7 7 5 5 3
11 18 9 16 5 12 3 10
15 12 13 10 9 6 7 4
32 32 30 30 30 30 28 28
12 9 10 7 7 4 5 2
15 22 13 20 10 17 8 15
11 8 9 6 8 5 6 3
10 8 8 6 6 4 4 2
6 7 4 5 4 5 2 3
