original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
18 17 16 15 22 21 20 19
21 22 19 20 24 25 22 23
11 11 9 9 13 13 11 11
19 22 17 20 25 28 23 26
41 32 39 30 46 37 44 35
19 30 17 28 25 36 23 34
17 13 15 11 21 17 19 15
17 13 15 11 21 17 19 15
17 13 15 11 21 17 19 15
35 24 33 22 38 27 36 25
18 17 16 15 25 24 23 22
14 10 12 8 18 14 16 12
13 17 11 15 18 22 16 20
22 27 20 25 27 32 25 30
13 13 11 11 16 16 14 14
22 18 20 16 26 22 24 20
21 20 19 18 25 24 23 22
12 14 10 12 19 21 17 19
12 11 10 9 14 13 12 11
25 18 23 16 28 21 26 19
19 26 17 24 22 29 20 27
12 15 10 13 15 18 13 16
20 14 18 12 23 17 21 15
11 10 9 8 16 15 14 13
20 16 18 14 26 22 24 20
14 13 12 11 20 19 18 17
8 9 6 7 13 14 11 12
10 10 8 8 15 15 13 13
34 22 32 20 37 25 35 23
7 8 5 6 11 12 9 10
13 12 11 10 15 14 13 12
28 31 26 29 36 39 34 37
26 20 24 18 30 24 28 22
16 13 14 11 21 18 19 16
24 27 22 25 27 30 25 28
10 10 8 8 14 14 12 12
13 13 11 11 16 16 14 14
16 15 14 13 19 18 17 16
30 28 28 26 34 32 32 30
20 21 18 19 24 25 22 23
10 9 8 7 15 14 13 12
15 17 13 15 21 23 19 21
15 16 13 14 18 19 16 17
19 26 17 24 23 30 21 28
28 32 26 30 33 37 31 35
10 9 8 7 13 12 11 10
48 42 46 40 51 45 49 43
22 22 20 20 24 24 22 22
46 36 44 34 49 39 47 37
19 16 17 14 23 20 21 18
15 19 13 17 18 22 16 20
29 26 27 24 33 30 31 28
29 22 27 20 31 24 29 22
11 11 9 9 13 13 11 11
17 19 15 17 19 21 17 19
