original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
10 24 8 22 5 19 3 17
10 13 8 11 5 8 3 6
12 37 10 35 6 31 4 29
12 13 10 11 9 10 7 8
11 13 9 11 5 7 3 5
8 8 6 6 5 5 3 3
11 11 9 9 7 7 5 5
35 38 33 36 31 34 29 32
14 15 12 13 9 10 7 8
13 30 11 28 10 27 8 25
25 13 23 11 20 8 18 6
9 13 7 11 5 9 3 7
11 11 9 9 8 8 6 6
30 24 28 22 26 20 24 18
11 22 9 20 7 18 5 16
26 18 24 16 19 11 17 9
7 11 5 9 4 8 2 6
6 7 4 5 4 5 2 3
11 11 9 9 7 7 5 5
6 6 4 4 4 4 2 2
9 9 7 7 5 5 3 3
29 59 27 57 20 50 18 48
12 10 10 8 7 5 5 3
13 18 11 16 9 14 7 12
12 14 10 12 9 11 7 9
9 9 7 7 5 5 3 3
27 28 25 26 19 20 17 18
10 14 8 12 5 9 3 7
25 23 23 21 22 20 20 18
16 12 14 10 13 9 11 7
10 19 8 17 6 15 4 13
29 18 27 16 23 12 21 10
23 23 21 21 15 15 13 13
33 45 31 43 30 42 28 40
10 25 8 23 6 21 4 19
15 41 13 39 10 36 8 34
6 6 4 4 4 4 2 2
17 34 15 32 10 27 8 25
12 12 10 10 8 8 6 6
19 37 17 35 15 33 13 31
11 15 9 13 7 11 5 9
15 31 13 29 12 28 10 26
13 47 11 45 8 42 6 40
13 11 11 9 7 5 5 3
9 14 7 12 5 10 3 8
16 20 14 18 12 16 10 14
19 9 17 7 15 5 13 3
15 10 13 8 11 6 9 4
14 13 12 11 10 9 8 7
12 17 10 15 7 12 5 10
9 9 7 7 5 5 3 3
9 9 7 7 5 5 3 3
10 11 8 9 7 8 5 6
11 16 9 14 7 12 5 10
12 29 10 27 7 24 5 22
45 49 43 47 37 41 35 39
11 16 9 14 8 13 6 11
9 44 7 42 4 39 2 37
10 10 8 8 6 6 4 4
12 33 10 31 8 29 6 27
12 14 10 12 8 10 6 8
8 14 6 12 5 11 3 9
11 19 9 17 9 17 7 15
23 40 21 38 16 33 14 31
8 9 6 7 5 6 3 4
15 24 13 22 8 17 6 15
12 12 10 10 8 8 6 6
19 22 17 20 9 12 7 10
22 59 20 57 15 52 13 50
16 12 14 10 12 8 10 6
30 28 28 26 27 25 25 23
13 10 11 8 10 7 8 5
11 18 9 16 7 14 5 12
7 15 5 13 4 12 2 10
12 23 10 21 6 17 4 15
10 12 8 10 6 8 4 6
9 11 7 9 5 7 3 5
15 16 13 14 11 12 9 10
8 7 6 5 5 4 3 2
9 22 7 20 5 18 3 16
11 14 9 12 8 11 6 9
15 22 13 20 12 19 10 17
10 9 8 7 6 5 4 3
17 20 15 18 13 16 11 14
13 16 11 14 8 11 6 9
11 13 9 11 5 7 3 5
10 13 8 11 7 10 5 8
20 21 18 19 14 15 12 13
23 35 21 33 21 33 19 31
10 8 8 6 7 5 5 3
18 22 16 20 12 16 10 14
15 16 13 14 12 13 10 11
15 45 13 43 13 43 11 41
16 18 14 16 11 13 9 11
24 37 22 35 21 34 19 32
13 24 11 22 9 20 7 18
9 12 7 10 5 8 3 6
14 16 12 14 10 12 8 10
10 8 8 6 7 5 5 3
8 10 6 8 4 6 2 4
21 10 19 8 15 4 13 2
18 19 16 17 14 15 12 13
9 14 7 12 5 10 3 8
10 16 8 14 7 13 5 11
22 22 20 20 18 18 16 16
24 28 22 26 21 25 19 23
9 9 7 7 5 5 3 3
27 29 25 27 21 23 19 21
11 9 9 7 8 6 6 4
41 51 39 49 36 46 34 44
15 15 13 13 8 8 6 6
22 51 20 49 18 47 16 45
9 10 7 8 5 6 3 4
14 15 12 13 8 9 6 7
9 26 7 24 5 22 3 20
13 22 11 20 6 15 4 13
15 15 13 13 8 8 6 6
14 9 12 7 10 5 8 3
15 34 13 32 11 30 9 28
10 9 8 7 6 5 4 3
11 11 9 9 6 6 4 4
12 20 10 18 7 15 5 13
12 47 10 45 9 44 7 42
14 37 12 35 8 31 6 29
11 17 9 15 8 14 6 12
30 35 28 33 27 32 25 30
6 6 4 4 4 4 2 2
11 13 9 11 5 7 3 5
18 14 16 12 15 11 13 9
15 10 13 8 10 5 8 3
18 19 16 17 14 15 12 13
15 20 13 18 5 10 3 8
14 13 12 11 7 6 5 4
15 15 13 13 7 7 5 5
11 16 9 14 7 12 5 10
23 20 21 18 19 16 17 14
31 24 29 22 27 20 25 18
11 11 9 9 7 7 5 5
7 50 5 48 4 47 2 45
14 41 12 39 9 36 7 34
12 15 10 13 6 9 4 7
16 23 14 21 12 19 10 17
20 25 18 23 9 14 7 12
11 14 9 12 7 10 5 8
15 18 13 16 7 10 5 8
14 27 12 25 10 23 8 21
21 19 19 17 15 13 13 11
11 15 9 13 7 11 5 9
8 10 6 8 6 8 4 6
11 35 9 33 7 31 5 29
13 11 11 9 9 7 7 5
11 13 9 11 6 8 4 6
9 12 7 10 5 8 3 6
12 9 10 7 7 4 5 2
8 8 6 6 5 5 3 3
7 8 5 6 4 5 2 3
12 30 10 28 8 26 6 24
14 24 12 22 9 19 7 17
9 12 7 10 5 8 3 6
12 11 10 9 9 8 7 6
7 12 5 10 4 9 2 7
21 30 19 28 16 25 14 23
39 31 37 29 35 27 33 25
12 9 10 7 8 5 6 3
9 15 7 13 5 11 3 9
16 11 14 9 13 8 11 6
18 11 16 9 15 8 13 6
9 15 7 13 6 12 4 10
11 12 9 10 7 8 5 6
8 12 6 10 5 9 3 7
9 17 7 15 5 13 3 11
11 14 9 12 6 9 4 7
7 6 5 4 5 4 3 2
10 14 8 12 6 10 4 8
27 27 25 25 22 22 20 20
13 16 11 14 5 8 3 6
15 13 13 11 9 7 7 5
13 14 11 12 7 8 5 6
27 27 25 25 23 23 21 21
7 47 5 45 4 44 2 42
9 12 7 10 5 8 3 6
12 14 10 12 8 10 6 8
9 10 7 8 5 6 3 4
11 16 9 14 9 14 7 12
13 22 11 20 7 16 5 14
27 27 25 25 19 19 17 17
12 20 10 18 8 16 6 14
9 13 7 11 5 9 3 7
18 9 16 7 14 5 12 3
14 59 12 57 10 55 8 53
11 18 9 16 6 13 4 11
30 33 28 31 23 26 21 24
11 12 9 10 9 10 7 8
12 9 10 7 7 4 5 2
18 42 16 40 9 33 7 31
15 14 13 12 8 7 6 5
11 13 9 11 8 10 6 8
17 18 15 16 14 15 12 13
17 19 15 17 9 11 7 9
23 18 21 16 15 10 13 8
42 42 40 40 35 35 33 33
17 32 15 30 12 27 10 25
11 28 9 26 7 24 5 22
11 9 9 7 8 6 6 4
36 33 34 31 29 26 27 24
7 6 5 4 5 4 3 2
53 53 51 51 49 49 47 47
12 19 10 17 8 15 6 13
27 20 25 18 20 13 18 11
24 31 22 29 13 20 11 18
35 31 33 29 25 21 23 19
9 9 7 7 5 5 3 3
11 13 9 11 5 7 3 5
34 41 32 39 31 38 29 36
24 25 22 23 21 22 19 20
22 25 20 23 18 21 16 19
44 45 42 43 39 40 37 38
8 9 6 7 5 6 3 4
11 11 9 9 7 7 5 5
11 13 9 11 5 7 3 5
25 17 23 15 20 12 18 10
9 12 7 10 5 8 3 6
9 18 7 16 5 14 3 12
10 20 8 18 6 16 4 14
26 34 24 32 22 30 20 28
14 16 12 14 11 13 9 11
8 6 6 4 6 4 4 2
10 11 8 9 5 6 3 4
12 12 10 10 7 7 5 5
26 27 24 25 22 23 20 21
12 13 10 11 7 8 5 6
16 18 14 16 11 13 9 11
12 9 10 7 7 4 5 2
9 11 7 9 5 7 3 5
9 10 7 8 5 6 3 4
15 24 13 22 12 21 10 19
21 14 19 12 15 8 13 6
13 13 11 11 7 7 5 5
12 9 10 7 7 4 5 2
12 9 10 7 7 4 5 2
24 16 22 14 20 12 18 10
7 11 5 9 4 8 2 6
