original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
81 72 79 70 85 76 83 74
65 43 63 41 69 47 67 45
9 9 7 7 11 11 9 9
38 50 36 48 42 54 40 52
19 16 17 14 25 22 23 20
12 13 10 11 15 16 13 14
6 6 4 4 12 12 10 10
67 49 65 47 71 53 69 51
27 25 25 23 32 30 30 28
77 54 75 52 84 61 82 59
83 107 81 105 87 111 85 109
30 39 28 37 34 43 32 41
31 25 29 23 34 28 32 26
14 16 12 14 19 21 17 19
44 49 42 47 47 52 45 50
23 27 21 25 26 30 24 28
31 35 29 33 34 38 32 36
24 28 22 26 28 32 26 30
14 14 12 12 16 16 14 14
36 48 34 46 40 52 38 50
17 18 15 16 19 20 17 18
20 19 18 17 24 23 22 21
13 11 11 9 16 14 14 12
23 28 21 26 26 31 24 29
24 24 22 22 28 28 26 26
17 14 15 12 20 17 18 15
43 47 41 45 47 51 45 49
15 15 13 13 18 18 16 16
60 54 58 52 63 57 61 55
31 31 29 29 35 35 33 33
18 15 16 13 21 18 19 16
10 13 8 11 14 17 12 15
20 24 18 22 23 27 21 25
17 21 15 19 21 25 19 23
19 17 17 15 23 21 21 19
19 13 17 11 27 21 25 19
20 18 18 16 25 23 23 21
36 32 34 30 41 37 39 35
17 20 15 18 21 24 19 22
10 10 8 8 14 14 12 12
20 25 18 23 24 29 22 27
37 30 35 28 46 39 44 37
17 18 15 16 22 23 20 21
23 24 21 22 30 31 28 29
17 16 15 14 20 19 18 17
41 31 39 29 50 40 48 38
30 20 28 18 35 25 33 23
19 18 17 16 22 21 20 19
20 22 18 20 24 26 22 24
48 48 46 46 52 52 50 50
18 16 16 14 22 20 20 18
20 18 18 16 25 23 23 21
39 41 37 39 43 45 41 43
23 38 21 36 28 43 26 41
89 69 87 67 95 75 93 73
31 21 29 19 34 24 32 22
28 28 26 26 34 34 32 32
13 16 11 14 20 23 18 21
11 14 9 12 17 20 15 18
38 37 36 35 41 40 39 38
52 51 50 49 55 54 53 52
19 25 17 23 23 29 21 27
61 60 59 58 65 64 63 62
51 43 49 41 58 50 56 48
34 29 32 27 37 32 35 30
26 23 24 21 30 27 28 25
79 69 77 67 83 73 81 71
33 27 31 25 37 31 35 29
49 47 47 45 53 51 51 49
54 49 52 47 61 56 59 54
86 83 84 81 90 87 88 85
21 20 19 18 25 24 23 22
20 22 18 20 24 26 22 24
19 20 17 18 25 26 23 24
25 25 23 23 29 29 27 27
27 27 25 25 31 31 29 29
53 49 51 47 57 53 55 51
28 26 26 24 33 31 31 29
10 8 8 6 13 11 11 9
12 12 10 10 14 14 12 12
18 15 16 13 21 18 19 16
44 44 42 42 48 48 46 46
16 18 14 16 19 21 17 19
49 47 47 45 53 51 51 49
7 7 5 5 9 9 7 7
15 16 13 14 20 21 18 19
23 22 21 20 27 26 25 24
15 15 13 13 18 18 16 16
24 21 22 19 28 25 26 23
13 12 11 10 17 16 15 14
33 31 31 29 39 37 37 35
5 4 3 2 8 7 6 5
49 71 47 69 53 75 51 73
31 34 29 32 35 38 33 36
17 16 15 14 20 19 18 17
45 34 43 32 50 39 48 37
45 34 43 32 50 39 48 37
58 52 56 50 64 58 62 56
17 15 15 13 21 19 19 17
56 49 54 47 60 53 58 51
38 38 36 36 40 40 38 38
47 70 45 68 54 77 52 75
42 43 40 41 50 51 48 49
14 12 12 10 18 16 16 14
15 15 13 13 18 18 16 16
16 12 14 10 19 15 17 13
9 11 7 9 14 16 12 14
49 49 47 47 51 51 49 49
84 73 82 71 87 76 85 74
12 11 10 9 17 16 15 14
16 16 14 14 18 18 16 16
74 89 72 87 78 93 76 91
38 33 36 31 41 36 39 34
26 27 24 25 32 33 30 31
44 33 42 31 50 39 48 37
56 42 54 40 60 46 58 44
11 12 9 10 14 15 12 13
18 15 16 13 22 19 20 17
15 15 13 13 17 17 15 15
21 25 19 23 29 33 27 31
26 19 24 17 30 23 28 21
32 35 30 33 35 38 33 36
6 5 4 3 11 10 9 8
63 69 61 67 70 76 68 74
14 19 12 17 18 23 16 21
15 17 13 15 18 20 16 18
74 50 72 48 79 55 77 53
18 14 16 12 21 17 19 15
49 31 47 29 52 34 50 32
20 15 18 13 23 18 21 16
19 19 17 17 23 23 21 21
36 36 34 34 41 41 39 39
40 36 38 34 44 40 42 38
21 14 19 12 24 17 22 15
42 42 40 40 46 46 44 44
67 52 65 50 70 55 68 53
27 35 25 33 31 39 29 37
25 19 23 17 30 24 28 22
11 10 9 8 13 12 11 10
17 17 15 15 20 20 18 18
20 20 18 18 24 24 22 22
20 20 18 18 24 24 22 22
23 34 21 32 27 38 25 36
53 96 51 94 57 100 55 98
11 15 9 13 14 18 12 16
14 15 12 13 19 20 17 18
16 15 14 13 22 21 20 19
9 12 7 10 12 15 10 13
36 30 34 28 40 34 38 32
28 46 26 44 32 50 30 48
25 38 23 36 28 41 26 39
