original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
17 31 15 29 12 26 10 24
14 36 12 34 8 30 6 28
15 17 13 15 11 13 9 11
18 30 16 28 15 27 13 25
9 15 7 13 4 10 2 8
9 26 7 24 5 22 3 20
15 25 13 23 11 21 9 19
6 21 4 19 4 19 2 17
11 27 9 25 7 23 5 21
15 15 13 13 11 11 9 9
18 32 16 30 12 26 10 24
9 12 7 10 7 10 5 8
9 14 7 12 6 11 4 9
11 37 9 35 8 34 6 32
11 28 9 26 8 25 6 23
7 7 5 5 5 5 3 3
10 16 8 14 6 12 4 10
19 29 17 27 14 24 12 22
9 10 7 8 6 7 4 5
9 28 7 26 7 26 5 24
9 10 7 8 5 6 3 4
17 22 15 20 12 17 10 15
8 10 6 8 5 7 3 5
12 21 10 19 8 17 6 15
10 17 8 15 8 15 6 13
17 21 15 19 12 16 10 14
9 24 7 22 6 21 4 19
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
10 15 8 13 7 12 5 10
8 9 6 7 6 7 4 5
12 41 10 39 8 37 6 35
12 33 10 31 8 29 6 27
9 12 7 10 6 9 4 7
31 47 29 45 27 43 25 41
8 10 6 8 5 7 3 5
9 12 7 10 5 8 3 6
7 23 5 21 5 21 3 19
12 11 10 9 10 9 8 7
8 13 6 11 4 9 2 7
10 15 8 13 7 12 5 10
9 8 7 6 6 5 4 3
7 11 5 9 4 8 2 6
15 19 13 17 10 14 8 12
7 29 5 27 4 26 2 24
11 15 9 13 8 12 6 10
9 14 7 12 5 10 3 8
8 8 6 6 5 5 3 3
15 20 13 18 10 15 8 13
7 11 5 9 4 8 2 6
13 25 11 23 8 20 6 18
20 19 18 17 17 16 15 14
7 8 5 6 4 5 2 3
11 17 9 15 8 14 6 12
11 14 9 12 6 9 4 7
16 16 14 14 12 12 10 10
13 15 11 13 8 10 6 8
7 25 5 23 4 22 2 20
12 15 10 13 5 8 3 6
14 19 12 17 9 14 7 12
9 19 7 17 5 15 3 13
8 8 6 6 6 6 4 4
12 13 10 11 10 11 8 9
6 6 4 4 4 4 2 2
13 13 11 11 9 9 7 7
7 10 5 8 4 7 2 5
16 16 14 14 10 10 8 8
9 10 7 8 5 6 3 4
23 12 21 10 19 8 17 6
11 29 9 27 8 26 6 24
9 18 7 16 6 15 4 13
37 41 35 39 34 38 32 36
10 26 8 24 6 22 4 20
10 8 8 6 7 5 5 3
7 8 5 6 4 5 2 3
16 22 14 20 12 18 10 16
8 8 6 6 5 5 3 3
12 12 10 10 8 8 6 6
17 22 15 20 13 18 11 16
6 6 4 4 4 4 2 2
7 9 5 7 4 6 2 4
23 24 21 22 19 20 17 18
10 10 8 8 7 7 5 5
19 25 17 23 15 21 13 19
9 10 7 8 7 8 5 6
14 22 12 20 11 19 9 17
6 20 4 18 4 18 2 16
8 33 6 31 5 30 3 28
22 29 20 27 18 25 16 23
14 20 12 18 10 16 8 14
12 23 10 21 9 20 7 18
19 32 17 30 14 27 12 25
10 17 8 15 6 13 4 11
10 25 8 23 6 21 4 19
13 11 11 9 8 6 6 4
9 23 7 21 6 20 4 18
20 28 18 26 16 24 14 22
9 18 7 16 6 15 4 13
10 14 8 12 8 12 6 10
9 7 7 5 6 4 4 2
9 22 7 20 6 19 4 17
17 17 15 15 10 10 8 8
14 13 12 11 9 8 7 6
14 11 12 9 10 7 8 5
15 15 13 13 12 12 10 10
9 30 7 28 6 27 4 25
14 23 12 21 10 19 8 17
7 8 5 6 4 5 2 3
10 12 8 10 6 8 4 6
10 15 8 13 7 12 5 10
7 9 5 7 4 6 2 4
7 13 5 11 4 10 2 8
15 37 13 35 10 32 8 30
6 11 4 9 4 9 2 7
14 38 12 36 8 32 6 30
18 14 16 12 14 10 12 8
9 19 7 17 7 17 5 15
22 32 20 30 17 27 15 25
11 21 9 19 9 19 7 17
10 12 8 10 5 7 3 5
27 19 25 17 23 15 21 13
17 12 15 10 12 7 10 5
14 20 12 18 11 17 9 15
13 13 11 11 8 8 6 6
18 18 16 16 14 14 12 12
17 17 15 15 12 12 10 10
9 10 7 8 6 7 4 5
18 23 16 21 14 19 12 17
21 17 19 15 16 12 14 10
12 28 10 26 9 25 7 23
15 12 13 10 9 6 7 4
9 14 7 12 5 10 3 8
8 6 6 4 6 4 4 2
8 10 6 8 4 6 2 4
14 12 12 10 9 7 7 5
15 27 13 25 12 24 10 22
9 8 7 6 6 5 4 3
8 7 6 5 5 4 3 2
6 28 4 26 4 26 2 24
12 18 10 16 9 15 7 13
6 9 4 7 4 7 2 5
31 37 29 35 26 32 24 30
8 11 6 9 5 8 3 6
7 8 5 6 4 5 2 3
17 13 15 11 13 9 11 7
13 22 11 20 8 17 6 15
13 42 11 40 8 37 6 35
15 15 13 13 11 11 9 9
10 25 8 23 6 21 4 19
10 15 8 13 7 12 5 10
15 20 13 18 11 16 9 14
15 16 13 14 12 13 10 11
11 15 9 13 6 10 4 8
9 23 7 21 6 20 4 18
9 10 7 8 6 7 4 5
11 28 9 26 7 24 5 22
18 9 16 7 14 5 12 3
7 10 5 8 4 7 2 5
14 16 12 14 10 12 8 10
10 13 8 11 7 10 5 8
8 14 6 12 5 11 3 9
13 14 11 12 8 9 6 7
18 34 16 32 15 31 13 29
11 18 9 16 7 14 5 12
10 25 8 23 6 21 4 19
13 19 11 17 8 14 6 12
9 14 7 12 6 11 4 9
10 19 8 17 7 16 5 14
12 11 10 9 10 9 8 7
8 19 6 17 5 16 3 14
17 22 15 20 13 18 11 16
18 18 16 16 16 16 14 14
7 18 5 16 4 15 2 13
9 14 7 12 6 11 4 9
13 15 11 13 9 11 7 9
10 11 8 9 6 7 4 5
11 17 9 15 7 13 5 11
30 31 28 29 25 26 23 24
7 9 5 7 4 6 2 4
11 28 9 26 8 25 6 23
8 12 6 10 4 8 2 6
11 11 9 9 6 6 4 4
10 23 8 21 6 19 4 17
9 11 7 9 5 7 3 5
14 21 12 19 10 17 8 15
7 8 5 6 4 5 2 3
15 16 13 14 12 13 10 11
7 11 5 9 4 8 2 6
9 9 7 7 5 5 3 3
17 24 15 22 10 17 8 15
16 27 14 25 12 23 10 21
18 20 16 18 14 16 12 14
7 28 5 26 4 25 2 23
10 21 8 19 6 17 4 15
19 18 17 16 14 13 12 11
10 26 8 24 7 23 5 21
13 13 11 11 9 9 7 7
11 18 9 16 7 14 5 12
8 9 6 7 5 6 3 4
9 10 7 8 5 6 3 4
7 12 5 10 4 9 2 7
9 12 7 10 5 8 3 6
20 16 18 14 16 12 14 10
18 16 16 14 15 13 13 11
12 32 10 30 8 28 6 26
9 11 7 9 6 8 4 6
12 15 10 13 8 11 6 9
20 10 18 8 16 6 14 4
12 20 10 18 7 15 5 13
9 9 7 7 5 5 3 3
13 21 11 19 10 18 8 16
16 21 14 19 13 18 11 16
16 16 14 14 12 12 10 10
17 15 15 13 12 10 10 8
13 17 11 15 9 13 7 11
11 9 9 7 8 6 6 4
9 9 7 7 5 5 3 3
10 12 8 10 6 8 4 6
18 20 16 18 14 16 12 14
20 16 18 14 15 11 13 9
7 15 5 13 4 12 2 10
