original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
15 18 13 16 19 22 17 20
22 23 20 21 26 27 24 25
8 12 6 10 10 14 8 12
6 5 4 3 11 10 9 8
7 7 5 5 11 11 9 9
15 18 13 16 21 24 19 22
8 9 6 7 11 12 9 10
9 8 7 6 13 12 11 10
4 5 2 3 7 8 5 6
7 8 5 6 10 11 8 9
6 5 4 3 11 10 9 8
6 8 4 6 10 12 8 10
4 5 2 3 7 8 5 6
15 21 13 19 20 26 18 24
9 9 7 7 13 13 11 11
21 16 19 14 26 21 24 19
7 6 5 4 10 9 8 7
8 7 6 5 13 12 11 10
8 9 6 7 11 12 9 10
5 5 3 3 9 9 7 7
6 7 4 5 9 10 7 8
27 24 25 22 31 28 29 26
7 7 5 5 11 11 9 9
15 16 13 14 19 20 17 18
8 11 6 9 15 18 13 16
23 25 21 23 26 28 24 26
4 4 2 2 6 6 4 4
9 9 7 7 12 12 10 10
23 29 21 27 28 34 26 32
5 5 3 3 7 7 5 5
28 26 26 24 32 30 30 28
8 7 6 5 13 12 11 10
31 21 29 19 36 26 34 24
6 7 4 5 11 12 9 10
10 11 8 9 15 16 13 14
5 5 3 3 8 8 6 6
28 20 26 18 31 23 29 21
6 5 4 3 8 7 6 5
4 6 2 4 7 9 5 7
6 5 4 3 11 10 9 8
9 -4 7 -6 13 0 11 -2
8 5 6 3 14 11 12 9
25 19 23 17 28 22 26 20
8 10 6 8 12 14 10 12
9 7 7 5 13 11 11 9
11 9 9 7 15 13 13 11
5 5 3 3 9 9 7 7
17 21 15 19 22 26 20 24
4 4 2 2 6 6 4 4
5 5 3 3 9 9 7 7
6 7 4 5 9 10 7 8
10 11 8 9 13 14 11 12
4 6 2 4 8 10 6 8
6 9 4 7 9 12 7 10
19 18 17 16 23 22 21 20
9 11 7 9 13 15 11 13
15 15 13 13 23 23 21 21
5 5 3 3 9 9 7 7
13 9 11 7 23 19 21 17
15 14 13 12 23 22 21 20
4 6 2 4 8 10 6 8
8 7 6 5 11 10 9 8
8 7 6 5 11 10 9 8
12 13 10 11 15 16 13 14
9 13 7 11 13 17 11 15
6 -6 4 -8 11 -1 9 -3
7 6 5 4 14 13 12 11
5 4 3 2 8 7 6 5
10 8 8 6 13 11 11 9
4 -12 2 -14 6 -10 4 -12
15 15 13 13 18 18 16 16
4 5 2 3 7 8 5 6
10 13 8 11 13 16 11 14
7 9 5 7 11 13 9 11
12 11 10 9 17 16 15 14
17 25 15 23 22 30 20 28
15 13 13 11 19 17 17 15
7 6 5 4 10 9 8 7
10 8 8 6 15 13 13 11
26 29 24 27 31 34 29 32
6 7 4 5 10 11 8 9
7 4 5 2 11 8 9 6
21 29 19 27 27 35 25 33
12 11 10 9 15 14 13 12
4 4 2 2 6 6 4 4
16 17 14 15 19 20 17 18
20 20 18 18 26 26 24 24
18 17 16 15 21 20 19 18
9 10 7 8 12 13 10 11
21 15 19 13 25 19 23 17
28 25 26 23 33 30 31 28
28 34 26 32 33 39 31 37
11 13 9 11 14 16 12 14
7 7 5 5 9 9 7 7
10 10 8 8 16 16 14 14
35 26 33 24 39 30 37 28
