original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
9 9 7 7 5 5 3 3
7 30 5 28 4 27 2 25
15 17 13 15 11 13 9 11
11 15 9 13 7 11 5 9
9 13 7 11 5 9 3 7
10 11 8 9 6 7 4 5
19 20 17 18 15 16 13 14
13 28 11 26 9 24 7 22
8 10 6 8 5 7 3 5
16 19 14 17 11 14 9 12
9 11 7 9 5 7 3 5
12 13 10 11 9 10 7 8
19 17 17 15 15 13 13 11
12 13 10 11 6 7 4 5
12 23 10 21 8 19 6 17
15 17 13 15 11 13 9 11
13 11 11 9 7 5 5 3
11 19 9 17 5 13 3 11
27 40 25 38 22 35 20 33
11 23 9 21 7 19 5 17
11 10 9 8 7 6 5 4
11 11 9 9 7 7 5 5
10 20 8 18 5 15 3 13
7 12 5 10 4 9 2 7
9 10 7 8 6 7 4 5
10 15 8 13 6 11 4 9
10 13 8 11 6 9 4 7
14 14 12 12 10 10 8 8
15 20 13 18 11 16 9 14
24 22 22 20 21 19 19 17
20 17 18 15 15 12 13 10
9 12 7 10 5 8 3 6
11 14 9 12 8 11 6 9
15 17 13 15 11 13 9 11
15 26 13 24 10 21 8 19
9 11 7 9 5 7 3 5
11 11 9 9 6 6 4 4
8 12 6 10 5 9 3 7
17 40 15 38 12 35 10 33
15 13 13 11 9 7 7 5
24 23 22 21 17 16 15 14
18 18 16 16 14 14 12 12
10 11 8 9 5 6 3 4
21 27 19 25 16 22 14 20
21 18 19 16 15 12 13 10
8 12 6 10 4 8 2 6
13 16 11 14 9 12 7 10
9 9 7 7 5 5 3 3
12 11 10 9 7 6 5 4
9 13 7 11 5 9 3 7
12 15 10 13 7 10 5 8
7 10 5 8 4 7 2 5
9 9 7 7 5 5 3 3
12 16 10 14 7 11 5 9
7 10 5 8 4 7 2 5
9 8 7 6 6 5 4 3
8 17 6 15 5 14 3 12
16 15 14 13 12 11 10 9
9 13 7 11 5 9 3 7
9 11 7 9 5 7 3 5
11 10 9 8 7 6 5 4
10 13 8 11 6 9 4 7
14 12 12 10 10 8 8 6
10 10 8 8 6 6 4 4
10 10 8 8 6 6 4 4
12 13 10 11 6 7 4 5
9 13 7 11 6 10 4 8
7 8 5 6 4 5 2 3
13 12 11 10 11 10 9 8
9 36 7 34 6 33 4 31
17 15 15 13 14 12 12 10
10 27 8 25 7 24 5 22
13 14 11 12 8 9 6 7
19 19 17 17 15 15 13 13
11 17 9 15 8 14 6 12
13 15 11 13 8 10 6 8
11 9 9 7 7 5 5 3
9 11 7 9 6 8 4 6
16 27 14 25 12 23 10 21
11 9 9 7 7 5 5 3
41 45 39 43 36 40 34 38
9 12 7 10 5 8 3 6
13 12 11 10 9 8 7 6
16 16 14 14 13 13 11 11
9 10 7 8 6 7 4 5
12 19 10 17 9 16 7 14
7 8 5 6 4 5 2 3
14 17 12 15 6 9 4 7
10 16 8 14 6 12 4 10
10 19 8 17 6 15 4 13
13 11 11 9 8 6 6 4
10 15 8 13 7 12 5 10
13 31 11 29 9 27 7 25
11 12 9 10 7 8 5 6
18 21 16 19 13 16 11 14
10 11 8 9 5 6 3 4
17 21 15 19 14 18 12 16
8 10 6 8 4 6 2 4
14 12 12 10 9 7 7 5
9 15 7 13 5 11 3 9
11 21 9 19 8 18 6 16
12 14 10 12 8 10 6 8
11 19 9 17 7 15 5 13
7 19 5 17 4 16 2 14
6 9 4 7 4 7 2 5
10 13 8 11 6 9 4 7
11 13 9 11 7 9 5 7
11 -3 9 -5 8 -6 6 -8
7 16 5 14 5 14 3 12
7 33 5 31 4 30 2 28
13 12 11 10 9 8 7 6
11 13 9 11 7 9 5 7
11 11 9 9 7 7 5 5
10 9 8 7 6 5 4 3
7 8 5 6 4 5 2 3
20 28 18 26 16 24 14 22
8 14 6 12 4 10 2 8
11 17 9 15 7 13 5 11
9 13 7 11 5 9 3 7
8 21 6 19 5 18 3 16
17 29 15 27 14 26 12 24
8 8 6 6 5 5 3 3
10 9 8 7 7 6 5 4
9 9 7 7 5 5 3 3
16 12 14 10 11 7 9 5
13 15 11 13 6 8 4 6
10 11 8 9 7 8 5 6
