original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 7 4 5 4 5 2 3
14 11 12 9 11 8 9 6
12 8 10 6 10 6 8 4
8 9 6 7 5 6 3 4
7 16 5 14 5 14 3 12
10 10 8 8 7 7 5 5
9 24 7 22 6 21 4 19
9 13 7 11 7 11 5 9
7 12 5 10 5 10 3 8
10 10 8 8 8 8 6 6
7 12 5 10 5 10 3 8
13 16 11 14 11 14 9 12
9 10 7 8 7 8 5 6
10 8 8 6 8 6 6 4
10 10 8 8 7 7 5 5
9 11 7 9 5 7 3 5
14 12 12 10 12 10 10 8
7 9 5 7 5 7 3 5
8 8 6 6 5 5 3 3
7 12 5 10 5 10 3 8
6 18 4 16 4 16 2 14
15 31 13 29 12 28 10 26
6 11 4 9 4 9 2 7
8 6 6 4 6 4 4 2
33 25 31 23 27 19 25 17
7 8 5 6 5 6 3 4
28 38 26 36 25 35 23 33
9 12 7 10 5 8 3 6
11 12 9 10 8 9 6 7
8 10 6 8 4 6 2 4
6 11 4 9 4 9 2 7
32 35 30 33 29 32 27 30
15 19 13 17 10 14 8 12
7 6 5 4 5 4 3 2
7 13 5 11 5 11 3 9
16 17 14 15 12 13 10 11
8 6 6 4 6 4 4 2
7 13 5 11 4 10 2 8
10 24 8 22 8 22 6 20
8 10 6 8 5 7 3 5
10 12 8 10 7 9 5 7
16 19 14 17 12 15 10 13
6 17 4 15 4 15 2 13
17 16 15 14 14 13 12 11
12 16 10 14 8 12 6 10
7 8 5 6 4 5 2 3
9 6 7 4 7 4 5 2
8 8 6 6 6 6 4 4
8 14 6 12 6 12 4 10
9 25 7 23 6 22 4 20
10 16 8 14 7 13 5 11
7 9 5 7 5 7 3 5
7 11 5 9 5 9 3 7
8 11 6 9 6 9 4 7
28 37 26 35 25 34 23 32
10 8 8 6 7 5 5 3
9 22 7 20 7 20 5 18
7 14 5 12 5 12 3 10
10 12 8 10 8 10 6 8
12 13 10 11 9 10 7 8
6 6 4 4 4 4 2 2
7 7 5 5 5 5 3 3
10 8 8 6 7 5 5 3
7 8 5 6 4 5 2 3
12 9 10 7 9 6 7 4
11 10 9 8 7 6 5 4
6 6 4 4 4 4 2 2
7 9 5 7 5 7 3 5
7 14 5 12 4 11 2 9
7 8 5 6 4 5 2 3
10 23 8 21 7 20 5 18
8 9 6 7 5 6 3 4
8 38 6 36 6 36 4 34
8 8 6 6 6 6 4 4
6 8 4 6 4 6 2 4
9 9 7 7 7 7 5 5
6 6 4 4 4 4 2 2
7 13 5 11 5 11 3 9
7 7 5 5 5 5 3 3
8 10 6 8 5 7 3 5
7 8 5 6 4 5 2 3
6 16 4 14 4 14 2 12
8 8 6 6 5 5 3 3
14 17 12 15 12 15 10 13
9 9 7 7 7 7 5 5
6 8 4 6 4 6 2 4
9 18 7 16 5 14 3 12
7 9 5 7 4 6 2 4
11 9 9 7 9 7 7 5
11 10 9 8 8 7 6 5
19 34 17 32 17 32 15 30
7 10 5 8 5 8 3 6
6 19 4 17 4 17 2 15
7 8 5 6 4 5 2 3
10 10 8 8 8 8 6 6
6 7 4 5 4 5 2 3
7 11 5 9 4 8 2 6
16 31 14 29 11 26 9 24
11 10 9 8 9 8 7 6
12 8 10 6 9 5 7 3
8 18 6 16 6 16 4 14
10 15 8 13 7 12 5 10
17 17 15 15 12 12 10 10
9 15 7 13 6 12 4 10
10 12 8 10 7 9 5 7
11 40 9 38 7 36 5 34
6 6 4 4 4 4 2 2
8 13 6 11 6 11 4 9
8 8 6 6 6 6 4 4
8 10 6 8 6 8 4 6
7 7 5 5 5 5 3 3
7 7 5 5 5 5 3 3
7 7 5 5 5 5 3 3
