original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
12 12 10 10 10 10 8 8
9 9 7 7 7 7 5 5
6 8 4 6 4 6 2 4
13 13 11 11 11 11 9 9
9 10 7 8 7 8 5 6
11 8 9 6 9 6 7 4
9 11 7 9 7 9 5 7
13 14 11 12 11 12 9 10
29 33 27 31 27 31 25 29
9 12 7 10 7 10 5 8
15 15 13 13 13 13 11 11
19 19 17 17 17 17 15 15
10 9 8 7 8 7 6 5
10 10 8 8 8 8 6 6
8 12 6 10 6 10 4 8
19 19 17 17 17 17 15 15
14 14 12 12 12 12 10 10
6 7 4 5 4 5 2 3
11 12 9 10 9 10 7 8
16 13 14 11 14 11 12 9
9 8 7 6 7 6 5 4
12 13 10 11 8 9 6 7
14 17 12 15 12 15 10 13
16 15 14 13 14 13 12 11
8 8 6 6 6 6 4 4
9 8 7 6 7 6 5 4
9 12 7 10 7 10 5 8
14 12 12 10 12 10 10 8
11 10 9 8 9 8 7 6
8 9 6 7 6 7 4 5
8 9 6 7 6 7 4 5
18 17 16 15 16 15 14 13
15 14 13 12 13 12 11 10
13 12 11 10 11 10 9 8
15 15 13 13 13 13 11 11
10 11 8 9 8 9 6 7
10 8 8 6 8 6 6 4
23 20 21 18 21 18 19 16
16 14 14 12 14 12 12 10
17 17 15 15 15 15 13 13
9 10 7 8 6 7 4 5
9 9 7 7 7 7 5 5
28 32 26 30 26 30 24 28
11 10 9 8 9 8 7 6
19 20 17 18 17 18 15 16
14 17 12 15 12 15 10 13
10 12 8 10 8 10 6 8
6 7 4 5 4 5 2 3
10 10 8 8 8 8 6 6
7 7 5 5 5 5 3 3
19 11 17 9 12 4 10 2
10 13 8 11 8 11 6 9
12 9 10 7 10 7 8 5
6 6 4 4 4 4 2 2
16 14 14 12 14 12 12 10
12 11 10 9 10 9 8 7
8 10 6 8 6 8 4 6
16 15 14 13 14 13 12 11
19 23 17 21 17 21 15 19
7 11 5 9 5 9 3 7
8 7 6 5 6 5 4 3
11 10 9 8 9 8 7 6
20 18 18 16 18 16 16 14
13 15 11 13 11 13 9 11
20 21 18 19 18 19 16 17
9 10 7 8 7 8 5 6
9 12 7 10 7 10 5 8
11 6 9 4 9 4 7 2
11 12 9 10 9 10 7 8
31 18 29 16 29 16 27 14
45 30 43 28 25 10 23 8
7 8 5 6 4 5 2 3
12 17 10 15 10 15 8 13
14 10 12 8 12 8 10 6
11 6 9 4 9 4 7 2
16 28 14 26 14 26 12 24
6 8 4 6 4 6 2 4
15 11 13 9 13 9 11 7
8 8 6 6 6 6 4 4
10 6 8 4 8 4 6 2
21 18 19 16 19 16 17 14
9 -7 7 -9 7 -9 5 -11
19 18 17 16 17 16 15 14
15 14 13 12 13 12 11 10
14 16 12 14 12 14 10 12
6 6 4 4 4 4 2 2
14 10 12 8 12 8 10 6
10 10 8 8 8 8 6 6
13 13 11 11 11 11 9 9
15 11 13 9 13 9 11 7
