original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
12 13 10 11 10 11 8 9
9 10 7 8 6 7 4 5
8 6 6 4 6 4 4 2
9 12 7 10 7 10 5 8
11 11 9 9 8 8 6 6
9 7 7 5 7 5 5 3
13 11 11 9 11 9 9 7
6 20 4 18 4 18 2 16
6 7 4 5 4 5 2 3
6 8 4 6 4 6 2 4
6 12 4 10 4 10 2 8
13 20 11 18 11 18 9 16
9 7 7 5 7 5 5 3
9 7 7 5 7 5 5 3
6 7 4 5 4 5 2 3
7 11 5 9 4 8 2 6
11 11 9 9 8 8 6 6
6 10 4 8 4 8 2 6
12 12 10 10 10 10 8 8
11 11 9 9 9 9 7 7
13 14 11 12 11 12 9 10
24 34 22 32 22 32 20 30
13 14 11 12 11 12 9 10
9 8 7 6 7 6 5 4
7 9 5 7 4 6 2 4
6 14 4 12 4 12 2 10
6 9 4 7 4 7 2 5
13 10 11 8 9 6 7 4
9 8 7 6 7 6 5 4
9 11 7 9 7 9 5 7
14 13 12 11 11 10 9 8
34 35 32 33 32 33 30 31
6 6 4 4 4 4 2 2
7 7 5 5 5 5 3 3
7 9 5 7 5 7 3 5
7 6 5 4 5 4 3 2
8 8 6 6 5 5 3 3
11 9 9 7 8 6 6 4
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
16 14 14 12 14 12 12 10
11 10 9 8 9 8 7 6
17 13 15 11 14 10 12 8
8 7 6 5 6 5 4 3
7 8 5 6 4 5 2 3
12 24 10 22 10 22 8 20
15 16 13 14 11 12 9 10
9 10 7 8 7 8 5 6
7 10 5 8 5 8 3 6
10 10 8 8 8 8 6 6
8 13 6 11 5 10 3 8
9 10 7 8 7 8 5 6
17 18 15 16 15 16 13 14
8 10 6 8 6 8 4 6
6 9 4 7 4 7 2 5
8 8 6 6 5 5 3 3
8 24 6 22 6 22 4 20
8 9 6 7 6 7 4 5
10 11 8 9 8 9 6 7
10 9 8 7 6 5 4 3
8 7 6 5 6 5 4 3
6 6 4 4 4 4 2 2
7 6 5 4 5 4 3 2
6 7 4 5 4 5 2 3
8 10 6 8 5 7 3 5
7 10 5 8 5 8 3 6
7 9 5 7 5 7 3 5
9 7 7 5 7 5 5 3
7 33 5 31 5 31 3 29
6 7 4 5 4 5 2 3
8 10 6 8 6 8 4 6
