original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
13 14 11 12 11 12 9 10
13 19 11 17 11 17 9 15
7 6 5 4 5 4 3 2
10 7 8 5 8 5 6 3
14 13 12 11 11 10 9 8
7 10 5 8 5 8 3 6
13 13 11 11 8 8 6 6
10 15 8 13 7 12 5 10
12 12 10 10 10 10 8 8
12 17 10 15 9 14 7 12
11 12 9 10 8 9 6 7
12 15 10 13 10 13 8 11
10 11 8 9 7 8 5 6
12 12 10 10 10 10 8 8
15 25 13 23 13 23 11 21
6 6 4 4 4 4 2 2
18 18 16 16 16 16 14 14
18 17 16 15 15 14 13 12
10 38 8 36 7 35 5 33
7 12 5 10 5 10 3 8
21 28 19 26 17 24 15 22
12 12 10 10 9 9 7 7
15 16 13 14 13 14 11 12
14 16 12 14 12 14 10 12
13 12 11 10 11 10 9 8
23 18 21 16 20 15 18 13
11 51 9 49 9 49 7 47
10 11 8 9 7 8 5 6
8 21 6 19 6 19 4 17
12 12 10 10 9 9 7 7
9 11 7 9 6 8 4 6
13 12 11 10 11 10 9 8
29 32 27 30 27 30 25 28
22 41 20 39 20 39 18 37
15 18 13 16 11 14 9 12
14 15 12 13 12 13 10 11
19 19 17 17 16 16 14 14
21 16 19 14 19 14 17 12
8 8 6 6 5 5 3 3
19 32 17 30 16 29 14 27
6 7 4 5 4 5 2 3
37 37 35 35 33 33 31 31
19 18 17 16 14 13 12 11
12 13 10 11 10 11 8 9
6 7 4 5 4 5 2 3
14 15 12 13 11 12 9 10
12 12 10 10 10 10 8 8
8 11 6 9 6 9 4 7
10 10 8 8 8 8 6 6
12 12 10 10 8 8 6 6
15 16 13 14 12 13 10 11
8 9 6 7 6 7 4 5
18 19 16 17 16 17 14 15
18 20 16 18 15 17 13 15
15 25 13 23 11 21 9 19
6 10 4 8 4 8 2 6
8 11 6 9 6 9 4 7
11 10 9 8 9 8 7 6
11 10 9 8 8 7 6 5
14 16 12 14 12 14 10 12
14 28 12 26 11 25 9 23
9 11 7 9 6 8 4 6
23 36 21 34 21 34 19 32
15 16 13 14 12 13 10 11
13 12 11 10 10 9 8 7
6 12 4 10 4 10 2 8
12 14 10 12 10 12 8 10
6 6 4 4 4 4 2 2
11 12 9 10 7 8 5 6
11 13 9 11 9 11 7 9
19 20 17 18 16 17 14 15
8 -35 6 -37 5 -38 3 -40
14 14 12 12 12 12 10 10
12 22 10 20 10 20 8 18
7 6 5 4 5 4 3 2
9 9 7 7 7 7 5 5
10 20 8 18 7 17 5 15
11 -15 9 -17 8 -18 6 -20
14 19 12 17 12 17 10 15
8 7 6 5 5 4 3 2
7 7 5 5 5 5 3 3
10 10 8 8 7 7 5 5
13 14 11 12 10 11 8 9
