original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
9 9 7 7 5 5 3 3
9 24 7 22 6 21 4 19
12 15 10 13 8 11 6 9
11 14 9 12 7 10 5 8
10 14 8 12 5 9 3 7
9 12 7 10 6 9 4 7
9 10 7 8 6 7 4 5
11 16 9 14 9 14 7 12
18 15 16 13 15 12 13 10
18 16 16 14 14 12 12 10
27 32 25 30 23 28 21 26
11 9 9 7 8 6 6 4
9 20 7 18 6 17 4 15
8 24 6 22 6 22 4 20
10 15 8 13 7 12 5 10
9 18 7 16 5 14 3 12
9 14 7 12 7 12 5 10
9 12 7 10 5 8 3 6
7 7 5 5 5 5 3 3
8 10 6 8 4 6 2 4
6 6 4 4 4 4 2 2
12 10 10 8 9 7 7 5
9 21 7 19 6 18 4 16
9 15 7 13 5 11 3 9
8 16 6 14 5 13 3 11
11 20 9 18 7 16 5 14
9 23 7 21 6 20 4 18
9 14 7 12 5 10 3 8
8 8 6 6 5 5 3 3
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
12 19 10 17 8 15 6 13
10 10 8 8 6 6 4 4
10 15 8 13 6 11 4 9
11 17 9 15 7 13 5 11
16 24 14 22 13 21 11 19
9 9 7 7 6 6 4 4
14 14 12 12 10 10 8 8
12 8 10 6 9 5 7 3
10 12 8 10 7 9 5 7
20 31 18 29 17 28 15 26
17 36 15 34 12 31 10 29
9 11 7 9 5 7 3 5
18 53 16 51 14 49 12 47
8 7 6 5 5 4 3 2
15 19 13 17 10 14 8 12
8 12 6 10 4 8 2 6
11 13 9 11 8 10 6 8
7 17 5 15 5 15 3 13
14 19 12 17 11 16 9 14
8 11 6 9 6 9 4 7
8 11 6 9 5 8 3 6
7 14 5 12 4 11 2 9
9 21 7 19 5 17 3 15
10 21 8 19 8 19 6 17
15 47 13 45 11 43 9 41
9 13 7 11 5 9 3 7
15 22 13 20 11 18 9 16
9 12 7 10 5 8 3 6
14 9 12 7 10 5 8 3
15 36 13 34 11 32 9 30
10 10 8 8 8 8 6 6
8 12 6 10 5 9 3 7
10 8 8 6 6 4 4 2
19 19 17 17 15 15 13 13
8 8 6 6 5 5 3 3
12 16 10 14 8 12 6 10
10 19 8 17 7 16 5 14
6 26 4 24 4 24 2 22
11 13 9 11 8 10 6 8
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
7 11 5 9 4 8 2 6
16 10 14 8 12 6 10 4
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
9 9 7 7 6 6 4 4
7 8 5 6 4 5 2 3
12 16 10 14 7 11 5 9
14 32 12 30 10 28 8 26
14 18 12 16 9 13 7 11
19 24 17 22 15 20 13 18
7 8 5 6 4 5 2 3
9 22 7 20 5 18 3 16
16 58 14 56 13 55 11 53
13 12 11 10 9 8 7 6
8 8 6 6 5 5 3 3
12 18 10 16 8 14 6 12
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
14 20 12 18 12 18 10 16
11 15 9 13 7 11 5 9
12 12 10 10 7 7 5 5
13 19 11 17 9 15 7 13
9 16 7 14 6 13 4 11
7 10 5 8 4 7 2 5
7 16 5 14 4 13 2 11
9 10 7 8 6 7 4 5
19 22 17 20 15 18 13 16
13 12 11 10 8 7 6 5
10 19 8 17 6 15 4 13
18 39 16 37 13 34 11 32
8 13 6 11 6 11 4 9
7 8 5 6 5 6 3 4
13 18 11 16 9 14 7 12
10 66 8 64 5 61 3 59
7 11 5 9 4 8 2 6
7 8 5 6 4 5 2 3
9 16 7 14 6 13 4 11
6 7 4 5 4 5 2 3
17 21 15 19 13 17 11 15
10 21 8 19 6 17 4 15
9 19 7 17 6 16 4 14
27 24 25 22 23 20 21 18
9 8 7 6 6 5 4 3
9 9 7 7 5 5 3 3
9 12 7 10 5 8 3 6
21 21 19 19 17 17 15 15
13 14 11 12 8 9 6 7
10 13 8 11 6 9 4 7
7 19 5 17 4 16 2 14
7 9 5 7 4 6 2 4
13 12 11 10 10 9 8 7
9 11 7 9 6 8 4 6
10 13 8 11 6 9 4 7
7 8 5 6 5 6 3 4
20 12 18 10 18 10 16 8
9 9 7 7 5 5 3 3
9 -1 7 -3 5 -5 3 -7
10 13 8 11 7 10 5 8
11 13 9 11 7 9 5 7
18 20 16 18 13 15 11 13
7 8 5 6 4 5 2 3
7 11 5 9 4 8 2 6
24 24 22 22 22 22 20 20
9 44 7 42 7 42 5 40
11 12 9 10 8 9 6 7
9 12 7 10 6 9 4 7
34 38 32 36 31 35 29 33
6 6 4 4 4 4 2 2
8 21 6 19 4 17 2 15
10 8 8 6 7 5 5 3
12 15 10 13 9 12 7 10
11 14 9 12 8 11 6 9
12 11 10 9 9 8 7 6
9 9 7 7 5 5 3 3
7 8 5 6 4 5 2 3
10 22 8 20 7 19 5 17
12 13 10 11 8 9 6 7
15 22 13 20 11 18 9 16
9 9 7 7 5 5 3 3
11 19 9 17 7 15 5 13
7 12 5 10 4 9 2 7
15 18 13 16 12 15 10 13
16 13 14 11 13 10 11 8
16 20 14 18 12 16 10 14
9 11 7 9 5 7 3 5
10 15 8 13 8 13 6 11
10 13 8 11 6 9 4 7
7 8 5 6 4 5 2 3
10 11 8 9 5 6 3 4
14 14 12 12 12 12 10 10
10 14 8 12 6 10 4 8
8 7 6 5 5 4 3 2
9 15 7 13 5 11 3 9
13 14 11 12 8 9 6 7
9 13 7 11 5 9 3 7
8 10 6 8 5 7 3 5
12 33 10 31 8 29 6 27
7 9 5 7 4 6 2 4
12 9 10 7 8 5 6 3
7 8 5 6 4 5 2 3
12 16 10 14 8 12 6 10
16 21 14 19 10 15 8 13
11 12 9 10 7 8 5 6
21 29 19 27 18 26 16 24
19 14 17 12 15 10 13 8
8 12 6 10 5 9 3 7
12 13 10 11 9 10 7 8
15 19 13 17 12 16 10 14
14 15 12 13 10 11 8 9
7 11 5 9 4 8 2 6
7 11 5 9 4 8 2 6
9 9 7 7 5 5 3 3
18 36 16 34 15 33 13 31
20 24 18 22 17 21 15 19
6 6 4 4 4 4 2 2
9 13 7 11 7 11 5 9
22 20 20 18 19 17 17 15
7 24 5 22 4 21 2 19
7 8 5 6 4 5 2 3
8 10 6 8 4 6 2 4
7 9 5 7 4 6 2 4
10 19 8 17 6 15 4 13
9 15 7 13 5 11 3 9
11 12 9 10 6 7 4 5
11 31 9 29 7 27 5 25
8 13 6 11 4 9 2 7
8 9 6 7 5 6 3 4
11 10 9 8 7 6 5 4
8 10 6 8 4 6 2 4
7 8 5 6 4 5 2 3
7 7 5 5 5 5 3 3
6 7 4 5 4 5 2 3
7 7 5 5 5 5 3 3
7 13 5 11 4 10 2 8
10 27 8 25 7 24 5 22
10 9 8 7 8 7 6 5
8 19 6 17 6 17 4 15
7 13 5 11 5 11 3 9
7 24 5 22 5 22 3 20
6 10 4 8 4 8 2 6
9 19 7 17 5 15 3 13
9 9 7 7 5 5 3 3
13 14 11 12 10 11 8 9
9 9 7 7 7 7 5 5
10 11 8 9 7 8 5 6
6 6 4 4 4 4 2 2
12 12 10 10 8 8 6 6
9 12 7 10 5 8 3 6
15 19 13 17 7 11 5 9
17 18 15 16 12 13 10 11
10 16 8 14 5 11 3 9
7 13 5 11 4 10 2 8
15 14 13 12 12 11 10 9
8 7 6 5 5 4 3 2
7 12 5 10 5 10 3 8
11 13 9 11 5 7 3 5
9 10 7 8 5 6 3 4
9 25 7 23 6 22 4 20
9 12 7 10 5 8 3 6
7 8 5 6 4 5 2 3
19 22 17 20 14 17 12 15
15 24 13 22 11 20 9 18
9 14 7 12 4 9 2 7
7 11 5 9 4 8 2 6
10 36 8 34 6 32 4 30
9 11 7 9 5 7 3 5
15 31 13 29 13 29 11 27
7 9 5 7 4 6 2 4
18 16 16 14 14 12 12 10
7 8 5 6 4 5 2 3
8 11 6 9 5 8 3 6
8 8 6 6 5 5 3 3
11 11 9 9 7 7 5 5
15 10 13 8 12 7 10 5
9 11 7 9 6 8 4 6
13 11 11 9 9 7 7 5
9 9 7 7 5 5 3 3
36 34 34 32 31 29 29 27
10 13 8 11 7 10 5 8
10 11 8 9 5 6 3 4
10 14 8 12 7 11 5 9
8 16 6 14 5 13 3 11
7 8 5 6 4 5 2 3
8 8 6 6 5 5 3 3
13 13 11 11 9 9 7 7
13 11 11 9 8 6 6 4
10 14 8 12 6 10 4 8
22 21 20 19 18 17 16 15
