original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
10 9 8 7 15 14 13 12
26 46 24 44 30 50 28 48
8 8 6 6 12 12 10 10
24 28 22 26 27 31 25 29
11 13 9 11 16 18 14 16
9 9 7 7 11 11 9 9
33 24 31 22 37 28 35 26
17 21 15 19 19 23 17 21
4 4 2 2 6 6 4 4
5 5 3 3 7 7 5 5
26 18 24 16 30 22 28 20
35 24 33 22 40 29 38 27
6 6 4 4 8 8 6 6
21 15 19 13 26 20 24 18
31 24 29 22 35 28 33 26
30 20 28 18 33 23 31 21
12 11 10 9 14 13 12 11
13 12 11 10 17 16 15 14
41 45 39 43 44 48 42 46
15 16 13 14 19 20 17 18
21 21 19 19 23 23 21 21
17 12 15 10 21 16 19 14
11 10 9 8 16 15 14 13
31 21 29 19 34 24 32 22
24 23 22 21 29 28 27 26
19 15 17 13 23 19 21 17
12 11 10 9 15 14 13 12
11 11 9 9 13 13 11 11
16 14 14 12 22 20 20 18
30 28 28 26 33 31 31 29
42 31 40 29 46 35 44 33
17 13 15 11 20 16 18 14
11 11 9 9 15 15 13 13
34 31 32 29 38 35 36 33
18 28 16 26 22 32 20 30
7 9 5 7 11 13 9 11
19 19 17 17 23 23 21 21
13 10 11 8 15 12 13 10
13 10 11 8 17 14 15 12
7 6 5 4 10 9 8 7
24 29 22 27 28 33 26 31
23 34 21 32 27 38 25 36
15 14 13 12 19 18 17 16
24 19 22 17 29 24 27 22
10 8 8 6 14 12 12 10
6 6 4 4 8 8 6 6
9 9 7 7 13 13 11 11
17 15 15 13 19 17 17 15
9 9 7 7 13 13 11 11
19 21 17 19 23 25 21 23
23 39 21 37 25 41 23 39
13 13 11 11 17 17 15 15
13 19 11 17 17 23 15 21
32 19 30 17 35 22 33 20
23 25 21 23 27 29 25 27
14 19 12 17 19 24 17 22
22 24 20 22 26 28 24 26
35 29 33 27 38 32 36 30
16 23 14 21 20 27 18 25
18 16 16 14 22 20 20 18
19 14 17 12 22 17 20 15
14 14 12 12 18 18 16 16
19 15 17 13 22 18 20 16
16 13 14 11 19 16 17 14
7 6 5 4 10 9 8 7
6 6 4 4 8 8 6 6
25 18 23 16 29 22 27 20
7 6 5 4 11 10 9 8
39 29 37 27 45 35 43 33
10 9 8 7 12 11 10 9
32 33 30 31 36 37 34 35
9 8 7 6 12 11 10 9
6 6 4 4 8 8 6 6
7 7 5 5 9 9 7 7
18 16 16 14 21 19 19 17
38 27 36 25 40 29 38 27
5 4 3 2 8 7 6 5
10 8 8 6 14 12 12 10
9 8 7 6 13 12 11 10
20 21 18 19 24 25 22 23
13 11 11 9 18 16 16 14
14 16 12 14 18 20 16 18
29 20 27 18 32 23 30 21
40 36 38 34 44 40 42 38
15 11 13 9 19 15 17 13
14 14 12 12 18 18 16 16
22 24 20 22 25 27 23 25
17 17 15 15 20 20 18 18
16 13 14 11 19 16 17 14
61 56 59 54 63 58 61 56
14 19 12 17 18 23 16 21
14 19 12 17 18 23 16 21
8 11 6 9 11 14 9 12
31 21 29 19 34 24 32 22
13 17 11 15 17 21 15 19
9 8 7 6 13 12 11 10
31 25 29 23 34 28 32 26
27 34 25 32 30 37 28 35
16 12 14 10 19 15 17 13
30 36 28 34 34 40 32 38
24 16 22 14 27 19 25 17
44 52 42 50 47 55 45 53
16 13 14 11 20 17 18 15
14 12 12 10 19 17 17 15
24 15 22 13 28 19 26 17
12 20 10 18 15 23 13 21
42 33 40 31 46 37 44 35
9 7 7 5 13 11 11 9
15 21 13 19 19 25 17 23
28 27 26 25 32 31 30 29
36 48 34 46 40 52 38 50
60 62 58 60 63 65 61 63
16 15 14 13 19 18 17 16
11 11 9 9 13 13 11 11
21 24 19 22 24 27 22 25
49 39 47 37 53 43 51 41
38 31 36 29 42 35 40 33
13 10 11 8 16 13 14 11
18 14 16 12 21 17 19 15
9 10 7 8 12 13 10 11
6 8 4 6 10 12 8 10
10 12 8 10 14 16 12 14
17 18 15 16 20 21 18 19
9 9 7 7 11 11 9 9
16 12 14 10 19 15 17 13
25 33 23 31 29 37 27 35
14 10 12 8 17 13 15 11
17 20 15 18 20 23 18 21
15 16 13 14 20 21 18 19
9 7 7 5 13 11 11 9
17 18 15 16 20 21 18 19
18 15 16 13 21 18 19 16
11 12 9 10 16 17 14 15
11 12 9 10 16 17 14 15
8 11 6 9 11 14 9 12
9 10 7 8 12 13 10 11
13 13 11 11 15 15 13 13
11 12 9 10 15 16 13 14
17 22 15 20 22 27 20 25
17 16 15 14 22 21 20 19
33 32 31 30 38 37 36 35
21 18 19 16 25 22 23 20
8 9 6 7 13 14 11 12
23 21 21 19 27 25 25 23
14 16 12 14 18 20 16 18
31 25 29 23 34 28 32 26
27 34 25 32 30 37 28 35
16 12 14 10 19 15 17 13
24 16 22 14 27 19 25 17
44 52 42 50 47 55 45 53
15 10 13 8 18 13 16 11
11 9 9 7 19 17 17 15
24 15 22 13 28 19 26 17
12 20 10 18 15 23 13 21
42 33 40 31 46 37 44 35
9 7 7 5 13 11 11 9
23 34 21 32 27 38 25 36
49 39 47 37 53 43 51 41
38 31 36 29 42 35 40 33
13 10 11 8 16 13 14 11
18 16 16 14 23 21 21 19
15 21 13 19 19 25 17 23
28 27 26 25 32 31 30 29
36 48 34 46 40 52 38 50
60 62 58 60 63 65 61 63
7 8 5 6 10 11 8 9
16 15 14 13 19 18 17 16
11 11 9 9 13 13 11 11
21 24 19 22 24 27 22 25
9 9 7 7 11 11 9 9
16 16 14 14 20 20 18 18
14 14 12 12 16 16 14 14
9 7 7 5 12 10 10 8
22 20 20 18 25 23 23 21
20 14 18 12 23 17 21 15
4 5 2 3 7 8 5 6
11 10 9 8 13 12 11 10
21 16 19 14 25 20 23 18
7 6 5 4 10 9 8 7
5 4 3 2 8 7 6 5
5 7 3 5 8 10 6 8
8 10 6 8 12 14 10 12
9 7 7 5 12 10 10 8
12 9 10 7 14 11 12 9
5 5 3 3 9 9 7 7
17 20 15 18 19 22 17 20
23 30 21 28 26 33 24 31
5 5 3 3 9 9 7 7
4 4 2 2 6 6 4 4
6 6 4 4 8 8 6 6
8 7 6 5 10 9 8 7
13 9 11 7 17 13 15 11
9 8 7 6 13 12 11 10
8 10 6 8 12 14 10 12
9 7 7 5 12 10 10 8
22 20 20 18 25 23 23 21
7 10 5 8 11 14 9 12
14 11 12 9 18 15 16 13
10 12 8 10 14 16 12 14
15 21 13 19 18 24 16 22
14 11 12 9 18 15 16 13
11 9 9 7 14 12 12 10
12 9 10 7 16 13 14 11
20 24 18 22 23 27 21 25
18 23 16 21 22 27 20 25
27 27 25 25 29 29 27 27
32 22 30 20 35 25 33 23
23 20 21 18 29 26 27 24
11 10 9 8 16 15 14 13
18 14 16 12 22 18 20 16
34 36 32 34 37 39 35 37
20 21 18 19 25 26 23 24
8 8 6 6 10 10 8 8
29 48 27 46 33 52 31 50
37 33 35 31 41 37 39 35
48 67 46 65 55 74 53 72
30 35 28 33 34 39 32 37
6 7 4 5 9 10 7 8
8 8 6 6 11 11 9 9
17 13 15 11 23 19 21 17
27 24 25 22 30 27 28 25
9 9 7 7 14 14 12 12
11 9 9 7 14 12 12 10
56 49 54 47 60 53 58 51
19 23 17 21 21 25 19 23
22 22 20 20 26 26 24 24
29 35 27 33 31 37 29 35
35 46 33 44 38 49 36 47
10 9 8 7 14 13 12 11
5 4 3 2 8 7 6 5
26 26 24 24 30 30 28 28
17 20 15 18 20 23 18 21
34 34 32 32 36 36 34 34
15 25 13 23 18 28 16 26
19 20 17 18 23 24 21 22
9 7 7 5 12 10 10 8
21 16 19 14 25 20 23 18
21 19 19 17 25 23 23 21
11 10 9 8 14 13 12 11
24 37 22 35 27 40 25 38
14 16 12 14 18 20 16 18
37 30 35 28 40 33 38 31
17 15 15 13 23 21 21 19
39 37 37 35 43 41 41 39
26 28 24 26 31 33 29 31
4 4 2 2 6 6 4 4
28 21 26 19 31 24 29 22
22 21 20 19 25 24 23 22
29 22 27 20 32 25 30 23
24 36 22 34 27 39 25 37
24 38 22 36 28 42 26 40
17 26 15 24 20 29 18 27
8 8 6 6 11 11 9 9
22 27 20 25 26 31 24 29
26 31 24 29 30 35 28 33
17 12 15 10 20 15 18 13
29 33 27 31 32 36 30 34
8 8 6 6 12 12 10 10
10 9 8 7 15 14 13 12
29 33 27 31 34 38 32 36
21 20 19 18 26 25 24 23
6 6 4 4 8 8 6 6
10 11 8 9 15 16 13 14
9 9 7 7 11 11 9 9
18 22 16 20 23 27 21 25
12 12 10 10 16 16 14 14
29 21 27 19 32 24 30 22
11 -2 9 -4 15 2 13 0
12 9 10 7 15 12 13 10
30 23 28 21 34 27 32 25
53 43 51 41 57 47 55 45
12 11 10 9 15 14 13 12
14 18 12 16 18 22 16 20
24 21 22 19 26 23 24 21
30 23 28 21 33 26 31 24
27 26 25 24 30 29 28 27
23 27 21 25 26 30 24 28
31 41 29 39 35 45 33 43
9 7 7 5 13 11 11 9
28 29 26 27 30 31 28 29
16 21 14 19 20 25 18 23
24 15 22 13 29 20 27 18
6 5 4 3 9 8 7 6
23 21 21 19 26 24 24 22
14 12 12 10 17 15 15 13
26 22 24 20 30 26 28 24
18 14 16 12 22 18 20 16
12 12 10 10 14 14 12 12
51 34 49 32 54 37 52 35
12 9 10 7 15 12 13 10
16 16 14 14 19 19 17 17
26 26 24 24 29 29 27 27
8 8 6 6 10 10 8 8
41 30 39 28 46 35 44 33
29 29 27 27 33 33 31 31
31 24 29 22 35 28 33 26
19 16 17 14 23 20 21 18
22 22 20 20 25 25 23 23
29 23 27 21 35 29 33 27
29 25 27 23 33 29 31 27
9 8 7 6 12 11 10 9
14 13 12 11 18 17 16 15
13 16 11 14 17 20 15 18
7 8 5 6 12 13 10 11
42 38 40 36 44 40 42 38
12 13 10 11 16 17 14 15
82 81 80 79 85 84 83 82
20 14 18 12 28 22 26 20
27 22 25 20 31 26 29 24
9 10 7 8 12 13 10 11
6 7 4 5 9 10 7 8
27 23 25 21 31 27 29 25
16 18 14 16 20 22 18 20
40 29 38 27 43 32 41 30
16 18 14 16 20 22 18 20
40 39 38 37 46 45 44 43
21 19 19 17 25 23 23 21
11 9 9 7 13 11 11 9
30 23 28 21 34 27 32 25
9 11 7 9 11 13 9 11
33 33 31 31 38 38 36 36
44 53 42 51 47 56 45 54
11 12 9 10 14 15 12 13
12 12 10 10 14 14 12 12
12 13 10 11 16 17 14 15
22 25 20 23 26 29 24 27
22 15 20 13 25 18 23 16
17 16 15 14 19 18 17 16
14 12 12 10 18 16 16 14
16 16 14 14 19 19 17 17
