original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 8 4 6 4 6 2 4
15 8 13 6 13 6 11 4
10 8 8 6 8 6 6 4
8 7 6 5 6 5 4 3
7 6 5 4 5 4 3 2
7 7 5 5 4 4 2 2
26 8 24 6 24 6 22 4
7 6 5 4 5 4 3 2
6 6 4 4 4 4 2 2
9 28 7 26 7 26 5 24
6 7 4 5 4 5 2 3
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
10 10 8 8 8 8 6 6
8 7 6 5 6 5 4 3
18 15 16 13 16 13 14 11
7 7 5 5 5 5 3 3
8 12 6 10 6 10 4 8
8 7 6 5 5 4 3 2
15 20 13 18 13 18 11 16
6 10 4 8 4 8 2 6
13 9 11 7 11 7 9 5
11 8 9 6 9 6 7 4
7 6 5 4 5 4 3 2
8 13 6 11 6 11 4 9
6 6 4 4 4 4 2 2
9 7 7 5 7 5 5 3
12 16 10 14 10 14 8 12
10 8 8 6 8 6 6 4
6 6 4 4 4 4 2 2
7 12 5 10 5 10 3 8
6 6 4 4 4 4 2 2
18 10 16 8 16 8 14 6
7 9 5 7 5 7 3 5
7 8 5 6 5 6 3 4
6 6 4 4 4 4 2 2
9 7 7 5 7 5 5 3
10 8 8 6 8 6 6 4
23 22 21 20 21 20 19 18
6 9 4 7 4 7 2 5
13 13 11 11 11 11 9 9
7 14 5 12 5 12 3 10
6 7 4 5 4 5 2 3
11 11 9 9 9 9 7 7
7 10 5 8 5 8 3 6
6 6 4 4 4 4 2 2
7 8 5 6 5 6 3 4
6 7 4 5 4 5 2 3
23 17 21 15 20 14 18 12
42 46 40 44 40 44 38 42
16 7 14 5 14 5 12 3
10 11 8 9 8 9 6 7
6 9 4 7 4 7 2 5
13 14 11 12 10 11 8 9
15 14 13 12 13 12 11 10
7 13 5 11 5 11 3 9
9 21 7 19 7 19 5 17
19 31 17 29 16 28 14 26
9 18 7 16 7 16 5 14
6 10 4 8 4 8 2 6
6 7 4 5 4 5 2 3
10 6 8 4 8 4 6 2
14 15 12 13 12 13 10 11
11 18 9 16 9 16 7 14
6 7 4 5 4 5 2 3
6 7 4 5 4 5 2 3
16 8 14 6 14 6 12 4
9 6 7 4 7 4 5 2
7 9 5 7 5 7 3 5
6 6 4 4 4 4 2 2
6 7 4 5 4 5 2 3
20 13 18 11 18 11 16 9
7 6 5 4 5 4 3 2
8 6 6 4 6 4 4 2
18 20 16 18 16 18 14 16
8 19 6 17 6 17 4 15
11 8 9 6 9 6 7 4
15 31 13 29 13 29 11 27
6 7 4 5 4 5 2 3
7 8 5 6 5 6 3 4
6 8 4 6 4 6 2 4
14 20 12 18 12 18 10 16
10 13 8 11 8 11 6 9
6 7 4 5 4 5 2 3
16 22 14 20 14 20 12 18
9 7 7 5 7 5 5 3
7 8 5 6 4 5 2 3
12 11 10 9 10 9 8 7
12 10 10 8 9 7 7 5
8 10 6 8 6 8 4 6
12 14 10 12 10 12 8 10
8 16 6 14 6 14 4 12
9 7 7 5 7 5 5 3
8 7 6 5 6 5 4 3
11 19 9 17 8 16 6 14
11 8 9 6 9 6 7 4
10 6 8 4 8 4 6 2
12 8 10 6 10 6 8 4
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 9 6 7 6 7 4 5
9 9 7 7 6 6 4 4
10 13 8 11 8 11 6 9
6 6 4 4 4 4 2 2
6 8 4 6 4 6 2 4
39 45 37 43 37 43 35 41
8 9 6 7 6 7 4 5
17 9 15 7 15 7 13 5
8 7 6 5 6 5 4 3
6 15 4 13 4 13 2 11
6 20 4 18 4 18 2 16
11 20 9 18 9 18 7 16
7 8 5 6 5 6 3 4
18 15 16 13 16 13 14 11
7 14 5 12 5 12 3 10
11 10 9 8 8 7 6 5
11 10 9 8 9 8 7 6
6 7 4 5 4 5 2 3
14 10 12 8 12 8 10 6
10 8 8 6 8 6 6 4
8 10 6 8 6 8 4 6
6 11 4 9 4 9 2 7
8 9 6 7 6 7 4 5
13 14 11 12 11 12 9 10
6 6 4 4 4 4 2 2
7 7 5 5 5 5 3 3
7 8 5 6 5 6 3 4
10 7 8 5 8 5 6 3
9 25 7 23 7 23 5 21
15 27 13 25 12 24 10 22
11 7 9 5 9 5 7 3
7 7 5 5 5 5 3 3
10 12 8 10 8 10 6 8
6 10 4 8 4 8 2 6
11 8 9 6 9 6 7 4
18 15 16 13 15 12 13 10
104 78 102 76 102 76 100 74
6 6 4 4 4 4 2 2
9 6 7 4 7 4 5 2
9 12 7 10 7 10 5 8
13 10 11 8 10 7 8 5
8 6 6 4 6 4 4 2
13 52 11 50 11 50 9 48
6 6 4 4 4 4 2 2
22 14 20 12 20 12 18 10
7 8 5 6 5 6 3 4
9 8 7 6 7 6 5 4
15 15 13 13 13 13 11 11
9 8 7 6 7 6 5 4
6 7 4 5 4 5 2 3
6 8 4 6 4 6 2 4
8 8 6 6 6 6 4 4
6 7 4 5 4 5 2 3
7 6 5 4 5 4 3 2
6 8 4 6 4 6 2 4
12 8 10 6 10 6 8 4
9 10 7 8 7 8 5 6
6 10 4 8 4 8 2 6
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
8 11 6 9 6 9 4 7
6 9 4 7 4 7 2 5
6 9 4 7 4 7 2 5
6 11 4 9 4 9 2 7
10 10 8 8 8 8 6 6
