original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
8 7 6 5 5 4 3 2
7 16 5 14 4 13 2 11
7 8 5 6 4 5 2 3
11 13 9 11 5 7 3 5
18 18 16 16 9 9 7 7
8 8 6 6 5 5 3 3
8 7 6 5 5 4 3 2
10 8 8 6 6 4 4 2
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
10 20 8 18 7 17 5 15
8 10 6 8 4 6 2 4
7 8 5 6 4 5 2 3
15 14 13 12 10 9 8 7
13 13 11 11 9 9 7 7
8 7 6 5 5 4 3 2
7 8 5 6 4 5 2 3
16 15 14 13 10 9 8 7
6 6 4 4 4 4 2 2
17 26 15 24 14 23 12 21
8 7 6 5 5 4 3 2
12 14 10 12 8 10 6 8
11 10 9 8 6 5 4 3
7 18 5 16 5 16 3 14
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
12 12 10 10 10 10 8 8
11 10 9 8 6 5 4 3
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
16 23 14 21 12 19 10 17
6 7 4 5 4 5 2 3
12 11 10 9 9 8 7 6
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
8 8 6 6 6 6 4 4
17 18 15 16 14 15 12 13
11 10 9 8 6 5 4 3
12 12 10 10 8 8 6 6
10 8 8 6 6 4 4 2
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 10 6 8 4 6 2 4
8 14 6 12 6 12 4 10
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
10 14 8 12 4 8 2 6
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
11 24 9 22 8 21 6 19
9 11 7 9 5 7 3 5
6 6 4 4 4 4 2 2
17 19 15 17 11 13 9 11
14 14 12 12 10 10 8 8
6 6 4 4 4 4 2 2
