original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
8 10 6 8 4 6 2 4
10 12 8 10 7 9 5 7
9 16 7 14 6 13 4 11
6 17 4 15 4 15 2 13
15 20 13 18 10 15 8 13
8 11 6 9 4 7 2 5
10 12 8 10 8 10 6 8
6 6 4 4 4 4 2 2
7 22 5 20 4 19 2 17
16 17 14 15 13 14 11 12
8 9 6 7 5 6 3 4
7 11 5 9 4 8 2 6
8 14 6 12 5 11 3 9
11 11 9 9 7 7 5 5
14 13 12 11 11 10 9 8
7 10 5 8 5 8 3 6
7 8 5 6 4 5 2 3
10 8 8 6 7 5 5 3
12 14 10 12 6 8 4 6
9 8 7 6 6 5 4 3
7 8 5 6 4 5 2 3
12 11 10 9 9 8 7 6
6 10 4 8 4 8 2 6
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
8 12 6 10 6 10 4 8
6 11 4 9 4 9 2 7
8 10 6 8 6 8 4 6
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
8 10 6 8 4 6 2 4
6 8 4 6 4 6 2 4
12 10 10 8 10 8 8 6
13 14 11 12 10 11 8 9
7 8 5 6 4 5 2 3
16 27 14 25 13 24 11 22
12 15 10 13 10 13 8 11
12 21 10 19 10 19 8 17
6 6 4 4 4 4 2 2
10 8 8 6 8 6 6 4
8 12 6 10 6 10 4 8
10 9 8 7 7 6 5 4
8 6 6 4 6 4 4 2
6 6 4 4 4 4 2 2
14 14 12 12 10 10 8 8
13 12 11 10 11 10 9 8
8 8 6 6 6 6 4 4
8 10 6 8 6 8 4 6
8 10 6 8 6 8 4 6
9 19 7 17 6 16 4 14
10 12 8 10 7 9 5 7
6 13 4 11 4 11 2 9
8 8 6 6 6 6 4 4
14 16 12 14 10 12 8 10
7 8 5 6 4 5 2 3
6 21 4 19 4 19 2 17
7 8 5 6 4 5 2 3
16 15 14 13 13 12 11 10
16 12 14 10 14 10 12 8
11 14 9 12 9 12 7 10
13 12 11 10 10 9 8 7
8 8 6 6 6 6 4 4
11 15 9 13 9 13 7 11
14 20 12 18 9 15 7 13
9 8 7 6 7 6 5 4
7 10 5 8 4 7 2 5
7 7 5 5 5 5 3 3
9 10 7 8 6 7 4 5
12 12 10 10 10 10 8 8
22 25 20 23 15 18 13 16
9 10 7 8 6 7 4 5
8 11 6 9 6 9 4 7
8 10 6 8 6 8 4 6
14 21 12 19 9 16 7 14
8 8 6 6 6 6 4 4
13 12 11 10 11 10 9 8
8 17 6 15 6 15 4 13
9 8 7 6 7 6 5 4
11 10 9 8 8 7 6 5
10 11 8 9 5 6 3 4
15 14 13 12 13 12 11 10
13 19 11 17 11 17 9 15
7 6 5 4 5 4 3 2
10 12 8 10 6 8 4 6
9 10 7 8 6 7 4 5
9 17 7 15 6 14 4 12
8 8 6 6 6 6 4 4
17 10 15 8 13 6 11 4
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
9 10 7 8 6 7 4 5
8 9 6 7 6 7 4 5
17 21 15 19 13 17 11 15
6 6 4 4 4 4 2 2
6 15 4 13 4 13 2 11
11 11 9 9 7 7 5 5
8 14 6 12 6 12 4 10
15 17 13 15 13 15 11 13
11 13 9 11 5 7 3 5
7 8 5 6 4 5 2 3
9 13 7 11 6 10 4 8
19 18 17 16 15 14 13 12
22 33 20 31 18 29 16 27
8 10 6 8 5 7 3 5
14 12 12 10 12 10 10 8
11 10 9 8 8 7 6 5
11 10 9 8 8 7 6 5
13 12 11 10 8 7 6 5
6 8 4 6 4 6 2 4
7 8 5 6 5 6 3 4
9 9 7 7 6 6 4 4
10 10 8 8 8 8 6 6
10 11 8 9 5 6 3 4
13 13 11 11 10 10 8 8
6 8 4 6 4 6 2 4
10 13 8 11 7 10 5 8
12 12 10 10 10 10 8 8
9 8 7 6 7 6 5 4
9 9 7 7 5 5 3 3
9 10 7 8 6 7 4 5
9 13 7 11 6 10 4 8
10 8 8 6 7 5 5 3
13 18 11 16 11 16 9 14
20 15 18 13 14 9 12 7
6 8 4 6 4 6 2 4
8 7 6 5 5 4 3 2
17 22 15 20 13 18 11 16
8 12 6 10 4 8 2 6
6 6 4 4 4 4 2 2
8 10 6 8 4 6 2 4
11 17 9 15 9 15 7 13
15 15 13 13 11 11 9 9
8 8 6 6 6 6 4 4
12 30 10 28 8 26 6 24
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
10 8 8 6 6 4 4 2
8 10 6 8 4 6 2 4
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
8 9 6 7 6 7 4 5
10 8 8 6 8 6 6 4
6 8 4 6 4 6 2 4
8 9 6 7 5 6 3 4
13 16 11 14 8 11 6 9
11 13 9 11 7 9 5 7
9 12 7 10 6 9 4 7
11 10 9 8 9 8 7 6
18 16 16 14 12 10 10 8
8 12 6 10 6 10 4 8
7 10 5 8 5 8 3 6
8 21 6 19 6 19 4 17
6 20 4 18 4 18 2 16
11 12 9 10 8 9 6 7
10 15 8 13 8 13 6 11
6 13 4 11 4 11 2 9
10 8 8 6 8 6 6 4
10 22 8 20 6 18 4 16
8 8 6 6 6 6 4 4
7 9 5 7 4 6 2 4
13 12 11 10 8 7 6 5
13 15 11 13 8 10 6 8
8 8 6 6 6 6 4 4
16 13 14 11 12 9 10 7
9 12 7 10 6 9 4 7
12 16 10 14 9 13 7 11
8 12 6 10 4 8 2 6
12 11 10 9 9 8 7 6
6 6 4 4 4 4 2 2
15 19 13 17 11 15 9 13
10 10 8 8 7 7 5 5
10 12 8 10 8 10 6 8
9 10 7 8 6 7 4 5
14 45 12 43 11 42 9 40
9 9 7 7 5 5 3 3
8 15 6 13 4 11 2 9
7 18 5 16 4 15 2 13
13 10 11 8 11 8 9 6
15 16 13 14 10 11 8 9
8 11 6 9 5 8 3 6
14 14 12 12 12 12 10 10
9 11 7 9 6 8 4 6
6 6 4 4 4 4 2 2
12 23 10 21 8 19 6 17
8 8 6 6 6 6 4 4
12 12 10 10 8 8 6 6
11 14 9 12 8 11 6 9
7 13 5 11 4 10 2 8
8 7 6 5 5 4 3 2
8 8 6 6 6 6 4 4
7 19 5 17 5 17 3 15
25 24 23 22 20 19 18 17
8 7 6 5 5 4 3 2
7 6 5 4 5 4 3 2
14 33 12 31 11 30 9 28
10 12 8 10 6 8 4 6
18 21 16 19 9 12 7 10
7 8 5 6 4 5 2 3
6 8 4 6 4 6 2 4
8 8 6 6 6 6 4 4
9 12 7 10 4 7 2 5
6 8 4 6 4 6 2 4
14 20 12 18 11 17 9 15
12 11 10 9 8 7 6 5
8 12 6 10 6 10 4 8
6 6 4 4 4 4 2 2
9 13 7 11 6 10 4 8
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
8 7 6 5 5 4 3 2
8 8 6 6 6 6 4 4
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
23 28 21 26 19 24 17 22
10 9 8 7 7 6 5 4
12 11 10 9 9 8 7 6
8 12 6 10 6 10 4 8
6 6 4 4 4 4 2 2
6 12 4 10 4 10 2 8
8 10 6 8 6 8 4 6
9 10 7 8 6 7 4 5
11 12 9 10 8 9 6 7
15 13 13 11 12 10 10 8
8 8 6 6 6 6 4 4
8 11 6 9 5 8 3 6
7 8 5 6 5 6 3 4
6 6 4 4 4 4 2 2
7 6 5 4 5 4 3 2
8 10 6 8 6 8 4 6
17 18 15 16 14 15 12 13
9 9 7 7 7 7 5 5
7 6 5 4 5 4 3 2
13 14 11 12 10 11 8 9
8 7 6 5 5 4 3 2
7 17 5 15 5 15 3 13
6 6 4 4 4 4 2 2
10 10 8 8 8 8 6 6
8 7 6 5 5 4 3 2
8 10 6 8 4 6 2 4
7 8 5 6 4 5 2 3
14 19 12 17 10 15 8 13
7 8 5 6 5 6 3 4
8 10 6 8 4 6 2 4
6 6 4 4 4 4 2 2
8 6 6 4 6 4 4 2
7 8 5 6 4 5 2 3
10 11 8 9 8 9 6 7
11 12 9 10 8 9 6 7
6 14 4 12 4 12 2 10
11 11 9 9 7 7 5 5
6 6 4 4 4 4 2 2
13 11 11 9 8 6 6 4
9 13 7 11 5 9 3 7
9 11 7 9 6 8 4 6
12 13 10 11 9 10 7 8
6 6 4 4 4 4 2 2
13 11 11 9 11 9 9 7
9 13 7 11 5 9 3 7
13 10 11 8 11 8 9 6
20 13 18 11 17 10 15 8
16 14 14 12 12 10 10 8
12 9 10 7 7 4 5 2
18 16 16 14 12 10 10 8
10 12 8 10 6 8 4 6
8 8 6 6 6 6 4 4
14 32 12 30 9 27 7 25
10 10 8 8 7 7 5 5
8 11 6 9 4 7 2 5
6 10 4 8 4 8 2 6
10 12 8 10 6 8 4 6
10 10 8 8 8 8 6 6
9 13 7 11 5 9 3 7
8 14 6 12 5 11 3 9
21 14 19 12 19 12 17 10
12 14 10 12 8 10 6 8
6 6 4 4 4 4 2 2
11 12 9 10 8 9 6 7
14 11 12 9 9 6 7 4
8 8 6 6 6 6 4 4
8 8 6 6 6 6 4 4
8 10 6 8 6 8 4 6
8 9 6 7 5 6 3 4
19 26 17 24 17 24 15 22
8 9 6 7 5 6 3 4
7 13 5 11 4 10 2 8
11 10 9 8 8 7 6 5
7 11 5 9 4 8 2 6
11 12 9 10 8 9 6 7
12 14 10 12 9 11 7 9
14 14 12 12 12 12 10 10
8 8 6 6 6 6 4 4
6 13 4 11 4 11 2 9
8 10 6 8 4 6 2 4
15 16 13 14 13 14 11 12
20 25 18 23 17 22 15 20
9 10 7 8 6 7 4 5
8 8 6 6 6 6 4 4
10 8 8 6 8 6 6 4
15 10 13 8 12 7 10 5
26 31 24 29 19 24 17 22
8 10 6 8 4 6 2 4
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
9 9 7 7 6 6 4 4
7 8 5 6 5 6 3 4
8 7 6 5 5 4 3 2
11 10 9 8 9 8 7 6
7 10 5 8 4 7 2 5
10 11 8 9 5 6 3 4
6 8 4 6 4 6 2 4
8 7 6 5 5 4 3 2
13 14 11 12 11 12 9 10
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
12 12 10 10 8 8 6 6
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
6 11 4 9 4 9 2 7
6 6 4 4 4 4 2 2
9 11 7 9 5 7 3 5
11 14 9 12 9 12 7 10
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 10 6 8 6 8 4 6
8 10 6 8 4 6 2 4
13 14 11 12 11 12 9 10
10 8 8 6 7 5 5 3
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
10 9 8 7 7 6 5 4
7 9 5 7 5 7 3 5
11 12 9 10 8 9 6 7
9 9 7 7 5 5 3 3
7 7 5 5 5 5 3 3
8 8 6 6 6 6 4 4
8 8 6 6 6 6 4 4
6 7 4 5 4 5 2 3
9 10 7 8 6 7 4 5
8 11 6 9 5 8 3 6
9 11 7 9 7 9 5 7
7 8 5 6 4 5 2 3
6 12 4 10 4 10 2 8
8 10 6 8 4 6 2 4
10 8 8 6 6 4 4 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
17 22 15 20 9 14 7 12
9 6 7 4 7 4 5 2
14 10 12 8 8 4 6 2
8 8 6 6 6 6 4 4
8 8 6 6 6 6 4 4
10 10 8 8 8 8 6 6
12 12 10 10 9 9 7 7
11 8 9 6 7 4 5 2
10 9 8 7 8 7 6 5
7 9 5 7 4 6 2 4
10 14 8 12 7 11 5 9
8 12 6 10 4 8 2 6
16 19 14 17 9 12 7 10
15 13 13 11 10 8 8 6
10 9 8 7 7 6 5 4
8 8 6 6 6 6 4 4
8 8 6 6 6 6 4 4
14 13 12 11 11 10 9 8
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
12 11 10 9 9 8 7 6
10 11 8 9 7 8 5 6
9 8 7 6 7 6 5 4
13 18 11 16 11 16 9 14
8 8 6 6 6 6 4 4
9 10 7 8 6 7 4 5
8 14 6 12 6 12 4 10
7 7 5 5 5 5 3 3
9 10 7 8 5 6 3 4
16 20 14 18 14 18 12 16
8 10 6 8 6 8 4 6
10 9 8 7 7 6 5 4
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
9 8 7 6 6 5 4 3
9 10 7 8 6 7 4 5
6 6 4 4 4 4 2 2
10 10 8 8 8 8 6 6
7 10 5 8 4 7 2 5
6 6 4 4 4 4 2 2
10 9 8 7 7 6 5 4
6 6 4 4 4 4 2 2
8 6 6 4 6 4 4 2
7 8 5 6 4 5 2 3
10 8 8 6 6 4 4 2
7 8 5 6 5 6 3 4
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
14 22 12 20 12 20 10 18
8 11 6 9 6 9 4 7
6 8 4 6 4 6 2 4
8 8 6 6 6 6 4 4
11 18 9 16 9 16 7 14
10 14 8 12 8 12 6 10
8 8 6 6 6 6 4 4
18 15 16 13 16 13 14 11
7 12 5 10 5 10 3 8
11 10 9 8 8 7 6 5
6 6 4 4 4 4 2 2
8 10 6 8 5 7 3 5
13 12 11 10 10 9 8 7
12 8 10 6 10 6 8 4
8 6 6 4 6 4 4 2
11 10 9 8 6 5 4 3
11 10 9 8 6 5 4 3
8 7 6 5 6 5 4 3
11 12 9 10 9 10 7 8
7 6 5 4 5 4 3 2
11 12 9 10 8 9 6 7
12 10 10 8 10 8 8 6
10 9 8 7 7 6 5 4
12 8 10 6 10 6 8 4
6 6 4 4 4 4 2 2
11 13 9 11 7 9 5 7
20 21 18 19 15 16 13 14
14 11 12 9 9 6 7 4
6 9 4 7 4 7 2 5
11 15 9 13 5 9 3 7
9 8 7 6 5 4 3 2
13 9 11 7 9 5 7 3
11 11 9 9 8 8 6 6
8 10 6 8 4 6 2 4
8 6 6 4 6 4 4 2
13 20 11 18 7 14 5 12
12 15 10 13 5 8 3 6
23 22 21 20 21 20 19 18
6 8 4 6 4 6 2 4
13 13 11 11 11 11 9 9
7 8 5 6 4 5 2 3
12 13 10 11 10 11 8 9
14 11 12 9 9 6 7 4
9 8 7 6 7 6 5 4
15 15 13 13 11 11 9 9
19 22 17 20 13 16 11 14
9 9 7 7 5 5 3 3
11 12 9 10 9 10 7 8
10 12 8 10 6 8 4 6
16 20 14 18 14 18 12 16
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
7 9 5 7 5 7 3 5
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
6 7 4 5 4 5 2 3
12 12 10 10 10 10 8 8
12 6 10 4 10 4 8 2
7 8 5 6 4 5 2 3
22 21 20 19 19 18 17 16
10 12 8 10 7 9 5 7
7 8 5 6 4 5 2 3
7 12 5 10 4 9 2 7
6 13 4 11 4 11 2 9
10 10 8 8 7 7 5 5
11 12 9 10 6 7 4 5
6 9 4 7 4 7 2 5
6 8 4 6 4 6 2 4
10 13 8 11 8 11 6 9
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
12 13 10 11 7 8 5 6
8 8 6 6 6 6 4 4
12 13 10 11 10 11 8 9
8 8 6 6 5 5 3 3
10 8 8 6 6 4 4 2
7 10 5 8 5 8 3 6
10 11 8 9 5 6 3 4
7 13 5 11 4 10 2 8
8 8 6 6 6 6 4 4
6 8 4 6 4 6 2 4
8 8 6 6 6 6 4 4
13 18 11 16 9 14 7 12
9 9 7 7 7 7 5 5
7 8 5 6 4 5 2 3
10 9 8 7 7 6 5 4
11 12 9 10 8 9 6 7
10 10 8 8 6 6 4 4
9 10 7 8 6 7 4 5
8 18 6 16 6 16 4 14
10 10 8 8 6 6 4 4
14 14 12 12 12 12 10 10
8 8 6 6 6 6 4 4
11 12 9 10 8 9 6 7
12 7 10 5 9 4 7 2
6 6 4 4 4 4 2 2
10 10 8 8 8 8 6 6
10 10 8 8 6 6 4 4
8 7 6 5 6 5 4 3
8 6 6 4 6 4 4 2
6 19 4 17 4 17 2 15
9 10 7 8 6 7 4 5
16 17 14 15 14 15 12 13
8 7 6 5 5 4 3 2
7 8 5 6 4 5 2 3
11 9 9 7 7 5 5 3
7 7 5 5 5 5 3 3
12 13 10 11 8 9 6 7
7 31 5 29 5 29 3 27
11 13 9 11 5 7 3 5
10 12 8 10 8 10 6 8
8 8 6 6 6 6 4 4
12 11 10 9 8 7 6 5
13 11 11 9 9 7 7 5
9 12 7 10 6 9 4 7
20 14 18 12 16 10 14 8
8 10 6 8 4 6 2 4
11 10 9 8 9 8 7 6
9 8 7 6 7 6 5 4
6 6 4 4 4 4 2 2
9 14 7 12 5 10 3 8
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
11 1 9 -1 8 -2 6 -4
6 9 4 7 4 7 2 5
12 16 10 14 9 13 7 11
9 9 7 7 5 5 3 3
7 8 5 6 4 5 2 3
9 8 7 6 7 6 5 4
9 14 7 12 4 9 2 7
10 9 8 7 7 6 5 4
18 19 16 17 15 16 13 14
18 18 16 16 16 16 14 14
10 12 8 10 7 9 5 7
11 24 9 22 5 18 3 16
18 16 16 14 14 12 12 10
8 9 6 7 5 6 3 4
8 15 6 13 6 13 4 11
13 13 11 11 9 9 7 7
12 17 10 15 9 14 7 12
8 10 6 8 5 7 3 5
7 14 5 12 4 11 2 9
8 10 6 8 6 8 4 6
6 9 4 7 4 7 2 5
10 11 8 9 8 9 6 7
6 10 4 8 4 8 2 6
12 10 10 8 8 6 6 4
14 15 12 13 10 11 8 9
11 3 9 1 7 -1 5 -3
10 12 8 10 8 10 6 8
6 9 4 7 4 7 2 5
14 14 12 12 12 12 10 10
12 10 10 8 8 6 6 4
12 16 10 14 6 10 4 8
8 6 6 4 6 4 4 2
25 37 23 35 21 33 19 31
7 8 5 6 4 5 2 3
9 8 7 6 6 5 4 3
12 11 10 9 8 7 6 5
8 10 6 8 6 8 4 6
8 7 6 5 5 4 3 2
11 15 9 13 7 11 5 9
10 10 8 8 8 8 6 6
