original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 8 4 6 8 10 6 8
12 18 10 16 14 20 12 18
17 28 15 26 20 31 18 29
12 15 10 13 14 17 12 15
14 10 12 8 16 12 14 10
16 15 14 13 18 17 16 15
26 23 24 21 28 25 26 23
7 7 5 5 10 10 8 8
6 6 4 4 8 8 6 6
4 4 2 2 6 6 4 4
12 13 10 11 14 15 12 13
4 4 2 2 6 6 4 4
24 18 22 16 26 20 24 18
9 9 7 7 11 11 9 9
6 8 4 6 9 11 7 9
21 13 19 11 24 16 22 14
5 6 3 4 7 8 5 6
7 8 5 6 9 10 7 8
4 4 2 2 6 6 4 4
17 17 15 15 20 20 18 18
12 14 10 12 20 22 18 20
12 16 10 14 14 18 12 16
23 22 21 20 25 24 23 22
15 16 13 14 17 18 15 16
10 12 8 10 12 14 10 12
7 7 5 5 9 9 7 7
5 7 3 5 8 10 6 8
9 9 7 7 11 11 9 9
9 12 7 10 11 14 9 12
6 6 4 4 8 8 6 6
9 8 7 6 11 10 9 8
6 5 4 3 8 7 6 5
17 14 15 12 21 18 19 16
6 5 4 3 8 7 6 5
15 12 13 10 18 15 16 13
15 18 13 16 18 21 16 19
10 11 8 9 12 13 10 11
16 15 14 13 18 17 16 15
8 8 6 6 11 11 9 9
7 8 5 6 10 11 8 9
5 6 3 4 7 8 5 6
12 18 10 16 14 20 12 18
7 9 5 7 10 12 8 10
7 10 5 8 9 12 7 10
6 7 4 5 9 10 7 8
8 8 6 6 10 10 8 8
17 22 15 20 19 24 17 22
5 4 3 2 8 7 6 5
6 6 4 4 9 9 7 7
21 20 19 18 23 22 21 20
7 7 5 5 10 10 8 8
11 10 9 8 14 13 12 11
10 11 8 9 12 13 10 11
22 24 20 22 24 26 22 24
56 37 54 35 59 40 57 38
13 16 11 14 15 18 13 16
5 6 3 4 7 8 5 6
9 12 7 10 11 14 9 12
32 37 30 35 34 39 32 37
13 16 11 14 15 18 13 16
21 15 19 13 24 18 22 16
11 10 9 8 13 12 11 10
31 47 29 45 33 49 31 47
49 29 47 27 53 33 51 31
13 14 11 12 15 16 13 14
8 10 6 8 10 12 8 10
15 14 13 12 18 17 16 15
24 21 22 19 26 23 24 21
15 18 13 16 17 20 15 18
6 7 4 5 9 10 7 8
10 11 8 9 12 13 10 11
6 7 4 5 9 10 7 8
6 5 4 3 8 7 6 5
6 7 4 5 9 10 7 8
6 7 4 5 9 10 7 8
6 5 4 3 8 7 6 5
13 20 11 18 15 22 13 20
15 21 13 19 18 24 16 22
10 11 8 9 13 14 11 12
15 15 13 13 17 17 15 15
33 30 31 28 36 33 34 31
11 11 9 9 14 14 12 12
11 13 9 11 13 15 11 13
29 24 27 22 31 26 29 24
22 21 20 19 24 23 22 21
18 18 16 16 21 21 19 19
24 24 22 22 26 26 24 24
8 7 6 5 10 9 8 7
26 25 24 23 29 28 27 26
10 14 8 12 12 16 10 14
12 12 10 10 15 15 13 13
