original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
10 9 8 7 8 7 6 5
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
8 7 6 5 5 4 3 2
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
10 10 8 8 8 8 6 6
8 8 6 6 6 6 4 4
11 12 9 10 9 10 7 8
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
8 9 6 7 6 7 4 5
9 10 7 8 6 7 4 5
7 9 5 7 5 7 3 5
9 8 7 6 7 6 5 4
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
10 11 8 9 6 7 4 5
7 8 5 6 4 5 2 3
9 10 7 8 7 8 5 6
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
9 10 7 8 6 7 4 5
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
10 10 8 8 8 8 6 6
8 10 6 8 6 8 4 6
6 7 4 5 4 5 2 3
10 14 8 12 5 9 3 7
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
10 9 8 7 7 6 5 4
8 9 6 7 6 7 4 5
9 13 7 11 6 10 4 8
24 24 22 22 22 22 20 20
10 12 8 10 7 9 5 7
9 10 7 8 7 8 5 6
9 11 7 9 5 7 3 5
10 11 8 9 8 9 6 7
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
10 11 8 9 8 9 6 7
9 11 7 9 6 8 4 6
6 6 4 4 4 4 2 2
8 10 6 8 4 6 2 4
6 6 4 4 4 4 2 2
6 11 4 9 4 9 2 7
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
8 8 6 6 5 5 3 3
10 12 8 10 6 8 4 6
9 9 7 7 5 5 3 3
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
11 11 9 9 8 8 6 6
10 9 8 7 7 6 5 4
9 12 7 10 7 10 5 8
8 8 6 6 6 6 4 4
8 10 6 8 6 8 4 6
9 8 7 6 6 5 4 3
12 14 10 12 9 11 7 9
6 14 4 12 4 12 2 10
8 8 6 6 6 6 4 4
9 10 7 8 6 7 4 5
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
6 8 4 6 4 6 2 4
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
10 9 8 7 7 6 5 4
11 9 9 7 9 7 7 5
10 9 8 7 7 6 5 4
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
10 11 8 9 8 9 6 7
9 10 7 8 6 7 4 5
6 10 4 8 4 8 2 6
6 6 4 4 4 4 2 2
7 9 5 7 4 6 2 4
10 13 8 11 8 11 6 9
6 6 4 4 4 4 2 2
6 10 4 8 4 8 2 6
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 8 4 6 4 6 2 4
10 9 8 7 8 7 6 5
8 8 6 6 6 6 4 4
9 9 7 7 5 5 3 3
12 13 10 11 9 10 7 8
6 6 4 4 4 4 2 2
9 12 7 10 6 9 4 7
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
10 11 8 9 7 8 5 6
6 11 4 9 4 9 2 7
7 6 5 4 5 4 3 2
8 9 6 7 6 7 4 5
10 11 8 9 7 8 5 6
7 10 5 8 4 7 2 5
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
10 13 8 11 7 10 5 8
10 9 8 7 7 6 5 4
8 7 6 5 6 5 4 3
7 7 5 5 5 5 3 3
7 8 5 6 4 5 2 3
11 16 9 14 8 13 6 11
6 6 4 4 4 4 2 2
8 8 6 6 5 5 3 3
6 7 4 5 4 5 2 3
8 11 6 9 6 9 4 7
9 8 7 6 6 5 4 3
9 10 7 8 6 7 4 5
7 8 5 6 4 5 2 3
9 10 7 8 7 8 5 6
10 13 8 11 6 9 4 7
12 11 10 9 9 8 7 6
8 8 6 6 6 6 4 4
10 10 8 8 8 8 6 6
7 6 5 4 5 4 3 2
16 15 14 13 13 12 11 10
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 11 4 9 4 9 2 7
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
7 6 5 4 5 4 3 2
10 12 8 10 7 9 5 7
12 15 10 13 8 11 6 9
8 7 6 5 5 4 3 2
7 8 5 6 4 5 2 3
6 8 4 6 4 6 2 4
9 14 7 12 4 9 2 7
10 11 8 9 6 7 4 5
8 10 6 8 6 8 4 6
6 8 4 6 4 6 2 4
8 7 6 5 5 4 3 2
8 8 6 6 6 6 4 4
8 10 6 8 4 6 2 4
9 10 7 8 6 7 4 5
9 9 7 7 5 5 3 3
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
10 10 8 8 8 8 6 6
7 6 5 4 5 4 3 2
8 9 6 7 6 7 4 5
8 8 6 6 6 6 4 4
12 11 10 9 9 8 7 6
8 8 6 6 5 5 3 3
10 12 8 10 8 10 6 8
9 10 7 8 6 7 4 5
10 9 8 7 7 6 5 4
9 13 7 11 5 9 3 7
10 9 8 7 7 6 5 4
8 8 6 6 6 6 4 4
8 9 6 7 5 6 3 4
6 6 4 4 4 4 2 2
10 10 8 8 8 8 6 6
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
14 13 12 11 11 10 9 8
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
10 10 8 8 8 8 6 6
6 8 4 6 4 6 2 4
8 10 6 8 4 6 2 4
6 8 4 6 4 6 2 4
8 8 6 6 6 6 4 4
9 9 7 7 7 7 5 5
8 7 6 5 6 5 4 3
8 7 6 5 5 4 3 2
9 9 7 7 5 5 3 3
6 8 4 6 4 6 2 4
11 11 9 9 8 8 6 6
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
10 10 8 8 7 7 5 5
9 12 7 10 5 8 3 6
7 8 5 6 5 6 3 4
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 7 4 5 4 5 2 3
8 8 6 6 6 6 4 4
11 14 9 12 5 8 3 6
8 7 6 5 6 5 4 3
6 6 4 4 4 4 2 2
10 11 8 9 7 8 5 6
11 13 9 11 5 7 3 5
8 8 6 6 6 6 4 4
10 12 8 10 7 9 5 7
6 6 4 4 4 4 2 2
6 9 4 7 4 7 2 5
8 8 6 6 6 6 4 4
7 6 5 4 5 4 3 2
10 13 8 11 6 9 4 7
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
15 14 13 12 12 11 10 9
8 13 6 11 6 11 4 9
8 8 6 6 6 6 4 4
11 12 9 10 9 10 7 8
10 10 8 8 7 7 5 5
11 12 9 10 8 9 6 7
7 6 5 4 5 4 3 2
8 10 6 8 6 8 4 6
9 10 7 8 6 7 4 5
10 12 8 10 6 8 4 6
10 9 8 7 8 7 6 5
7 8 5 6 4 5 2 3
12 12 10 10 8 8 6 6
8 8 6 6 6 6 4 4
9 10 7 8 6 7 4 5
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 9 6 7 6 7 4 5
10 10 8 8 8 8 6 6
6 9 4 7 4 7 2 5
9 10 7 8 7 8 5 6
10 12 8 10 6 8 4 6
7 8 5 6 4 5 2 3
10 10 8 8 8 8 6 6
6 6 4 4 4 4 2 2
8 10 6 8 6 8 4 6
7 8 5 6 4 5 2 3
9 10 7 8 6 7 4 5
9 10 7 8 6 7 4 5
8 8 6 6 6 6 4 4
7 8 5 6 4 5 2 3
8 10 6 8 6 8 4 6
8 8 6 6 6 6 4 4
10 9 8 7 7 6 5 4
6 9 4 7 4 7 2 5
6 8 4 6 4 6 2 4
6 8 4 6 4 6 2 4
6 7 4 5 4 5 2 3
8 8 6 6 6 6 4 4
8 8 6 6 6 6 4 4
7 8 5 6 4 5 2 3
10 10 8 8 8 8 6 6
9 10 7 8 7 8 5 6
14 13 12 11 11 10 9 8
8 8 6 6 6 6 4 4
9 10 7 8 6 7 4 5
6 7 4 5 4 5 2 3
6 6 4 4 4 4 2 2
7 7 5 5 5 5 3 3
6 7 4 5 4 5 2 3
8 9 6 7 5 6 3 4
11 12 9 10 8 9 6 7
8 10 6 8 6 8 4 6
6 6 4 4 4 4 2 2
11 12 9 10 8 9 6 7
13 18 11 16 7 12 5 10
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 7 4 5 4 5 2 3
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
10 13 8 11 6 9 4 7
8 10 6 8 6 8 4 6
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
7 8 5 6 5 6 3 4
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
9 12 7 10 4 7 2 5
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 8 4 6 4 6 2 4
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
8 10 6 8 4 6 2 4
8 10 6 8 4 6 2 4
13 14 11 12 7 8 5 6
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
6 7 4 5 4 5 2 3
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
9 10 7 8 6 7 4 5
6 8 4 6 4 6 2 4
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
10 10 8 8 8 8 6 6
8 8 6 6 5 5 3 3
9 7 7 5 6 4 4 2
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
6 8 4 6 4 6 2 4
8 7 6 5 5 4 3 2
9 10 7 8 6 7 4 5
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
7 8 5 6 4 5 2 3
7 10 5 8 5 8 3 6
8 8 6 6 6 6 4 4
8 8 6 6 6 6 4 4
8 7 6 5 5 4 3 2
9 10 7 8 6 7 4 5
6 6 4 4 4 4 2 2
11 12 9 10 8 9 6 7
8 7 6 5 5 4 3 2
13 18 11 16 10 15 8 13
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 11 6 9 6 9 4 7
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
10 10 8 8 7 7 5 5
6 7 4 5 4 5 2 3
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 8 6 6 5 5 3 3
6 11 4 9 4 9 2 7
7 6 5 4 5 4 3 2
13 14 11 12 10 11 8 9
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 7 4 5 4 5 2 3
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
8 8 6 6 5 5 3 3
7 9 5 7 4 6 2 4
8 12 6 10 6 10 4 8
7 8 5 6 4 5 2 3
10 13 8 11 4 7 2 5
6 13 4 11 4 11 2 9
6 6 4 4 4 4 2 2
6 7 4 5 4 5 2 3
8 10 6 8 4 6 2 4
6 9 4 7 4 7 2 5
6 8 4 6 4 6 2 4
6 9 4 7 4 7 2 5
6 7 4 5 4 5 2 3
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
7 13 5 11 4 10 2 8
6 7 4 5 4 5 2 3
7 7 5 5 5 5 3 3
6 6 4 4 4 4 2 2
6 9 4 7 4 7 2 5
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
7 7 5 5 5 5 3 3
8 9 6 7 6 7 4 5
8 8 6 6 6 6 4 4
6 8 4 6 4 6 2 4
6 9 4 7 4 7 2 5
11 13 9 11 5 7 3 5
6 6 4 4 4 4 2 2
8 10 6 8 4 6 2 4
8 9 6 7 6 7 4 5
8 8 6 6 6 6 4 4
11 14 9 12 5 8 3 6
8 10 6 8 4 6 2 4
9 10 7 8 6 7 4 5
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 8 4 6 4 6 2 4
7 8 5 6 4 5 2 3
9 12 7 10 6 9 4 7
6 6 4 4 4 4 2 2
8 9 6 7 5 6 3 4
8 8 6 6 6 6 4 4
9 13 7 11 6 10 4 8
6 8 4 6 4 6 2 4
7 9 5 7 4 6 2 4
12 18 10 16 6 12 4 10
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
8 10 6 8 4 6 2 4
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 12 4 10 4 10 2 8
10 8 8 6 8 6 6 4
8 10 6 8 4 6 2 4
13 13 11 11 7 7 5 5
7 9 5 7 4 6 2 4
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
