original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 6 4 4 8 8 6 6
6 6 4 4 8 8 6 6
5 4 3 2 8 7 6 5
5 6 3 4 7 8 5 6
4 6 2 4 8 10 6 8
4 4 2 2 6 6 4 4
12 11 10 9 15 14 13 12
10 11 8 9 13 14 11 12
5 6 3 4 7 8 5 6
8 6 6 4 10 8 8 6
4 6 2 4 7 9 5 7
7 6 5 4 10 9 8 7
4 4 2 2 6 6 4 4
5 6 3 4 7 8 5 6
14 11 12 9 16 13 14 11
8 9 6 7 13 14 11 12
6 5 4 3 8 7 6 5
11 9 9 7 14 12 12 10
7 7 5 5 9 9 7 7
6 5 4 3 8 7 6 5
4 4 2 2 6 6 4 4
4 4 2 2 6 6 4 4
7 7 5 5 9 9 7 7
7 7 5 5 9 9 7 7
6 6 4 4 8 8 6 6
5 7 3 5 8 10 6 8
5 6 3 4 7 8 5 6
5 4 3 2 8 7 6 5
7 8 5 6 10 11 8 9
9 12 7 10 12 15 10 13
4 5 2 3 7 8 5 6
4 4 2 2 6 6 4 4
4 4 2 2 6 6 4 4
4 4 2 2 6 6 4 4
8 8 6 6 11 11 9 9
9 7 7 5 13 11 11 9
6 6 4 4 9 9 7 7
5 4 3 2 8 7 6 5
7 8 5 6 10 11 8 9
7 8 5 6 10 11 8 9
8 10 6 8 11 13 9 11
5 5 3 3 8 8 6 6
5 4 3 2 8 7 6 5
8 6 6 4 10 8 8 6
4 4 2 2 6 6 4 4
7 5 5 3 13 11 11 9
6 8 4 6 10 12 8 10
6 6 4 4 9 9 7 7
5 5 3 3 9 9 7 7
7 10 5 8 9 12 7 10
4 4 2 2 6 6 4 4
5 6 3 4 7 8 5 6
4 5 2 3 7 8 5 6
5 5 3 3 9 9 7 7
11 16 9 14 14 19 12 17
5 6 3 4 7 8 5 6
17 14 15 12 20 17 18 15
9 6 7 4 12 9 10 7
4 4 2 2 6 6 4 4
6 6 4 4 9 9 7 7
10 8 8 6 12 10 10 8
7 7 5 5 11 11 9 9
4 4 2 2 6 6 4 4
6 6 4 4 8 8 6 6
4 4 2 2 6 6 4 4
10 9 8 7 13 12 11 10
6 6 4 4 9 9 7 7
5 5 3 3 8 8 6 6
5 5 3 3 7 7 5 5
7 7 5 5 12 12 10 10
7 7 5 5 12 12 10 10
7 7 5 5 9 9 7 7
5 4 3 2 8 7 6 5
9 8 7 6 11 10 9 8
6 6 4 4 9 9 7 7
5 6 3 4 8 9 6 7
4 5 2 3 7 8 5 6
10 8 8 6 13 11 11 9
11 14 9 12 13 16 11 14
4 4 2 2 6 6 4 4
5 5 3 3 9 9 7 7
4 5 2 3 7 8 5 6
4 4 2 2 6 6 4 4
8 8 6 6 10 10 8 8
5 5 3 3 9 9 7 7
6 5 4 3 8 7 6 5
6 7 4 5 9 10 7 8
6 6 4 4 9 9 7 7
6 4 4 2 10 8 8 6
6 8 4 6 8 10 6 8
8 7 6 5 10 9 8 7
7 8 5 6 10 11 8 9
5 4 3 2 8 7 6 5
8 9 6 7 11 12 9 10
4 5 2 3 7 8 5 6
12 9 10 7 15 12 13 10
4 4 2 2 6 6 4 4
6 5 4 3 8 7 6 5
11 11 9 9 15 15 13 13
10 9 8 7 14 13 12 11
6 6 4 4 9 9 7 7
14 15 12 13 17 18 15 16
7 5 5 3 10 8 8 6
5 4 3 2 8 7 6 5
8 11 6 9 11 14 9 12
4 5 2 3 7 8 5 6
10 8 8 6 12 10 10 8
4 4 2 2 6 6 4 4
4 5 2 3 7 8 5 6
14 11 12 9 16 13 14 11
6 6 4 4 8 8 6 6
24 16 22 14 26 18 24 16
9 13 7 11 12 16 10 14
5 4 3 2 8 7 6 5
4 5 2 3 7 8 5 6
4 5 2 3 7 8 5 6
4 4 2 2 6 6 4 4
4 4 2 2 6 6 4 4
4 4 2 2 6 6 4 4
6 7 4 5 9 10 7 8
9 9 7 7 12 12 10 10
7 7 5 5 9 9 7 7
15 13 13 11 19 17 17 15
4 4 2 2 6 6 4 4
4 5 2 3 7 8 5 6
8 7 6 5 11 10 9 8
6 6 4 4 9 9 7 7
10 8 8 6 12 10 10 8
7 8 5 6 10 11 8 9
5 5 3 3 9 9 7 7
8 9 6 7 11 12 9 10
6 7 4 5 9 10 7 8
4 6 2 4 7 9 5 7
4 6 2 4 8 10 6 8
7 5 5 3 10 8 8 6
8 9 6 7 13 14 11 12
9 12 7 10 12 15 10 13
7 7 5 5 9 9 7 7
6 5 4 3 8 7 6 5
5 6 3 4 7 8 5 6
5 5 3 3 7 7 5 5
11 16 9 14 14 19 12 17
6 8 4 6 10 12 8 10
7 8 5 6 10 11 8 9
10 11 8 9 14 15 12 13
6 5 4 3 8 7 6 5
4 4 2 2 6 6 4 4
5 5 3 3 7 7 5 5
5 4 3 2 8 7 6 5
6 6 4 4 9 9 7 7
4 4 2 2 6 6 4 4
38 61 36 59 41 64 39 62
10 11 8 9 13 14 11 12
9 7 7 5 12 10 10 8
11 12 9 10 15 16 13 14
10 13 8 11 12 15 10 13
