original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
10 11 8 9 5 6 3 4
20 17 18 15 17 14 15 12
9 10 7 8 7 8 5 6
7 10 5 8 4 7 2 5
16 18 14 16 14 16 12 14
16 21 14 19 13 18 11 16
18 23 16 21 16 21 14 19
14 15 12 13 7 8 5 6
19 17 17 15 14 12 12 10
8 35 6 33 5 32 3 30
15 31 13 29 12 28 10 26
12 18 10 16 8 14 6 12
7 13 5 11 4 10 2 8
12 16 10 14 8 12 6 10
7 13 5 11 4 10 2 8
11 10 9 8 6 5 4 3
8 14 6 12 6 12 4 10
10 10 8 8 7 7 5 5
11 15 9 13 7 11 5 9
13 15 11 13 11 13 9 11
10 12 8 10 8 10 6 8
13 16 11 14 10 13 8 11
10 10 8 8 6 6 4 4
7 8 5 6 4 5 2 3
13 15 11 13 9 11 7 9
17 22 15 20 12 17 10 15
16 14 14 12 12 10 10 8
14 21 12 19 10 17 8 15
17 17 15 15 14 14 12 12
8 7 6 5 5 4 3 2
19 12 17 10 16 9 14 7
9 12 7 10 5 8 3 6
40 31 38 29 37 28 35 26
9 10 7 8 5 6 3 4
19 19 17 17 13 13 11 11
6 6 4 4 4 4 2 2
15 8 13 6 11 4 9 2
11 13 9 11 5 7 3 5
28 23 26 21 23 18 21 16
9 9 7 7 5 5 3 3
12 15 10 13 7 10 5 8
27 17 25 15 23 13 21 11
8 15 6 13 4 11 2 9
9 15 7 13 6 12 4 10
13 21 11 19 10 18 8 16
12 14 10 12 10 12 8 10
8 16 6 14 5 13 3 11
11 16 9 14 7 12 5 10
9 13 7 11 5 9 3 7
13 10 11 8 9 6 7 4
66 88 64 86 59 81 57 79
14 17 12 15 10 13 8 11
7 9 5 7 4 6 2 4
16 15 14 13 11 10 9 8
11 19 9 17 6 14 4 12
7 9 5 7 4 6 2 4
11 12 9 10 6 7 4 5
15 14 13 12 12 11 10 9
10 18 8 16 6 14 4 12
13 13 11 11 10 10 8 8
6 8 4 6 4 6 2 4
12 12 10 10 10 10 8 8
9 10 7 8 5 6 3 4
6 10 4 8 4 8 2 6
6 18 4 16 4 16 2 14
18 13 16 11 16 11 14 9
11 29 9 27 7 25 5 23
16 18 14 16 13 15 11 13
13 10 11 8 9 6 7 4
9 9 7 7 5 5 3 3
18 18 16 16 14 14 12 12
6 6 4 4 4 4 2 2
17 18 15 16 14 15 12 13
11 11 9 9 7 7 5 5
11 26 9 24 8 23 6 21
17 12 15 10 13 8 11 6
8 27 6 25 5 24 3 22
13 41 11 39 8 36 6 34
14 12 12 10 10 8 8 6
11 15 9 13 8 12 6 10
11 19 9 17 8 16 6 14
12 18 10 16 9 15 7 13
17 17 15 15 13 13 11 11
13 40 11 38 10 37 8 35
7 20 5 18 4 17 2 15
13 6 11 4 9 2 7 0
15 24 13 22 12 21 10 19
13 12 11 10 9 8 7 6
12 15 10 13 8 11 6 9
12 14 10 12 8 10 6 8
9 10 7 8 5 6 3 4
25 29 23 27 21 25 19 23
17 16 15 14 11 10 9 8
14 23 12 21 11 20 9 18
8 7 6 5 5 4 3 2
7 11 5 9 5 9 3 7
12 13 10 11 10 11 8 9
12 16 10 14 7 11 5 9
12 13 10 11 6 7 4 5
11 23 9 21 8 20 6 18
8 24 6 22 5 21 3 19
16 11 14 9 12 7 10 5
8 20 6 18 5 17 3 15
10 10 8 8 6 6 4 4
9 13 7 11 6 10 4 8
13 14 11 12 9 10 7 8
11 11 9 9 7 7 5 5
7 11 5 9 4 8 2 6
7 8 5 6 4 5 2 3
16 17 14 15 11 12 9 10
15 25 13 23 13 23 11 21
12 18 10 16 7 13 5 11
11 10 9 8 9 8 7 6
12 12 10 10 9 9 7 7
22 21 20 19 18 17 16 15
14 35 12 33 9 30 7 28
12 14 10 12 8 10 6 8
9 18 7 16 6 15 4 13
10 12 8 10 6 8 4 6
17 20 15 18 14 17 12 15
22 20 20 18 19 17 17 15
9 33 7 31 5 29 3 27
16 18 14 16 14 16 12 14
14 14 12 12 10 10 8 8
11 13 9 11 6 8 4 6
31 33 29 31 27 29 25 27
12 17 10 15 7 12 5 10
17 13 15 11 13 9 11 7
9 13 7 11 5 9 3 7
17 18 15 16 14 15 12 13
9 14 7 12 5 10 3 8
28 50 26 48 24 46 22 44
16 16 14 14 11 11 9 9
14 40 12 38 10 36 8 34
8 8 6 6 5 5 3 3
13 14 11 12 8 9 6 7
6 6 4 4 4 4 2 2
7 15 5 13 4 12 2 10
14 14 12 12 11 11 9 9
10 7 8 5 7 4 5 2
11 9 9 7 8 6 6 4
12 12 10 10 8 8 6 6
12 18 10 16 10 16 8 14
14 13 12 11 10 9 8 7
12 17 10 15 9 14 7 12
7 8 5 6 4 5 2 3
10 25 8 23 6 21 4 19
8 9 6 7 5 6 3 4
49 46 47 44 43 40 41 38
12 11 10 9 8 7 6 5
9 32 7 30 5 28 3 26
15 28 13 26 11 24 9 22
11 14 9 12 7 10 5 8
36 36 34 34 32 32 30 30
9 8 7 6 6 5 4 3
10 11 8 9 5 6 3 4
15 16 13 14 11 12 9 10
