original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
48 38 46 36 51 41 49 39
20 25 18 23 23 28 21 26
34 24 32 22 38 28 36 26
5 4 3 2 8 7 6 5
21 23 19 21 24 26 22 24
6 6 4 4 9 9 7 7
11 10 9 8 13 12 11 10
16 14 14 12 19 17 17 15
14 12 12 10 16 14 14 12
17 12 15 10 21 16 19 14
15 13 13 11 17 15 15 13
14 14 12 12 16 16 14 14
28 23 26 21 30 25 28 23
21 20 19 18 25 24 23 22
19 20 17 18 24 25 22 23
38 65 36 63 41 68 39 66
10 15 8 13 12 17 10 15
8 10 6 8 11 13 9 11
21 17 19 15 26 22 24 20
26 23 24 21 28 25 26 23
9 9 7 7 11 11 9 9
13 16 11 14 16 19 14 17
15 14 13 12 17 16 15 14
12 11 10 9 15 14 13 12
6 6 4 4 9 9 7 7
26 36 24 34 29 39 27 37
11 13 9 11 14 16 12 14
51 48 49 46 54 51 52 49
10 12 8 10 14 16 12 14
39 50 37 48 43 54 41 52
14 15 12 13 17 18 15 16
6 8 4 6 10 12 8 10
33 21 31 19 36 24 34 22
8 10 6 8 12 14 10 12
17 20 15 18 22 25 20 23
28 35 26 33 32 39 30 37
4 4 2 2 6 6 4 4
27 42 25 40 29 44 27 42
6 6 4 4 8 8 6 6
66 40 64 38 70 44 68 42
5 6 3 4 7 8 5 6
12 10 10 8 16 14 14 12
15 13 13 11 19 17 17 15
96 60 94 58 98 62 96 60
25 16 23 14 27 18 25 16
16 14 14 12 19 17 17 15
22 33 20 31 27 38 25 36
18 14 16 12 22 18 20 16
16 13 14 11 19 16 17 14
31 34 29 32 34 37 32 35
6 7 4 5 9 10 7 8
29 22 27 20 32 25 30 23
16 16 14 14 19 19 17 17
30 24 28 22 34 28 32 26
14 11 12 9 17 14 15 12
14 15 12 13 17 18 15 16
12 11 10 9 14 13 12 11
13 14 11 12 19 20 17 18
22 20 20 18 25 23 23 21
16 13 14 11 18 15 16 13
24 24 22 22 27 27 25 25
15 16 13 14 18 19 16 17
33 34 31 32 36 37 34 35
16 14 14 12 21 19 19 17
11 8 9 6 15 12 13 10
4 4 2 2 6 6 4 4
31 31 29 29 33 33 31 31
9 7 7 5 12 10 10 8
48 36 46 34 52 40 50 38
9 12 7 10 12 15 10 13
