original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
10 9 8 7 7 6 5 4
9 12 7 10 5 8 3 6
10 8 8 6 6 4 4 2
8 9 6 7 6 7 4 5
18 16 16 14 15 13 13 11
11 12 9 10 8 9 6 7
10 21 8 19 7 18 5 16
9 25 7 23 7 23 5 21
8 11 6 9 6 9 4 7
10 8 8 6 6 4 4 2
15 15 13 13 9 9 7 7
10 11 8 9 7 8 5 6
13 15 11 13 10 12 8 10
8 10 6 8 6 8 4 6
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
7 8 5 6 5 6 3 4
10 15 8 13 5 10 3 8
6 6 4 4 4 4 2 2
8 8 6 6 5 5 3 3
8 8 6 6 6 6 4 4
10 12 8 10 7 9 5 7
11 12 9 10 9 10 7 8
7 11 5 9 4 8 2 6
9 13 7 11 6 10 4 8
9 12 7 10 6 9 4 7
10 14 8 12 6 10 4 8
8 7 6 5 5 4 3 2
11 12 9 10 8 9 6 7
6 6 4 4 4 4 2 2
7 10 5 8 5 8 3 6
9 8 7 6 6 5 4 3
6 7 4 5 4 5 2 3
9 9 7 7 5 5 3 3
7 6 5 4 5 4 3 2
8 7 6 5 5 4 3 2
18 29 16 27 15 26 13 24
9 10 7 8 6 7 4 5
6 12 4 10 4 10 2 8
14 13 12 11 10 9 8 7
10 8 8 6 6 4 4 2
12 21 10 19 10 19 8 17
6 6 4 4 4 4 2 2
14 16 12 14 9 11 7 9
10 16 8 14 4 10 2 8
7 6 5 4 5 4 3 2
16 16 14 14 14 14 12 12
9 29 7 27 6 26 4 24
9 11 7 9 7 9 5 7
10 12 8 10 6 8 4 6
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
8 12 6 10 6 10 4 8
10 10 8 8 7 7 5 5
8 16 6 14 6 14 4 12
12 25 10 23 8 21 6 19
16 16 14 14 14 14 12 12
10 11 8 9 7 8 5 6
8 12 6 10 6 10 4 8
7 6 5 4 5 4 3 2
7 6 5 4 5 4 3 2
12 14 10 12 10 12 8 10
23 23 21 21 21 21 19 19
16 14 14 12 13 11 11 9
6 8 4 6 4 6 2 4
12 0 10 -2 10 -2 8 -4
10 11 8 9 7 8 5 6
10 8 8 6 7 5 5 3
10 8 8 6 7 5 5 3
6 16 4 14 4 14 2 12
16 19 14 17 13 16 11 14
27 25 25 23 21 19 19 17
11 12 9 10 8 9 6 7
7 9 5 7 4 6 2 4
20 21 18 19 16 17 14 15
7 8 5 6 5 6 3 4
12 12 10 10 10 10 8 8
12 15 10 13 9 12 7 10
17 30 15 28 13 26 11 24
9 10 7 8 7 8 5 6
12 9 10 7 8 5 6 3
6 20 4 18 4 18 2 16
10 23 8 21 8 21 6 19
20 22 18 20 17 19 15 17
14 19 12 17 9 14 7 12
11 14 9 12 9 12 7 10
17 17 15 15 15 15 13 13
6 19 4 17 4 17 2 15
6 6 4 4 4 4 2 2
6 11 4 9 4 9 2 7
8 10 6 8 6 8 4 6
8 7 6 5 5 4 3 2
12 12 10 10 8 8 6 6
15 17 13 15 13 15 11 13
11 29 9 27 8 26 6 24
26 27 24 25 20 21 18 19
9 17 7 15 7 15 5 13
6 6 4 4 4 4 2 2
6 7 4 5 4 5 2 3
22 23 20 21 19 20 17 18
14 23 12 21 7 16 5 14
36 37 34 35 33 34 31 32
20 26 18 24 17 23 15 21
22 21 20 19 18 17 16 15
8 16 6 14 5 13 3 11
7 11 5 9 5 9 3 7
13 13 11 11 11 11 9 9
10 11 8 9 8 9 6 7
10 13 8 11 5 8 3 6
12 8 10 6 9 5 7 3
31 31 29 29 29 29 27 27
23 19 21 17 14 10 12 8
9 8 7 6 7 6 5 4
13 9 11 7 11 7 9 5
9 31 7 29 5 27 3 25
11 11 9 9 8 8 6 6
16 24 14 22 12 20 10 18
18 46 16 44 14 42 12 40
7 9 5 7 5 7 3 5
12 15 10 13 10 13 8 11
46 54 44 52 43 51 41 49
15 41 13 39 12 38 10 36
13 12 11 10 11 10 9 8
14 21 12 19 12 19 10 17
11 17 9 15 8 14 6 12
17 43 15 41 14 40 12 38
7 9 5 7 5 7 3 5
8 9 6 7 5 6 3 4
7 8 5 6 5 6 3 4
13 21 11 19 10 18 8 16
30 36 28 34 27 33 25 31
33 31 31 29 31 29 29 27
6 6 4 4 4 4 2 2
19 17 17 15 14 12 12 10
12 16 10 14 9 13 7 11
9 11 7 9 5 7 3 5
14 17 12 15 8 11 6 9
33 31 31 29 30 28 28 26
14 12 12 10 12 10 10 8
14 23 12 21 8 17 6 15
10 9 8 7 8 7 6 5
33 32 31 30 30 29 28 27
8 20 6 18 5 17 3 15
17 19 15 17 13 15 11 13
17 7 15 5 15 5 13 3
7 10 5 8 5 8 3 6
7 6 5 4 5 4 3 2
13 7 11 5 11 5 9 3
8 11 6 9 5 8 3 6
14 16 12 14 9 11 7 9
10 14 8 12 7 11 5 9
27 31 25 29 24 28 22 26
14 11 12 9 12 9 10 7
9 7 7 5 6 4 4 2
9 17 7 15 7 15 5 13
11 7 9 5 8 4 6 2
12 12 10 10 9 9 7 7
9 11 7 9 5 7 3 5
13 13 11 11 11 11 9 9
16 22 14 20 13 19 11 17
12 18 10 16 9 15 7 13
12 15 10 13 8 11 6 9
6 14 4 12 4 12 2 10
7 8 5 6 5 6 3 4
8 8 6 6 5 5 3 3
11 7 9 5 8 4 6 2
12 22 10 20 8 18 6 16
7 10 5 8 5 8 3 6
9 13 7 11 6 10 4 8
10 26 8 24 6 22 4 20
8 9 6 7 5 6 3 4
10 9 8 7 8 7 6 5
11 22 9 20 7 18 5 16
8 11 6 9 4 7 2 5
22 22 20 20 17 17 15 15
6 8 4 6 4 6 2 4
7 8 5 6 4 5 2 3
11 10 9 8 7 6 5 4
12 10 10 8 8 6 6 4
9 10 7 8 6 7 4 5
8 8 6 6 5 5 3 3
13 11 11 9 7 5 5 3
6 11 4 9 4 9 2 7
7 9 5 7 5 7 3 5
7 9 5 7 5 7 3 5
8 12 6 10 5 9 3 7
9 22 7 20 5 18 3 16
10 9 8 7 7 6 5 4
7 9 5 7 5 7 3 5
10 11 8 9 8 9 6 7
16 17 14 15 11 12 9 10
25 27 23 25 23 25 21 23
8 10 6 8 6 8 4 6
13 13 11 11 11 11 9 9
13 16 11 14 10 13 8 11
9 23 7 21 7 21 5 19
10 12 8 10 8 10 6 8
12 16 10 14 6 10 4 8
12 13 10 11 8 9 6 7
9 16 7 14 6 13 4 11
7 19 5 17 5 17 3 15
11 18 9 16 9 16 7 14
15 14 13 12 13 12 11 10
8 8 6 6 6 6 4 4
13 18 11 16 9 14 7 12
9 7 7 5 7 5 5 3
10 15 8 13 5 10 3 8
7 11 5 9 5 9 3 7
11 13 9 11 8 10 6 8
13 7 11 5 11 5 9 3
12 14 10 12 10 12 8 10
8 11 6 9 5 8 3 6
8 13 6 11 5 10 3 8
13 15 11 13 6 8 4 6
10 10 8 8 8 8 6 6
10 12 8 10 8 10 6 8
9 9 7 7 5 5 3 3
8 10 6 8 5 7 3 5
6 6 4 4 4 4 2 2
11 8 9 6 8 5 6 3
7 8 5 6 4 5 2 3
8 11 6 9 6 9 4 7
8 8 6 6 6 6 4 4
10 12 8 10 6 8 4 6
8 7 6 5 5 4 3 2
6 12 4 10 4 10 2 8
6 6 4 4 4 4 2 2
6 7 4 5 4 5 2 3
11 12 9 10 9 10 7 8
6 7 4 5 4 5 2 3
17 16 15 14 10 9 8 7
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
11 16 9 14 6 11 4 9
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
8 9 6 7 5 6 3 4
12 11 10 9 9 8 7 6
17 2 15 0 15 0 13 -2
28 33 26 31 25 30 23 28
10 10 8 8 8 8 6 6
7 10 5 8 5 8 3 6
12 10 10 8 9 7 7 5
11 13 9 11 9 11 7 9
8 13 6 11 5 10 3 8
8 21 6 19 6 19 4 17
11 15 9 13 7 11 5 9
11 12 9 10 9 10 7 8
6 8 4 6 4 6 2 4
6 10 4 8 4 8 2 6
10 13 8 11 7 10 5 8
8 10 6 8 6 8 4 6
12 13 10 11 10 11 8 9
6 12 4 10 4 10 2 8
6 13 4 11 4 11 2 9
7 13 5 11 4 10 2 8
10 17 8 15 6 13 4 11
11 10 9 8 7 6 5 4
15 7 13 5 12 4 10 2
10 10 8 8 8 8 6 6
12 13 10 11 8 9 6 7
6 7 4 5 4 5 2 3
21 24 19 22 19 22 17 20
7 6 5 4 5 4 3 2
12 15 10 13 7 10 5 8
7 7 5 5 5 5 3 3
10 12 8 10 8 10 6 8
8 -1 6 -3 6 -3 4 -5
19 16 17 14 14 11 12 9
7 14 5 12 5 12 3 10
11 12 9 10 8 9 6 7
8 8 6 6 5 5 3 3
9 7 7 5 6 4 4 2
12 21 10 19 10 19 8 17
7 7 5 5 5 5 3 3
10 11 8 9 7 8 5 6
11 14 9 12 8 11 6 9
8 7 6 5 6 5 4 3
8 11 6 9 6 9 4 7
9 10 7 8 7 8 5 6
6 17 4 15 4 15 2 13
18 14 16 12 13 9 11 7
9 23 7 21 5 19 3 17
17 15 15 13 15 13 13 11
8 15 6 13 5 12 3 10
9 21 7 19 6 18 4 16
7 12 5 10 5 10 3 8
14 15 12 13 11 12 9 10
7 8 5 6 5 6 3 4
10 8 8 6 6 4 4 2
8 6 6 4 6 4 4 2
14 14 12 12 12 12 10 10
7 8 5 6 4 5 2 3
8 6 6 4 6 4 4 2
7 8 5 6 5 6 3 4
6 9 4 7 4 7 2 5
12 14 10 12 8 10 6 8
11 10 9 8 8 7 6 5
12 12 10 10 6 6 4 4
6 20 4 18 4 18 2 16
14 17 12 15 10 13 8 11
11 23 9 21 7 19 5 17
6 6 4 4 4 4 2 2
7 7 5 5 5 5 3 3
7 8 5 6 5 6 3 4
7 8 5 6 5 6 3 4
7 6 5 4 5 4 3 2
6 8 4 6 4 6 2 4
14 19 12 17 11 16 9 14
6 12 4 10 4 10 2 8
7 7 5 5 5 5 3 3
6 6 4 4 4 4 2 2
7 18 5 16 5 16 3 14
7 8 5 6 4 5 2 3
26 30 24 28 22 26 20 24
8 7 6 5 6 5 4 3
6 6 4 4 4 4 2 2
12 12 10 10 10 10 8 8
11 13 9 11 8 10 6 8
12 20 10 18 4 12 2 10
12 20 10 18 9 17 7 15
8 10 6 8 5 7 3 5
16 18 14 16 10 12 8 10
6 6 4 4 4 4 2 2
14 14 12 12 11 11 9 9
19 17 17 15 15 13 13 11
10 11 8 9 8 9 6 7
12 23 10 21 9 20 7 18
8 14 6 12 6 12 4 10
7 11 5 9 5 9 3 7
6 10 4 8 4 8 2 6
11 16 9 14 8 13 6 11
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
7 11 5 9 4 8 2 6
7 9 5 7 4 6 2 4
10 15 8 13 8 13 6 11
9 21 7 19 5 17 3 15
8 14 6 12 5 11 3 9
9 12 7 10 6 9 4 7
7 15 5 13 5 13 3 11
14 16 12 14 10 12 8 10
9 28 7 26 7 26 5 24
6 11 4 9 4 9 2 7
10 9 8 7 6 5 4 3
11 13 9 11 9 11 7 9
6 7 4 5 4 5 2 3
8 9 6 7 6 7 4 5
6 6 4 4 4 4 2 2
11 11 9 9 6 6 4 4
14 13 12 11 12 11 10 9
10 12 8 10 8 10 6 8
9 9 7 7 6 6 4 4
11 9 9 7 8 6 6 4
9 12 7 10 6 9 4 7
15 15 13 13 11 11 9 9
12 12 10 10 10 10 8 8
11 11 9 9 7 7 5 5
10 7 8 5 7 4 5 2
6 6 4 4 4 4 2 2
8 12 6 10 6 10 4 8
15 25 13 23 12 22 10 20
10 9 8 7 7 6 5 4
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
8 11 6 9 5 8 3 6
17 15 15 13 14 12 12 10
11 11 9 9 6 6 4 4
10 13 8 11 8 11 6 9
6 8 4 6 4 6 2 4
6 10 4 8 4 8 2 6
15 9 13 7 13 7 11 5
12 10 10 8 9 7 7 5
15 12 13 10 10 7 8 5
9 11 7 9 6 8 4 6
12 10 10 8 8 6 6 4
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
10 11 8 9 8 9 6 7
6 6 4 4 4 4 2 2
9 10 7 8 6 7 4 5
6 6 4 4 4 4 2 2
6 7 4 5 4 5 2 3
6 6 4 4 4 4 2 2
8 12 6 10 6 10 4 8
6 6 4 4 4 4 2 2
6 8 4 6 4 6 2 4
7 10 5 8 4 7 2 5
7 6 5 4 5 4 3 2
6 6 4 4 4 4 2 2
6 11 4 9 4 9 2 7
8 9 6 7 5 6 3 4
8 8 6 6 5 5 3 3
15 10 13 8 12 7 10 5
15 12 13 10 13 10 11 8
6 7 4 5 4 5 2 3
11 17 9 15 9 15 7 13
16 17 14 15 9 10 7 8
12 11 10 9 10 9 8 7
13 14 11 12 9 10 7 8
20 19 18 17 16 15 14 13
19 17 17 15 16 14 14 12
8 8 6 6 5 5 3 3
9 18 7 16 6 15 4 13
8 10 6 8 4 6 2 4
9 11 7 9 7 9 5 7
6 7 4 5 4 5 2 3
6 8 4 6 4 6 2 4
8 10 6 8 5 7 3 5
7 13 5 11 4 10 2 8
7 6 5 4 5 4 3 2
9 12 7 10 6 9 4 7
6 8 4 6 4 6 2 4
6 13 4 11 4 11 2 9
15 14 13 12 11 10 9 8
6 6 4 4 4 4 2 2
10 14 8 12 7 11 5 9
13 15 11 13 9 11 7 9
6 7 4 5 4 5 2 3
13 37 11 35 11 35 9 33
7 17 5 15 4 14 2 12
11 15 9 13 8 12 6 10
19 11 17 9 16 8 14 6
19 17 17 15 13 11 11 9
6 6 4 4 4 4 2 2
8 17 6 15 4 13 2 11
26 33 24 31 24 31 22 29
20 21 18 19 17 18 15 16
6 7 4 5 4 5 2 3
9 9 7 7 6 6 4 4
11 12 9 10 8 9 6 7
8 8 6 6 6 6 4 4
12 12 10 10 9 9 7 7
12 12 10 10 8 8 6 6
8 16 6 14 4 12 2 10
6 16 4 14 4 14 2 12
9 8 7 6 6 5 4 3
21 24 19 22 16 19 14 17
17 22 15 20 13 18 11 16
10 18 8 16 7 15 5 13
14 16 12 14 11 13 9 11
12 9 10 7 10 7 8 5
9 10 7 8 7 8 5 6
17 24 15 22 14 21 12 19
24 19 22 17 19 14 17 12
9 21 7 19 7 19 5 17
11 19 9 17 9 17 7 15
10 13 8 11 8 11 6 9
10 27 8 25 6 23 4 21
11 14 9 12 8 11 6 9
10 15 8 13 7 12 5 10
29 34 27 32 27 32 25 30
9 19 7 17 6 16 4 14
10 12 8 10 6 8 4 6
15 12 13 10 13 10 11 8
8 11 6 9 5 8 3 6
8 11 6 9 5 8 3 6
7 7 5 5 5 5 3 3
17 25 15 23 14 22 12 20
8 12 6 10 5 9 3 7
26 25 24 23 22 21 20 19
19 22 17 20 17 20 15 18
6 23 4 21 4 21 2 19
12 17 10 15 10 15 8 13
10 15 8 13 8 13 6 11
8 10 6 8 4 6 2 4
8 10 6 8 4 6 2 4
11 17 9 15 8 14 6 12
11 34 9 32 7 30 5 28
16 11 14 9 14 9 12 7
11 18 9 16 9 16 7 14
9 10 7 8 5 6 3 4
9 13 7 11 7 11 5 9
7 8 5 6 4 5 2 3
10 17 8 15 6 13 4 11
9 9 7 7 7 7 5 5
12 12 10 10 8 8 6 6
13 25 11 23 11 23 9 21
