original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
39 42 37 40 42 45 40 43
4 5 2 3 7 8 5 6
14 13 12 11 18 17 16 15
15 13 13 11 17 15 15 13
18 18 16 16 20 20 18 18
12 15 10 13 14 17 12 15
20 18 18 16 22 20 20 18
14 12 12 10 17 15 15 13
21 18 19 16 23 20 21 18
12 11 10 9 16 15 14 13
26 20 24 18 28 22 26 20
10 11 8 9 12 13 10 11
22 23 20 21 25 26 23 24
51 32 49 30 53 34 51 32
16 14 14 12 19 17 17 15
10 9 8 7 12 11 10 9
23 22 21 20 26 25 24 23
25 19 23 17 27 21 25 19
10 9 8 7 12 11 10 9
40 48 38 46 42 50 40 48
25 23 23 21 29 27 27 25
36 37 34 35 39 40 37 38
36 32 34 30 41 37 39 35
37 34 35 32 41 38 39 36
10 13 8 11 12 15 10 13
42 46 40 44 45 49 43 47
18 14 16 12 23 19 21 17
17 20 15 18 19 22 17 20
16 22 14 20 21 27 19 25
21 22 19 20 25 26 23 24
15 15 13 13 18 18 16 16
19 17 17 15 21 19 19 17
13 12 11 10 16 15 14 13
20 21 18 19 25 26 23 24
7 8 5 6 10 11 8 9
8 8 6 6 10 10 8 8
10 10 8 8 13 13 11 11
14 11 12 9 17 14 15 12
19 24 17 22 22 27 20 25
6 6 4 4 9 9 7 7
16 16 14 14 18 18 16 16
20 17 18 15 24 21 22 19
6 6 4 4 8 8 6 6
25 16 23 14 28 19 26 17
19 18 17 16 22 21 20 19
12 12 10 10 17 17 15 15
29 26 27 24 33 30 31 28
18 14 16 12 22 18 20 16
15 12 13 10 17 14 15 12
7 8 5 6 10 11 8 9
11 13 9 11 13 15 11 13
11 11 9 9 14 14 12 12
8 8 6 6 10 10 8 8
30 27 28 25 35 32 33 30
12 15 10 13 15 18 13 16
28 26 26 24 30 28 28 26
13 12 11 10 17 16 15 14
17 13 15 11 22 18 20 16
16 17 14 15 19 20 17 18
9 9 7 7 12 12 10 10
11 10 9 8 13 12 11 10
8 8 6 6 11 11 9 9
