original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
11 10 9 8 14 13 12 11
37 23 35 21 39 25 37 23
10 10 8 8 15 15 13 13
6 7 4 5 9 10 7 8
7 7 5 5 10 10 8 8
8 9 6 7 11 12 9 10
11 15 9 13 16 20 14 18
13 10 11 8 16 13 14 11
8 7 6 5 11 10 9 8
6 7 4 5 9 10 7 8
7 10 5 8 9 12 7 10
11 9 9 7 13 11 11 9
12 12 10 10 14 14 12 12
10 9 8 7 12 11 10 9
5 7 3 5 8 10 6 8
15 14 13 12 17 16 15 14
10 9 8 7 14 13 12 11
8 8 6 6 11 11 9 9
6 6 4 4 9 9 7 7
10 13 8 11 12 15 10 13
5 5 3 3 9 9 7 7
29 20 27 18 31 22 29 20
16 14 14 12 18 16 16 14
14 14 12 12 16 16 14 14
8 9 6 7 11 12 9 10
7 8 5 6 10 11 8 9
13 13 11 11 16 16 14 14
8 9 6 7 11 12 9 10
5 5 3 3 9 9 7 7
10 10 8 8 13 13 11 11
6 5 4 3 9 8 7 6
11 9 9 7 14 12 12 10
4 4 2 2 6 6 4 4
8 6 6 4 10 8 8 6
12 -6 10 -8 14 -4 12 -6
4 5 2 3 6 7 4 5
5 6 3 4 11 12 9 10
9 14 7 12 11 16 9 14
8 9 6 7 12 13 10 11
14 8 12 6 18 12 16 10
11 9 9 7 13 11 11 9
44 41 42 39 46 43 44 41
19 21 17 19 22 24 20 22
19 22 17 20 21 24 19 22
4 5 2 3 7 8 5 6
30 23 28 21 33 26 31 24
6 8 4 6 10 12 8 10
19 27 17 25 24 32 22 30
6 6 4 4 8 8 6 6
5 5 3 3 9 9 7 7
4 5 2 3 7 8 5 6
13 13 11 11 15 15 13 13
19 14 17 12 22 17 20 15
13 18 11 16 15 20 13 18
7 10 5 8 9 12 7 10
17 13 15 11 21 17 19 15
12 20 10 18 14 22 12 20
4 4 2 2 6 6 4 4
12 12 10 10 15 15 13 13
10 11 8 9 12 13 10 11
10 9 8 7 13 12 11 10
9 9 7 7 13 13 11 11
6 7 4 5 9 10 7 8
5 4 3 2 8 7 6 5
5 4 3 2 8 7 6 5
14 15 12 13 17 18 15 16
9 9 7 7 12 12 10 10
5 5 3 3 9 9 7 7
8 8 6 6 12 12 10 10
17 14 15 12 19 16 17 14
5 6 3 4 8 9 6 7
10 9 8 7 12 11 10 9
4 5 2 3 7 8 5 6
8 6 6 4 10 8 8 6
5 5 3 3 9 9 7 7
6 6 4 4 8 8 6 6
8 8 6 6 12 12 10 10
15 13 13 11 19 17 17 15
7 10 5 8 9 12 7 10
12 11 10 9 15 14 13 12
10 10 8 8 13 13 11 11
5 6 3 4 7 8 5 6
6 5 4 3 9 8 7 6
11 8 9 6 14 11 12 9
8 8 6 6 11 11 9 9
7 9 5 7 11 13 9 11
8 8 6 6 11 11 9 9
8 10 6 8 11 13 9 11
13 14 11 12 15 16 13 14
10 8 8 6 12 10 10 8
12 13 10 11 15 16 13 14
7 7 5 5 11 11 9 9
5 4 3 2 8 7 6 5
11 15 9 13 13 17 11 15
11 11 9 9 14 14 12 12
16 16 14 14 21 21 19 19
6 6 4 4 9 9 7 7
30 24 28 22 32 26 30 24
5 4 3 2 8 7 6 5
6 6 4 4 10 10 8 8
9 8 7 6 14 13 12 11
4 4 2 2 6 6 4 4
10 16 8 14 12 18 10 16
8 8 6 6 11 11 9 9
10 9 8 7 13 12 11 10
13 13 11 11 15 15 13 13
9 12 7 10 11 14 9 12
8 7 6 5 11 10 9 8
7 10 5 8 18 21 16 19
14 12 12 10 16 14 14 12
9 10 7 8 12 13 10 11
18 25 16 23 20 27 18 25
18 20 16 18 20 22 18 20
8 8 6 6 12 12 10 10
5 4 3 2 8 7 6 5
10 10 8 8 14 14 12 12
4 5 2 3 7 8 5 6
18 15 16 13 22 19 20 17
5 4 3 2 8 7 6 5
11 14 9 12 14 17 12 15
11 10 9 8 14 13 12 11
7 7 5 5 10 10 8 8
11 10 9 8 14 13 12 11
34 56 32 54 36 58 34 56
5 4 3 2 8 7 6 5
13 13 11 11 17 17 15 15
6 8 4 6 8 10 6 8
6 6 4 4 9 9 7 7
13 14 11 12 16 17 14 15
16 17 14 15 23 24 21 22
14 12 12 10 17 15 15 13
17 18 15 16 21 22 19 20
17 14 15 12 20 17 18 15
6 7 4 5 9 10 7 8
6 6 4 4 8 8 6 6
6 6 4 4 10 10 8 8
4 5 2 3 7 8 5 6
7 9 5 7 11 13 9 11
