original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
12 12 10 10 9 9 7 7
9 11 7 9 5 7 3 5
12 14 10 12 10 12 8 10
14 16 12 14 8 10 6 8
12 12 10 10 10 10 8 8
7 8 5 6 4 5 2 3
10 14 8 12 7 11 5 9
13 18 11 16 10 15 8 13
9 10 7 8 5 6 3 4
13 19 11 17 11 17 9 15
17 22 15 20 15 20 13 18
19 30 17 28 17 28 15 26
8 11 6 9 6 9 4 7
13 13 11 11 10 10 8 8
6 8 4 6 4 6 2 4
22 20 20 18 20 18 18 16
8 16 6 14 4 12 2 10
6 8 4 6 4 6 2 4
6 6 4 4 4 4 2 2
10 12 8 10 7 9 5 7
7 15 5 13 5 13 3 11
12 12 10 10 10 10 8 8
13 22 11 20 10 19 8 17
12 10 10 8 9 7 7 5
8 8 6 6 6 6 4 4
18 22 16 20 15 19 13 17
10 11 8 9 5 6 3 4
17 21 15 19 15 19 13 17
10 11 8 9 8 9 6 7
17 14 15 12 15 12 13 10
15 19 13 17 12 16 10 14
6 9 4 7 4 7 2 5
9 18 7 16 7 16 5 14
8 7 6 5 5 4 3 2
20 12 18 10 17 9 15 7
15 19 13 17 13 17 11 15
7 8 5 6 5 6 3 4
13 11 11 9 10 8 8 6
23 27 21 25 19 23 17 21
14 12 12 10 12 10 10 8
6 9 4 7 4 7 2 5
11 11 9 9 9 9 7 7
10 15 8 13 8 13 6 11
6 10 4 8 4 8 2 6
15 29 13 27 13 27 11 25
11 22 9 20 9 20 7 18
12 11 10 9 10 9 8 7
19 24 17 22 17 22 15 20
20 20 18 18 17 17 15 15
12 10 10 8 10 8 8 6
15 17 13 15 13 15 11 13
15 24 13 22 10 19 8 17
12 10 10 8 10 8 8 6
11 7 9 5 8 4 6 2
6 6 4 4 4 4 2 2
17 16 15 14 14 13 12 11
10 9 8 7 7 6 5 4
12 10 10 8 10 8 8 6
20 18 18 16 17 15 15 13
11 12 9 10 7 8 5 6
9 10 7 8 6 7 4 5
13 10 11 8 11 8 9 6
8 7 6 5 5 4 3 2
14 19 12 17 12 17 10 15
8 8 6 6 6 6 4 4
8 10 6 8 5 7 3 5
6 18 4 16 4 16 2 14
7 9 5 7 5 7 3 5
8 10 6 8 6 8 4 6
8 12 6 10 6 10 4 8
7 11 5 9 4 8 2 6
8 14 6 12 6 12 4 10
15 16 13 14 11 12 9 10
18 28 16 26 16 26 14 24
14 17 12 15 12 15 10 13
23 30 21 28 20 27 18 25
12 10 10 8 10 8 8 6
7 8 5 6 4 5 2 3
8 12 6 10 6 10 4 8
17 19 15 17 12 14 10 12
10 12 8 10 8 10 6 8
13 15 11 13 10 12 8 10
10 9 8 7 7 6 5 4
7 6 5 4 5 4 3 2
8 10 6 8 5 7 3 5
9 14 7 12 5 10 3 8
13 8 11 6 10 5 8 3
12 16 10 14 9 13 7 11
8 10 6 8 5 7 3 5
8 24 6 22 6 22 4 20
25 27 23 25 20 22 18 20
10 15 8 13 7 12 5 10
8 10 6 8 5 7 3 5
9 8 7 6 7 6 5 4
8 11 6 9 5 8 3 6
9 23 7 21 5 19 3 17
8 10 6 8 6 8 4 6
12 11 10 9 8 7 6 5
7 8 5 6 4 5 2 3
10 27 8 25 7 24 5 22
11 10 9 8 6 5 4 3
19 16 17 14 15 12 13 10
8 15 6 13 6 13 4 11
6 8 4 6 4 6 2 4
8 10 6 8 6 8 4 6
19 24 17 22 17 22 15 20
6 10 4 8 4 8 2 6
12 18 10 16 10 16 8 14
10 10 8 8 7 7 5 5
17 19 15 17 11 13 9 11
12 25 10 23 10 23 8 21
10 14 8 12 7 11 5 9
13 3 11 1 8 -2 6 -4
6 17 4 15 4 15 2 13
12 10 10 8 10 8 8 6
13 25 11 23 10 22 8 20
10 8 8 6 6 4 4 2
7 8 5 6 5 6 3 4
8 11 6 9 5 8 3 6
8 7 6 5 5 4 3 2
10 12 8 10 7 9 5 7
10 12 8 10 7 9 5 7
10 12 8 10 8 10 6 8
16 17 14 15 11 12 9 10
8 8 6 6 6 6 4 4
16 17 14 15 14 15 12 13
10 11 8 9 7 8 5 6
6 9 4 7 4 7 2 5
10 8 8 6 8 6 6 4
21 17 19 15 17 13 15 11
10 11 8 9 7 8 5 6
10 15 8 13 7 12 5 10
11 10 9 8 7 6 5 4
8 10 6 8 4 6 2 4
12 26 10 24 8 22 6 20
