original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 6 4 4 4 4 2 2
10 9 8 7 7 6 5 4
7 9 5 7 5 7 3 5
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
9 10 7 8 5 6 3 4
15 14 13 12 11 10 9 8
11 11 9 9 7 7 5 5
10 10 8 8 8 8 6 6
6 10 4 8 4 8 2 6
8 10 6 8 6 8 4 6
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
12 12 10 10 9 9 7 7
6 6 4 4 4 4 2 2
8 9 6 7 6 7 4 5
9 14 7 12 6 11 4 9
7 7 5 5 5 5 3 3
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
10 10 8 8 8 8 6 6
9 10 7 8 7 8 5 6
10 10 8 8 8 8 6 6
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
7 7 5 5 5 5 3 3
8 12 6 10 6 10 4 8
9 11 7 9 7 9 5 7
9 8 7 6 6 5 4 3
8 25 6 23 5 22 3 20
9 16 7 14 6 13 4 11
18 21 16 19 11 14 9 12
13 14 11 12 10 11 8 9
10 10 8 8 7 7 5 5
10 11 8 9 5 6 3 4
8 10 6 8 6 8 4 6
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
12 12 10 10 9 9 7 7
6 6 4 4 4 4 2 2
8 10 6 8 4 6 2 4
10 13 8 11 7 10 5 8
9 15 7 13 4 10 2 8
10 13 8 11 8 11 6 9
11 12 9 10 7 8 5 6
14 17 12 15 11 14 9 12
8 8 6 6 5 5 3 3
8 9 6 7 6 7 4 5
7 10 5 8 5 8 3 6
7 8 5 6 4 5 2 3
7 15 5 13 5 13 3 11
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
9 12 7 10 6 9 4 7
12 23 10 21 10 21 8 19
8 8 6 6 5 5 3 3
9 10 7 8 6 7 4 5
7 7 5 5 5 5 3 3
10 14 8 12 6 10 4 8
8 8 6 6 6 6 4 4
8 10 6 8 5 7 3 5
7 10 5 8 5 8 3 6
6 14 4 12 4 12 2 10
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
8 9 6 7 5 6 3 4
7 8 5 6 4 5 2 3
7 8 5 6 5 6 3 4
7 8 5 6 4 5 2 3
8 7 6 5 5 4 3 2
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
10 11 8 9 6 7 4 5
7 8 5 6 4 5 2 3
7 7 5 5 5 5 3 3
9 10 7 8 6 7 4 5
6 8 4 6 4 6 2 4
8 8 6 6 6 6 4 4
7 8 5 6 4 5 2 3
8 10 6 8 4 6 2 4
6 7 4 5 4 5 2 3
8 10 6 8 6 8 4 6
6 6 4 4 4 4 2 2
9 9 7 7 5 5 3 3
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
8 8 6 6 6 6 4 4
6 14 4 12 4 12 2 10
6 10 4 8 4 8 2 6
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
7 7 5 5 5 5 3 3
9 11 7 9 6 8 4 6
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
9 10 7 8 6 7 4 5
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
9 11 7 9 6 8 4 6
10 10 8 8 8 8 6 6
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
17 16 15 14 14 13 12 11
19 22 17 20 16 19 14 17
