original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
10 10 8 8 5 5 3 3
9 10 7 8 6 7 4 5
10 10 8 8 7 7 5 5
8 7 6 5 5 4 3 2
12 15 10 13 8 11 6 9
6 6 4 4 4 4 2 2
9 24 7 22 7 22 5 20
8 16 6 14 5 13 3 11
16 35 14 33 9 28 7 26
6 6 4 4 4 4 2 2
8 20 6 18 5 17 3 15
12 18 10 16 8 14 6 12
6 20 4 18 4 18 2 16
9 9 7 7 5 5 3 3
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
9 16 7 14 6 13 4 11
6 8 4 6 4 6 2 4
12 14 10 12 6 8 4 6
8 8 6 6 5 5 3 3
8 10 6 8 6 8 4 6
8 13 6 11 5 10 3 8
6 6 4 4 4 4 2 2
6 11 4 9 4 9 2 7
10 10 8 8 7 7 5 5
12 9 10 7 8 5 6 3
8 8 6 6 5 5 3 3
7 8 5 6 4 5 2 3
8 17 6 15 5 14 3 12
6 6 4 4 4 4 2 2
7 6 5 4 5 4 3 2
12 14 10 12 9 11 7 9
15 11 13 9 12 8 10 6
6 6 4 4 4 4 2 2
10 11 8 9 5 6 3 4
6 6 4 4 4 4 2 2
7 8 5 6 5 6 3 4
12 12 10 10 10 10 8 8
7 8 5 6 4 5 2 3
9 14 7 12 4 9 2 7
8 10 6 8 4 6 2 4
6 6 4 4 4 4 2 2
9 9 7 7 5 5 3 3
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
9 9 7 7 5 5 3 3
8 10 6 8 5 7 3 5
10 12 8 10 6 8 4 6
11 12 9 10 8 9 6 7
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
9 4 7 2 6 1 4 -1
8 15 6 13 4 11 2 9
6 11 4 9 4 9 2 7
8 8 6 6 6 6 4 4
7 8 5 6 4 5 2 3
8 10 6 8 4 6 2 4
12 9 10 7 10 7 8 5
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
13 7 11 5 10 4 8 2
8 10 6 8 6 8 4 6
7 14 5 12 4 11 2 9
7 8 5 6 4 5 2 3
8 12 6 10 5 9 3 7
9 10 7 8 5 6 3 4
6 21 4 19 4 19 2 17
11 12 9 10 8 9 6 7
9 9 7 7 5 5 3 3
7 11 5 9 5 9 3 7
8 -2 6 -4 5 -5 3 -7
7 8 5 6 4 5 2 3
9 9 7 7 5 5 3 3
8 10 6 8 4 6 2 4
6 7 4 5 4 5 2 3
7 8 5 6 4 5 2 3
13 11 11 9 7 5 5 3
25 26 23 24 23 24 21 22
15 15 13 13 11 11 9 9
9 12 7 10 4 7 2 5
12 11 10 9 7 6 5 4
9 10 7 8 6 7 4 5
7 16 5 14 4 13 2 11
11 10 9 8 7 6 5 4
7 15 5 13 4 12 2 10
6 6 4 4 4 4 2 2
7 13 5 11 4 10 2 8
10 11 8 9 5 6 3 4
7 8 5 6 4 5 2 3
7 8 5 6 4 5 2 3
12 10 10 8 8 6 6 4
10 31 8 29 5 26 3 24
12 11 10 9 8 7 6 5
15 31 13 29 8 24 6 22
10 8 8 6 6 4 4 2
23 12 21 10 19 8 17 6
8 8 6 6 6 6 4 4
10 8 8 6 7 5 5 3
6 6 4 4 4 4 2 2
7 13 5 11 4 10 2 8
8 8 6 6 5 5 3 3
16 9 14 7 13 6 11 4
10 9 8 7 7 6 5 4
10 10 8 8 7 7 5 5
10 8 8 6 6 4 4 2
12 14 10 12 8 10 6 8
8 10 6 8 5 7 3 5
10 9 8 7 8 7 6 5
8 8 6 6 6 6 4 4
8 35 6 33 5 32 3 30
13 8 11 6 11 6 9 4
12 13 10 11 9 10 7 8
6 6 4 4 4 4 2 2
7 12 5 10 4 9 2 7
8 21 6 19 5 18 3 16
11 17 9 15 6 12 4 10
10 12 8 10 7 9 5 7
6 6 4 4 4 4 2 2
10 16 8 14 7 13 5 11
8 13 6 11 6 11 4 9
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
9 13 7 11 6 10 4 8
11 11 9 9 7 7 5 5
14 17 12 15 12 15 10 13
8 11 6 9 5 8 3 6
11 12 9 10 8 9 6 7
6 13 4 11 4 11 2 9
7 9 5 7 4 6 2 4
8 12 6 10 5 9 3 7
7 7 5 5 5 5 3 3
7 8 5 6 4 5 2 3
10 11 8 9 7 8 5 6
8 7 6 5 5 4 3 2
6 9 4 7 4 7 2 5
9 10 7 8 6 7 4 5
9 9 7 7 5 5 3 3
7 11 5 9 4 8 2 6
12 14 10 12 10 12 8 10
8 12 6 10 4 8 2 6
8 7 6 5 5 4 3 2
8 13 6 11 4 9 2 7
7 8 5 6 5 6 3 4
7 14 5 12 4 11 2 9
7 7 5 5 5 5 3 3
6 6 4 4 4 4 2 2
7 9 5 7 5 7 3 5
10 10 8 8 6 6 4 4
6 6 4 4 4 4 2 2
9 8 7 6 6 5 4 3
17 14 15 12 14 11 12 9
