original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 6 4 4 8 8 6 6
6 5 4 3 11 10 9 8
27 27 25 25 30 30 28 28
9 10 7 8 12 13 10 11
8 11 6 9 11 14 9 12
9 8 7 6 14 13 12 11
7 8 5 6 9 10 7 8
5 4 3 2 8 7 6 5
8 11 6 9 10 13 8 11
5 5 3 3 7 7 5 5
18 21 16 19 20 23 18 21
4 4 2 2 6 6 4 4
12 11 10 9 14 13 12 11
4 4 2 2 6 6 4 4
4 5 2 3 7 8 5 6
4 4 2 2 6 6 4 4
17 12 15 10 20 15 18 13
8 9 6 7 10 11 8 9
24 23 22 21 27 26 25 24
11 9 9 7 13 11 11 9
6 7 4 5 9 10 7 8
15 22 13 20 19 26 17 24
9 10 7 8 12 13 10 11
9 9 7 7 11 11 9 9
4 4 2 2 6 6 4 4
6 6 4 4 8 8 6 6
8 7 6 5 11 10 9 8
4 4 2 2 6 6 4 4
7 6 5 4 10 9 8 7
6 5 4 3 9 8 7 6
9 9 7 7 11 11 9 9
15 27 13 25 19 31 17 29
5 6 3 4 8 9 6 7
28 23 26 21 30 25 28 23
6 6 4 4 8 8 6 6
26 38 24 36 30 42 28 40
6 6 4 4 8 8 6 6
7 6 5 4 10 9 8 7
29 34 27 32 33 38 31 36
8 8 6 6 12 12 10 10
12 11 10 9 14 13 12 11
6 9 4 7 11 14 9 12
21 28 19 26 24 31 22 29
9 9 7 7 12 12 10 10
8 12 6 10 11 15 9 13
11 10 9 8 13 12 11 10
16 14 14 12 19 17 17 15
10 14 8 12 13 17 11 15
10 8 8 6 12 10 10 8
5 4 3 2 8 7 6 5
7 6 5 4 10 9 8 7
7 7 5 5 11 11 9 9
7 8 5 6 9 10 7 8
4 5 2 3 7 8 5 6
5 4 3 2 8 7 6 5
8 8 6 6 11 11 9 9
14 12 12 10 17 15 15 13
6 10 4 8 10 14 8 12
13 15 11 13 17 19 15 17
11 9 9 7 13 11 11 9
15 15 13 13 18 18 16 16
5 4 3 2 8 7 6 5
7 8 5 6 10 11 8 9
5 5 3 3 7 7 5 5
8 7 6 5 10 9 8 7
20 30 18 28 25 35 23 33
6 5 4 3 9 8 7 6
18 18 16 16 20 20 18 18
8 8 6 6 10 10 8 8
5 5 3 3 7 7 5 5
11 13 9 11 15 17 13 15
5 5 3 3 8 8 6 6
7 10 5 8 10 13 8 11
7 6 5 4 10 9 8 7
11 8 9 6 14 11 12 9
7 8 5 6 10 11 8 9
5 5 3 3 7 7 5 5
10 8 8 6 12 10 10 8
7 10 5 8 9 12 7 10
9 7 7 5 11 9 9 7
9 11 7 9 11 13 9 11
4 4 2 2 6 6 4 4
5 4 3 2 8 7 6 5
6 5 4 3 9 8 7 6
5 5 3 3 7 7 5 5
23 23 21 21 26 26 24 24
4 4 2 2 6 6 4 4
12 9 10 7 16 13 14 11
5 5 3 3 7 7 5 5
22 19 20 17 25 22 23 20
9 12 7 10 12 15 10 13
6 7 4 5 9 10 7 8
10 8 8 6 13 11 11 9
7 7 5 5 11 11 9 9
10 17 8 15 15 22 13 20
7 8 5 6 10 11 8 9
7 7 5 5 11 11 9 9
4 5 2 3 7 8 5 6
4 4 2 2 6 6 4 4
10 12 8 10 12 14 10 12
10 8 8 6 12 10 10 8
5 6 3 4 8 9 6 7
6 6 4 4 8 8 6 6
7 8 5 6 9 10 7 8
4 4 2 2 6 6 4 4
8 10 6 8 10 12 8 10
11 8 9 6 14 11 12 9
6 9 4 7 11 14 9 12
6 8 4 6 9 11 7 9
9 14 7 12 11 16 9 14
6 6 4 4 8 8 6 6
6 7 4 5 9 10 7 8
12 11 10 9 15 14 13 12
