original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
16 23 14 21 13 20 11 18
19 29 17 27 14 24 12 22
18 27 16 25 15 24 13 22
15 48 13 46 12 45 10 43
9 9 7 7 5 5 3 3
16 22 14 20 12 18 10 16
18 17 16 15 12 11 10 9
7 9 5 7 4 6 2 4
7 10 5 8 4 7 2 5
8 18 6 16 5 15 3 13
12 12 10 10 8 8 6 6
16 14 14 12 12 10 10 8
20 24 18 22 16 20 14 18
10 9 8 7 6 5 4 3
23 38 21 36 18 33 16 31
8 8 6 6 6 6 4 4
10 10 8 8 8 8 6 6
18 26 16 24 16 24 14 22
11 14 9 12 8 11 6 9
12 10 10 8 8 6 6 4
11 13 9 11 7 9 5 7
11 12 9 10 7 8 5 6
16 16 14 14 10 10 8 8
10 7 8 5 7 4 5 2
6 8 4 6 4 6 2 4
13 33 11 31 9 29 7 27
7 14 5 12 4 11 2 9
42 44 40 42 38 40 36 38
18 13 16 11 15 10 13 8
9 9 7 7 5 5 3 3
7 8 5 6 4 5 2 3
11 17 9 15 7 13 5 11
11 11 9 9 7 7 5 5
8 8 6 6 5 5 3 3
8 14 6 12 5 11 3 9
10 13 8 11 6 9 4 7
28 20 26 18 24 16 22 14
6 24 4 22 4 22 2 20
8 14 6 12 5 11 3 9
9 9 7 7 5 5 3 3
7 10 5 8 4 7 2 5
8 7 6 5 5 4 3 2
9 12 7 10 4 7 2 5
15 13 13 11 11 9 9 7
9 9 7 7 5 5 3 3
6 8 4 6 4 6 2 4
8 11 6 9 5 8 3 6
17 20 15 18 13 16 11 14
14 15 12 13 10 11 8 9
10 16 8 14 5 11 3 9
11 11 9 9 7 7 5 5
36 41 34 39 31 36 29 34
9 9 7 7 5 5 3 3
28 30 26 28 26 28 24 26
6 6 4 4 4 4 2 2
10 9 8 7 6 5 4 3
7 7 5 5 5 5 3 3
17 17 15 15 11 11 9 9
9 16 7 14 6 13 4 11
15 16 13 14 11 12 9 10
7 6 5 4 5 4 3 2
10 13 8 11 7 10 5 8
11 20 9 18 7 16 5 14
10 13 8 11 7 10 5 8
