original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
32 31 30 29 36 35 34 33
22 22 20 20 25 25 23 23
11 15 9 13 13 17 11 15
9 10 7 8 12 13 10 11
27 20 25 18 32 25 30 23
45 40 43 38 47 42 45 40
30 33 28 31 35 38 33 36
5 4 3 2 8 7 6 5
28 23 26 21 32 27 30 25
11 9 9 7 15 13 13 11
13 13 11 11 19 19 17 17
26 23 24 21 30 27 28 25
13 11 11 9 15 13 13 11
9 8 7 6 12 11 10 9
45 29 43 27 47 31 45 29
18 21 16 19 22 25 20 23
9 8 7 6 12 11 10 9
11 7 9 5 17 13 15 11
4 4 2 2 6 6 4 4
12 11 10 9 15 14 13 12
18 18 16 16 22 22 20 20
19 22 17 20 24 27 22 25
16 14 14 12 20 18 18 16
10 8 8 6 13 11 11 9
35 33 33 31 39 37 37 35
61 48 59 46 66 53 64 51
27 27 25 25 30 30 28 28
14 12 12 10 20 18 18 16
9 9 7 7 13 13 11 11
61 44 59 42 65 48 63 46
13 12 11 10 17 16 15 14
16 13 14 11 19 16 17 14
14 15 12 13 18 19 16 17
10 10 8 8 15 15 13 13
10 9 8 7 13 12 11 10
20 21 18 19 25 26 23 24
14 14 12 12 18 18 16 16
16 14 14 12 20 18 18 16
36 38 34 36 40 42 38 40
16 13 14 11 20 17 18 15
8 8 6 6 12 12 10 10
22 24 20 22 27 29 25 27
38 27 36 25 41 30 39 28
16 14 14 12 19 17 17 15
37 32 35 30 42 37 40 35
17 19 15 17 23 25 21 23
25 30 23 28 31 36 29 34
6 6 4 4 9 9 7 7
17 11 15 9 22 16 20 14
20 21 18 19 24 25 22 23
39 32 37 30 42 35 40 33
22 19 20 17 26 23 24 21
5 5 3 3 9 9 7 7
9 9 7 7 13 13 11 11
17 21 15 19 20 24 18 22
12 9 10 7 18 15 16 13
29 26 27 24 36 33 34 31
22 17 20 15 25 20 23 18
10 12 8 10 14 16 12 14
15 15 13 13 19 19 17 17
32 22 30 20 36 26 34 24
32 30 30 28 36 34 34 32
12 11 10 9 15 14 13 12
40 36 38 34 44 40 42 38
20 16 18 14 23 19 21 17
7 7 5 5 9 9 7 7
10 10 8 8 14 14 12 12
7 5 5 3 11 9 9 7
16 18 14 16 19 21 17 19
14 12 12 10 20 18 18 16
26 23 24 21 29 26 27 24
15 12 13 10 18 15 16 13
7 8 5 6 11 12 9 10
13 12 11 10 18 17 16 15
15 10 13 8 19 14 17 12
11 9 9 7 13 11 11 9
29 24 27 22 33 28 31 26
5 5 3 3 9 9 7 7
23 27 21 25 26 30 24 28
42 41 40 39 45 44 43 42
9 11 7 9 11 13 9 11
35 37 33 35 38 40 36 38
29 30 27 28 32 33 30 31
13 10 11 8 18 15 16 13
23 27 21 25 26 30 24 28
18 14 16 12 21 17 19 15
9 15 7 13 12 18 10 16
10 11 8 9 13 14 11 12
4 4 2 2 6 6 4 4
7 7 5 5 11 11 9 9
15 15 13 13 17 17 15 15
4 5 2 3 7 8 5 6
9 9 7 7 11 11 9 9
46 50 44 48 50 54 48 52
33 36 31 34 35 38 33 36
66 52 64 50 69 55 67 53
26 40 24 38 29 43 27 41
42 28 40 26 46 32 44 30
4 4 2 2 6 6 4 4
15 14 13 12 18 17 16 15
12 9 10 7 16 13 14 11
9 9 7 7 13 13 11 11
19 19 17 17 22 22 20 20
8 7 6 5 11 10 9 8
12 10 10 8 15 13 13 11
14 11 12 9 17 14 15 12
16 18 14 16 20 22 18 20
18 15 16 13 21 18 19 16
32 31 30 29 36 35 34 33
12 10 10 8 16 14 14 12
11 17 9 15 14 20 12 18
9 9 7 7 13 13 11 11
12 15 10 13 14 17 12 15
13 10 11 8 17 14 15 12
6 6 4 4 8 8 6 6
59 38 57 36 61 40 59 38
22 21 20 19 26 25 24 23
8 8 6 6 10 10 8 8
10 9 8 7 13 12 11 10
35 42 33 40 38 45 36 43
10 9 8 7 14 13 12 11
33 21 31 19 35 23 33 21
21 20 19 18 24 23 22 21
22 20 20 18 26 24 24 22
8 11 6 9 11 14 9 12
17 12 15 10 20 15 18 13
13 18 11 16 17 22 15 20
8 9 6 7 12 13 10 11
25 16 23 14 27 18 25 16
20 32 18 30 23 35 21 33
19 17 17 15 22 20 20 18
18 19 16 17 21 22 19 20
8 8 6 6 11 11 9 9
26 31 24 29 30 35 28 33
5 5 3 3 9 9 7 7
24 35 22 33 28 39 26 37
26 25 24 23 29 28 27 26
31 27 29 25 35 31 33 29
24 18 22 16 26 20 24 18
7 7 5 5 10 10 8 8
10 8 8 6 14 12 12 10
15 11 13 9 17 13 15 11
10 13 8 11 13 16 11 14
10 10 8 8 13 13 11 11
25 28 23 26 28 31 26 29
5 6 3 4 8 9 6 7
22 17 20 15 25 20 23 18
6 6 4 4 9 9 7 7
8 8 6 6 12 12 10 10
21 19 19 17 25 23 23 21
5 6 3 4 10 11 8 9
15 13 13 11 20 18 18 16
17 15 15 13 21 19 19 17
34 27 32 25 38 31 36 29
10 10 8 8 14 14 12 12
20 17 18 15 23 20 21 18
7 9 5 7 11 13 9 11
15 12 13 10 19 16 17 14
14 13 12 11 19 18 17 16
8 8 6 6 12 12 10 10
19 16 17 14 21 18 19 16
12 13 10 11 15 16 13 14
18 13 16 11 22 17 20 15
12 10 10 8 16 14 14 12
9 10 7 8 12 13 10 11
49 34 47 32 51 36 49 34
10 12 8 10 13 15 11 13
14 10 12 8 17 13 15 11
26 26 24 24 30 30 28 28
11 12 9 10 14 15 12 13
22 18 20 16 25 21 23 19
41 27 39 25 44 30 42 28
24 23 22 21 27 26 25 24
14 10 12 8 17 13 15 11
18 17 16 15 23 22 21 20
4 5 2 3 7 8 5 6
5 5 3 3 7 7 5 5
34 40 32 38 37 43 35 41
14 20 12 18 17 23 15 21
12 11 10 9 16 15 14 13
41 37 39 35 43 39 41 37
24 18 22 16 28 22 26 20
