original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
12 20 10 18 8 16 6 14
10 9 8 7 7 6 5 4
13 15 11 13 7 9 5 7
10 13 8 11 5 8 3 6
15 28 13 26 11 24 9 22
9 12 7 10 5 8 3 6
13 13 11 11 9 9 7 7
25 16 23 14 21 12 19 10
9 10 7 8 6 7 4 5
6 6 4 4 4 4 2 2
10 11 8 9 7 8 5 6
22 22 20 20 20 20 18 18
9 11 7 9 6 8 4 6
7 8 5 6 4 5 2 3
6 15 4 13 4 13 2 11
13 12 11 10 8 7 6 5
11 14 9 12 7 10 5 8
30 28 28 26 26 24 24 22
7 12 5 10 4 9 2 7
8 8 6 6 6 6 4 4
8 10 6 8 4 6 2 4
7 8 5 6 4 5 2 3
13 12 11 10 9 8 7 6
11 11 9 9 7 7 5 5
9 9 7 7 6 6 4 4
6 10 4 8 4 8 2 6
7 10 5 8 4 7 2 5
9 10 7 8 7 8 5 6
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
11 12 9 10 9 10 7 8
8 8 6 6 6 6 4 4
12 12 10 10 9 9 7 7
7 10 5 8 5 8 3 6
11 10 9 8 6 5 4 3
11 17 9 15 8 14 6 12
15 16 13 14 13 14 11 12
10 13 8 11 4 7 2 5
10 14 8 12 6 10 4 8
9 10 7 8 6 7 4 5
7 -5 5 -7 4 -8 2 -10
9 12 7 10 6 9 4 7
9 10 7 8 6 7 4 5
10 11 8 9 5 6 3 4
14 14 12 12 8 8 6 6
7 9 5 7 4 6 2 4
8 7 6 5 5 4 3 2
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
9 10 7 8 6 7 4 5
12 13 10 11 9 10 7 8
15 18 13 16 12 15 10 13
14 13 12 11 11 10 9 8
10 11 8 9 7 8 5 6
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
10 11 8 9 6 7 4 5
17 19 15 17 11 13 9 11
6 6 4 4 4 4 2 2
7 9 5 7 5 7 3 5
12 14 10 12 8 10 6 8
8 8 6 6 6 6 4 4
13 15 11 13 8 10 6 8
12 11 10 9 7 6 5 4
8 10 6 8 4 6 2 4
7 8 5 6 4 5 2 3
8 12 6 10 6 10 4 8
20 17 18 15 16 13 14 11
14 11 12 9 9 6 7 4
12 21 10 19 8 17 6 15
9 10 7 8 6 7 4 5
10 14 8 12 7 11 5 9
7 14 5 12 4 11 2 9
15 16 13 14 11 12 9 10
7 11 5 9 4 8 2 6
10 11 8 9 8 9 6 7
7 15 5 13 4 12 2 10
9 12 7 10 5 8 3 6
9 8 7 6 6 5 4 3
6 6 4 4 4 4 2 2
9 14 7 12 6 11 4 9
9 10 7 8 6 7 4 5
8 10 6 8 4 6 2 4
10 10 8 8 8 8 6 6
28 34 26 32 25 31 23 29
15 26 13 24 11 22 9 20
14 18 12 16 11 15 9 13
15 28 13 26 12 25 10 23
10 12 8 10 6 8 4 6
23 26 21 24 15 18 13 16
16 21 14 19 12 17 10 15
16 16 14 14 12 12 10 10
9 10 7 8 6 7 4 5
9 11 7 9 6 8 4 6
12 13 10 11 7 8 5 6
7 8 5 6 4 5 2 3
8 9 6 7 5 6 3 4
10 9 8 7 7 6 5 4
7 8 5 6 4 5 2 3
10 11 8 9 5 6 3 4
10 13 8 11 7 10 5 8
13 11 11 9 7 5 5 3
7 7 5 5 5 5 3 3
16 18 14 16 8 10 6 8
8 9 6 7 5 6 3 4
20 17 18 15 17 14 15 12
10 10 8 8 8 8 6 6
6 6 4 4 4 4 2 2
13 13 11 11 9 9 7 7
6 6 4 4 4 4 2 2
14 14 12 12 10 10 8 8
7 8 5 6 4 5 2 3
7 11 5 9 4 8 2 6
16 12 14 10 14 10 12 8
8 9 6 7 6 7 4 5
14 18 12 16 8 12 6 10
12 10 10 8 8 6 6 4
8 10 6 8 4 6 2 4
14 19 12 17 7 12 5 10
23 25 21 23 20 22 18 20
9 10 7 8 7 8 5 6
11 29 9 27 8 26 6 24
8 9 6 7 5 6 3 4
20 28 18 26 16 24 14 22
8 10 6 8 4 6 2 4
14 39 12 37 6 31 4 29
16 37 14 35 14 35 12 33
15 22 13 20 11 18 9 16
8 13 6 11 6 11 4 9
9 26 7 24 6 23 4 21
8 8 6 6 6 6 4 4
9 14 7 12 6 11 4 9
8 8 6 6 6 6 4 4
7 8 5 6 4 5 2 3
9 9 7 7 5 5 3 3
13 21 11 19 7 15 5 13
8 8 6 6 6 6 4 4
11 18 9 16 7 14 5 12
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 22 4 20 4 20 2 18
8 18 6 16 4 14 2 12
13 17 11 15 11 15 9 13
9 12 7 10 7 10 5 8
8 8 6 6 6 6 4 4
7 21 5 19 4 18 2 16
9 10 7 8 6 7 4 5
15 61 13 59 12 58 10 56
14 14 12 12 10 10 8 8
10 9 8 7 8 7 6 5
7 8 5 6 4 5 2 3
9 10 7 8 6 7 4 5
19 22 17 20 12 15 10 13
7 15 5 13 5 13 3 11
9 10 7 8 6 7 4 5
8 13 6 11 6 11 4 9
8 8 6 6 6 6 4 4
8 9 6 7 5 6 3 4
9 9 7 7 5 5 3 3
18 16 16 14 15 13 13 11
13 14 11 12 8 9 6 7
11 14 9 12 6 9 4 7
12 10 10 8 8 6 6 4
10 11 8 9 7 8 5 6
8 8 6 6 6 6 4 4
15 16 13 14 10 11 8 9
6 9 4 7 4 7 2 5
17 19 15 17 11 13 9 11
8 12 6 10 4 8 2 6
20 21 18 19 18 19 16 17
11 25 9 23 6 20 4 18
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
17 15 15 13 13 11 11 9
8 10 6 8 5 7 3 5
9 10 7 8 6 7 4 5
10 13 8 11 8 11 6 9
10 8 8 6 6 4 4 2
10 21 8 19 8 19 6 17
7 8 5 6 4 5 2 3
9 9 7 7 5 5 3 3
7 11 5 9 4 8 2 6
7 12 5 10 4 9 2 7
14 21 12 19 7 14 5 12
13 16 11 14 8 11 6 9
8 6 6 4 6 4 4 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
10 9 8 7 7 6 5 4
9 9 7 7 5 5 3 3
11 12 9 10 8 9 6 7
7 8 5 6 4 5 2 3
15 14 13 12 12 11 10 9
13 14 11 12 11 12 9 10
11 24 9 22 9 22 7 20
8 8 6 6 6 6 4 4
7 8 5 6 5 6 3 4
8 8 6 6 6 6 4 4
14 17 12 15 9 12 7 10
8 14 6 12 6 12 4 10
6 17 4 15 4 15 2 13
6 6 4 4 4 4 2 2
12 10 10 8 8 6 6 4
12 11 10 9 10 9 8 7
13 15 11 13 8 10 6 8
12 11 10 9 8 7 6 5
11 18 9 16 8 15 6 13
6 6 4 4 4 4 2 2
9 8 7 6 6 5 4 3
9 10 7 8 6 7 4 5
9 10 7 8 6 7 4 5
6 6 4 4 4 4 2 2
