original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
13 21 11 19 10 18 8 16
6 6 4 4 4 4 2 2
7 14 5 12 4 11 2 9
10 34 8 32 7 31 5 29
14 14 12 12 8 8 6 6
8 9 6 7 6 7 4 5
12 11 10 9 9 8 7 6
10 8 8 6 6 4 4 2
8 8 6 6 5 5 3 3
8 11 6 9 5 8 3 6
13 15 11 13 8 10 6 8
7 8 5 6 4 5 2 3
11 12 9 10 9 10 7 8
9 10 7 8 5 6 3 4
11 11 9 9 8 8 6 6
8 7 6 5 5 4 3 2
6 7 4 5 4 5 2 3
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
7 7 5 5 5 5 3 3
11 12 9 10 9 10 7 8
7 8 5 6 5 6 3 4
8 14 6 12 4 10 2 8
9 9 7 7 6 6 4 4
14 10 12 8 8 4 6 2
12 19 10 17 10 17 8 15
6 6 4 4 4 4 2 2
9 9 7 7 6 6 4 4
7 8 5 6 4 5 2 3
6 7 4 5 4 5 2 3
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
9 7 7 5 6 4 4 2
8 9 6 7 5 6 3 4
12 18 10 16 8 14 6 12
9 10 7 8 6 7 4 5
8 11 6 9 5 8 3 6
9 11 7 9 5 7 3 5
6 6 4 4 4 4 2 2
14 13 12 11 11 10 9 8
8 10 6 8 4 6 2 4
6 13 4 11 4 11 2 9
8 10 6 8 4 6 2 4
31 32 29 30 28 29 26 27
9 10 7 8 6 7 4 5
6 9 4 7 4 7 2 5
11 11 9 9 7 7 5 5
8 9 6 7 5 6 3 4
10 17 8 15 6 13 4 11
6 6 4 4 4 4 2 2
12 13 10 11 6 7 4 5
8 21 6 19 5 18 3 16
10 10 8 8 8 8 6 6
9 9 7 7 6 6 4 4
9 10 7 8 6 7 4 5
9 10 7 8 7 8 5 6
12 11 10 9 8 7 6 5
6 6 4 4 4 4 2 2
11 15 9 13 9 13 7 11
7 10 5 8 4 7 2 5
9 9 7 7 5 5 3 3
8 7 6 5 5 4 3 2
7 8 5 6 4 5 2 3
7 12 5 10 5 10 3 8
6 8 4 6 4 6 2 4
8 16 6 14 4 12 2 10
8 11 6 9 5 8 3 6
10 9 8 7 6 5 4 3
7 8 5 6 5 6 3 4
10 15 8 13 8 13 6 11
8 8 6 6 6 6 4 4
6 10 4 8 4 8 2 6
9 11 7 9 5 7 3 5
10 8 8 6 8 6 6 4
6 6 4 4 4 4 2 2
15 16 13 14 12 13 10 11
6 6 4 4 4 4 2 2
7 11 5 9 5 9 3 7
11 10 9 8 6 5 4 3
6 17 4 15 4 15 2 13
6 6 4 4 4 4 2 2
6 11 4 9 4 9 2 7
9 9 7 7 5 5 3 3
7 9 5 7 4 6 2 4
6 6 4 4 4 4 2 2
7 7 5 5 5 5 3 3
6 6 4 4 4 4 2 2
8 10 6 8 5 7 3 5
6 6 4 4 4 4 2 2
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
9 8 7 6 6 5 4 3
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
8 8 6 6 5 5 3 3
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
9 12 7 10 6 9 4 7
6 9 4 7 4 7 2 5
6 6 4 4 4 4 2 2
6 9 4 7 4 7 2 5
6 6 4 4 4 4 2 2
9 9 7 7 5 5 3 3
8 14 6 12 4 10 2 8
9 10 7 8 7 8 5 6
9 8 7 6 6 5 4 3
9 10 7 8 6 7 4 5
6 7 4 5 4 5 2 3
7 14 5 12 4 11 2 9
9 8 7 6 6 5 4 3
9 9 7 7 6 6 4 4
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
10 11 8 9 7 8 5 6
14 11 12 9 10 7 8 5
12 13 10 11 9 10 7 8
9 10 7 8 5 6 3 4
9 8 7 6 6 5 4 3
6 6 4 4 4 4 2 2
9 9 7 7 7 7 5 5
8 7 6 5 5 4 3 2
6 6 4 4 4 4 2 2
23 18 21 16 21 16 19 14
7 8 5 6 4 5 2 3
8 8 6 6 5 5 3 3
8 9 6 7 6 7 4 5
7 8 5 6 4 5 2 3
13 12 11 10 10 9 8 7
11 11 9 9 7 7 5 5
17 21 15 19 11 15 9 13
9 26 7 24 5 22 3 20
14 14 12 12 12 12 10 10
12 14 10 12 5 7 3 5
8 9 6 7 5 6 3 4
8 8 6 6 6 6 4 4
6 7 4 5 4 5 2 3
11 13 9 11 8 10 6 8
6 9 4 7 4 7 2 5
19 26 17 24 17 24 15 22
10 11 8 9 5 6 3 4
15 14 13 12 10 9 8 7
7 10 5 8 4 7 2 5
8 10 6 8 4 6 2 4
7 8 5 6 4 5 2 3
7 10 5 8 5 8 3 6
11 10 9 8 9 8 7 6
7 8 5 6 5 6 3 4
6 7 4 5 4 5 2 3
6 6 4 4 4 4 2 2
8 8 6 6 6 6 4 4
9 9 7 7 5 5 3 3
6 6 4 4 4 4 2 2
6 22 4 20 4 20 2 18
9 33 7 31 6 30 4 28
29 75 27 73 25 71 23 69
36 50 34 48 34 48 32 46
29 35 27 33 27 33 25 31
6 10 4 8 4 8 2 6
16 20 14 18 13 17 11 15
9 8 7 6 6 5 4 3
7 8 5 6 4 5 2 3
11 13 9 11 9 11 7 9
10 9 8 7 8 7 6 5
11 17 9 15 8 14 6 12
7 12 5 10 5 10 3 8
9 12 7 10 6 9 4 7
7 8 5 6 4 5 2 3
16 14 14 12 11 9 9 7
6 6 4 4 4 4 2 2
7 8 5 6 5 6 3 4
6 7 4 5 4 5 2 3
9 12 7 10 7 10 5 8
6 7 4 5 4 5 2 3
12 15 10 13 8 11 6 9
8 7 6 5 5 4 3 2
6 7 4 5 4 5 2 3
8 10 6 8 5 7 3 5
6 6 4 4 4 4 2 2
9 36 7 34 7 34 5 32
8 8 6 6 5 5 3 3
7 8 5 6 4 5 2 3
8 9 6 7 5 6 3 4
6 7 4 5 4 5 2 3
12 11 10 9 8 7 6 5
15 17 13 15 13 15 11 13
6 8 4 6 4 6 2 4
10 9 8 7 7 6 5 4
7 9 5 7 4 6 2 4
6 6 4 4 4 4 2 2
11 10 9 8 9 8 7 6
7 8 5 6 5 6 3 4
9 8 7 6 6 5 4 3
6 1 4 -1 4 -1 2 -3
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
9 11 7 9 6 8 4 6
6 7 4 5 4 5 2 3
8 8 6 6 6 6 4 4
6 8 4 6 4 6 2 4
8 8 6 6 6 6 4 4
6 6 4 4 4 4 2 2
6 6 4 4 4 4 2 2
7 8 5 6 4 5 2 3
6 6 4 4 4 4 2 2
21 20 19 18 19 18 17 16
7 8 5 6 4 5 2 3
9 11 7 9 4 6 2 4
7 8 5 6 4 5 2 3
7 11 5 9 4 8 2 6
9 9 7 7 6 6 4 4
8 7 6 5 5 4 3 2
13 13 11 11 10 10 8 8
9 9 7 7 7 7 5 5
6 8 4 6 4 6 2 4
6 22 4 20 4 20 2 18
8 6 6 4 6 4 4 2
6 13 4 11 4 11 2 9
8 27 6 25 5 24 3 22
7 8 5 6 4 5 2 3
8 9 6 7 5 6 3 4
