original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
4 5 2 3 6 7 4 5
4 4 2 2 6 6 4 4
6 6 4 4 8 8 6 6
16 11 14 9 19 14 17 12
13 20 11 18 15 22 13 20
19 16 17 14 22 19 20 17
4 4 2 2 6 6 4 4
5 6 3 4 7 8 5 6
4 5 2 3 7 8 5 6
6 6 4 4 8 8 6 6
4 4 2 2 6 6 4 4
10 9 8 7 15 14 13 12
18 30 16 28 21 33 19 31
4 5 2 3 7 8 5 6
10 15 8 13 12 17 10 15
8 12 6 10 10 14 8 12
9 7 7 5 15 13 13 11
10 11 8 9 13 14 11 12
8 10 6 8 10 12 8 10
8 7 6 5 10 9 8 7
4 4 2 2 6 6 4 4
16 16 14 14 19 19 17 17
6 7 4 5 9 10 7 8
13 20 11 18 15 22 13 20
15 12 13 10 17 14 15 12
11 9 9 7 13 11 11 9
11 9 9 7 15 13 13 11
5 6 3 4 7 8 5 6
4 5 2 3 6 7 4 5
4 5 2 3 7 8 5 6
19 18 17 16 21 20 19 18
24 23 22 21 27 26 25 24
4 5 2 3 7 8 5 6
4 5 2 3 7 8 5 6
17 13 15 11 21 17 19 15
7 6 5 4 10 9 8 7
4 4 2 2 6 6 4 4
7 7 5 5 11 11 9 9
4 4 2 2 6 6 4 4
5 6 3 4 7 8 5 6
4 5 2 3 7 8 5 6
7 8 5 6 10 11 8 9
6 8 4 6 8 10 6 8
5 4 3 2 8 7 6 5
6 5 4 3 8 7 6 5
5 4 3 2 8 7 6 5
7 6 5 4 11 10 9 8
10 10 8 8 12 12 10 10
10 9 8 7 12 11 10 9
4 5 2 3 7 8 5 6
13 18 11 16 16 21 14 19
5 4 3 2 8 7 6 5
5 4 3 2 7 6 5 4
6 6 4 4 10 10 8 8
11 9 9 7 16 14 14 12
9 7 7 5 11 9 9 7
10 10 8 8 12 12 10 10
4 4 2 2 6 6 4 4
10 11 8 9 13 14 11 12
7 7 5 5 11 11 9 9
10 11 8 9 13 14 11 12
12 11 10 9 16 15 14 13
4 4 2 2 6 6 4 4
4 4 2 2 6 6 4 4
10 12 8 10 14 16 12 14
8 5 6 3 11 8 9 6
36 24 34 22 41 29 39 27
4 5 2 3 7 8 5 6
16 17 14 15 19 20 17 18
28 23 26 21 30 25 28 23
6 8 4 6 8 10 6 8
18 20 16 18 21 23 19 21
40 45 38 43 42 47 40 45
8 7 6 5 10 9 8 7
8 7 6 5 10 9 8 7
4 4 2 2 6 6 4 4
16 14 14 12 18 16 16 14
33 54 31 52 35 56 33 54
21 14 19 12 23 16 21 14
7 9 5 7 10 12 8 10
12 18 10 16 14 20 12 18
12 13 10 11 14 15 12 13
9 7 7 5 11 9 9 7
11 11 9 9 14 14 12 12
13 19 11 17 15 21 13 19
5 6 3 4 7 8 5 6
5 4 3 2 8 7 6 5
8 8 6 6 11 11 9 9
23 29 21 27 25 31 23 29
8 11 6 9 11 14 9 12
10 10 8 8 12 12 10 10
21 31 19 29 23 33 21 31
4 4 2 2 6 6 4 4
6 8 4 6 8 10 6 8
24 21 22 19 27 24 25 22
21 20 19 18 24 23 22 21
10 9 8 7 13 12 11 10
4 4 2 2 6 6 4 4
14 12 12 10 16 14 14 12
12 12 10 10 14 14 12 12
5 6 3 4 8 9 6 7
14 17 12 15 17 20 15 18
23 17 21 15 30 24 28 22
6 6 4 4 9 9 7 7
5 5 3 3 7 7 5 5
11 11 9 9 13 13 11 11
6 6 4 4 8 8 6 6
40 44 38 42 42 46 40 44
7 7 5 5 9 9 7 7
13 12 11 10 16 15 14 13
16 14 14 12 21 19 19 17
7 5 5 3 11 9 9 7
31 28 29 26 37 34 35 32
22 17 20 15 25 20 23 18
6 4 4 2 10 8 8 6
11 7 9 5 13 9 11 7
6 6 4 4 9 9 7 7
5 4 3 2 8 7 6 5
10 11 8 9 13 14 11 12
25 36 23 34 28 39 26 37
21 28 19 26 24 31 22 29
