original_content variant_content original_content_hudson variant_content_hudson original_function variant_function original_function_hudson variant_function_hudson
6 9 4 7 4 7 2 5
11 10 9 8 9 8 7 6
12 12 10 10 10 10 8 8
9 9 7 7 7 7 5 5
20 20 18 18 18 18 16 16
10 9 8 7 8 7 6 5
10 10 8 8 8 8 6 6
24 20 22 18 22 18 20 16
10 14 8 12 8 12 6 10
21 21 19 19 19 19 17 17
68 68 66 66 66 66 64 64
7 7 5 5 5 5 3 3
7 7 5 5 5 5 3 3
7 7 5 5 5 5 3 3
11 8 9 6 9 6 7 4
12 14 10 12 10 12 8 10
13 12 11 10 11 10 9 8
20 23 18 21 18 21 16 19
10 9 8 7 8 7 6 5
8 9 6 7 6 7 4 5
12 15 10 13 7 10 5 8
14 15 12 13 12 13 10 11
14 15 12 13 12 13 10 11
9 6 7 4 7 4 5 2
29 23 27 21 27 21 25 19
14 15 12 13 12 13 10 11
14 11 12 9 12 9 10 7
13 15 11 13 11 13 9 11
10 12 8 10 6 8 4 6
10 11 8 9 8 9 6 7
15 15 13 13 13 13 11 11
16 15 14 13 14 13 12 11
6 6 4 4 4 4 2 2
12 12 10 10 10 10 8 8
12 5 10 3 10 3 8 1
9 8 7 6 7 6 5 4
8 8 6 6 6 6 4 4
19 18 17 16 16 15 14 13
31 29 29 27 29 27 27 25
9 9 7 7 7 7 5 5
13 15 11 13 11 13 9 11
20 18 18 16 15 13 13 11
13 11 11 9 11 9 9 7
7 6 5 4 5 4 3 2
16 18 14 16 14 16 12 14
17 22 15 20 15 20 13 18
10 10 8 8 8 8 6 6
8 12 6 10 6 10 4 8
14 12 12 10 12 10 10 8
16 14 14 12 14 12 12 10
21 11 19 9 19 9 17 7
16 17 14 15 14 15 12 13
10 11 8 9 8 9 6 7
20 24 18 22 18 22 16 20
15 14 13 12 13 12 11 10
18 18 16 16 16 16 14 14
15 10 13 8 13 8 11 6
12 9 10 7 10 7 8 5
11 11 9 9 9 9 7 7
8 9 6 7 6 7 4 5
7 6 5 4 5 4 3 2
10 11 8 9 8 9 6 7
7 6 5 4 5 4 3 2
11 11 9 9 9 9 7 7
92 91 90 89 90 89 88 87
7 8 5 6 5 6 3 4
10 12 8 10 8 10 6 8
16 12 14 10 14 10 12 8
6 7 4 5 4 5 2 3
10 32 8 30 8 30 6 28
10 9 8 7 8 7 6 5
12 14 10 12 10 12 8 10
11 10 9 8 9 8 7 6
11 8 9 6 9 6 7 4
11 10 9 8 9 8 7 6
8 10 6 8 4 6 2 4
21 16 19 14 19 14 17 12
16 10 14 8 14 8 12 6
12 14 10 12 7 9 5 7
12 12 10 10 10 10 8 8
33 26 31 24 31 24 29 22
46 41 44 39 44 39 42 37
10 11 8 9 8 9 6 7
12 11 10 9 10 9 8 7
22 25 20 23 20 23 18 21
10 10 8 8 8 8 6 6
9 19 7 17 7 17 5 15
10 9 8 7 8 7 6 5
7 6 5 4 5 4 3 2
9 9 7 7 7 7 5 5
12 12 10 10 9 9 7 7
11 13 9 11 9 11 7 9
12 12 10 10 10 10 8 8
12 31 10 29 10 29 8 27
16 17 14 15 14 15 12 13
19 15 17 13 17 13 15 11
12 14 10 12 10 12 8 10
13 16 11 14 11 14 9 12
6 6 4 4 4 4 2 2
13 15 11 13 11 13 9 11
13 13 11 11 11 11 9 9
12 11 10 9 10 9 8 7
13 11 11 9 11 9 9 7
25 23 23 21 23 21 21 19
28 14 26 12 26 12 24 10
11 11 9 9 9 9 7 7
20 15 18 13 18 13 16 11
13 24 11 22 11 22 9 20
9 10 7 8 7 8 5 6
17 17 15 15 15 15 13 13
7 6 5 4 5 4 3 2
8 9 6 7 6 7 4 5
10 10 8 8 7 7 5 5
6 -30 4 -32 4 -32 2 -34
15 16 13 14 13 14 11 12
12 12 10 10 10 10 8 8
12 9 10 7 10 7 8 5
12 13 10 11 10 11 8 9
19 19 17 17 17 17 15 15
10 10 8 8 8 8 6 6
8 11 6 9 6 9 4 7
15 14 13 12 13 12 11 10
12 14 10 12 10 12 8 10
