Language,position,diff,Mean,CI25,CI975
Galician,en,1,74.1983870967742,58.06,87.1
Galician,en,2-4,72.72236363636364,60.0,83.64
Galician,en,5-6,97.02352941176471,91.18,100.0
Galician,en,larger than 7,94.72,89.47,98.68
Portuguese,zh,1,57.40428571428571,28.57,85.71
Portuguese,zh,2-4,37.171851851851855,18.52,55.56
Portuguese,zh,5-6,39.908,0.0,80.0
Portuguese,zh,larger than 7,42.754285714285714,21.43,71.43
Slovenian,en,1,65.1854347826087,52.17,78.26
Slovenian,en,2-4,72.27407407407408,59.26,83.33
Slovenian,en,5-6,84.9905,70.0,100.0
Slovenian,en,larger than 7,88.0692,76.0,100.0
Spanish,en,1,57.092127272727275,52.91,61.09
Spanish,en,2-4,74.61638323353293,71.62,77.6
Spanish,en,5-6,81.32315175097277,76.65,85.99
Spanish,en,larger than 7,91.43194189602447,89.3,93.58
Ukrainian,en,1,66.74234567901235,56.79,76.54
Ukrainian,en,2-4,85.57775510204081,75.51,93.88
Ukrainian,en,5-6,81.91454545454545,54.55,100.0
Ukrainian,en,larger than 7,100.0,100.0,100.0
Japanese,ja,1,62.211777777777776,48.89,75.56
Japanese,ja,2-4,50.02293103448276,37.93,62.07
Japanese,ja,5-6,89.847,70.0,100.0
Japanese,ja,larger than 7,65.58307692307692,46.15,84.62
Swedish,en,1,64.18194029850746,55.97,72.39
Swedish,en,2-4,80.37176470588236,73.86,86.27
Swedish,en,5-6,90.80227272727272,77.27,100.0
Swedish,en,larger than 7,93.09827586206896,86.21,98.28
Hebrew,en,1,64.33563829787234,57.45,71.28
Hebrew,en,2-4,78.38306620209059,73.52,82.93
Hebrew,en,5-6,91.31807692307692,85.58,96.15
Hebrew,en,larger than 7,97.06394957983193,94.96,99.16
German,en,1,53.80775798847564,51.6,56.0
German,en,2-4,59.89065881092662,57.69,62.08
German,en,5-6,72.0771062992126,68.11,75.98
German,en,larger than 7,79.7377105263158,76.84,82.63
English,en,1,57.6311214953271,52.34,62.93
English,en,2-4,70.83797530864197,66.42,75.06
English,en,5-6,79.33619834710744,71.9,85.95
English,en,larger than 7,92.11466666666666,87.88,95.76
Slovak,en,1,81.00756756756756,67.57,91.89
Slovak,en,2-4,100.0,100.0,100.0
Slovak,en,5-6,100.0,100.0,100.0
Slovak,en,larger than 7,100.0,100.0,100.0
Bulgarian,zh,1,51.963478260869564,30.43,73.91
Bulgarian,zh,2-4,35.50032258064516,19.35,51.61
Bulgarian,zh,5-6,0.0,0.0,0.0
Bulgarian,zh,larger than 7,100.0,100.0,100.0
Latvian,en,1,38.28,19.05,57.14
Latvian,en,2-4,77.7011111111111,44.44,100.0
Latvian,en,5-6,100.0,100.0,100.0
Latvian,en,larger than 7,100.0,100.0,100.0
Portuguese,en,1,57.11214285714286,46.94,66.33
Portuguese,en,2-4,70.70286624203821,63.69,77.71
Portuguese,en,5-6,79.26018867924529,67.92,88.68
Portuguese,en,larger than 7,88.18050847457627,82.2,94.07
Slovenian,zh,1,50.611518987341775,39.24,62.03
Slovenian,zh,2-4,54.16950819672131,40.98,67.21
Slovenian,zh,5-6,80.085,50.0,100.0
Slovenian,zh,larger than 7,84.948,65.0,100.0
Spanish,zh,1,42.127105263157894,26.32,57.89
Spanish,zh,2-4,32.909,22.86,44.29
Spanish,zh,5-6,36.828947368421055,15.79,57.89
Spanish,zh,larger than 7,21.026315789473685,5.26,42.11
Hindi,ja,1,50.401968503937006,45.41,55.38
Hindi,ja,2-4,43.48456233421751,38.46,48.54
Hindi,ja,5-6,45.47882352941176,33.82,57.35
Hindi,ja,larger than 7,47.056588235294114,36.47,57.65
Irish,en,1,60.68964285714286,42.86,78.57
Irish,en,2-4,93.434,80.0,100.0
Irish,en,5-6,74.9975,37.5,100.0
Irish,en,larger than 7,85.67285714285714,64.29,100.0
Danish,en,1,60.65313725490196,47.06,74.51
Danish,en,2-4,82.78211538461538,71.15,92.31
Danish,en,5-6,100.0,100.0,100.0
Danish,en,larger than 7,89.24945945945946,78.38,97.3
Ukrainian,zh,1,53.42302325581395,39.53,67.44
Ukrainian,zh,2-4,37.86034482758621,20.69,55.17
Ukrainian,zh,5-6,60.002,30.0,90.0
Ukrainian,zh,larger than 7,77.74222222222222,44.44,100.0
Afrikaans,zh,1,62.915925925925926,44.44,81.48
Afrikaans,zh,2-4,69.972,53.33,86.67
Afrikaans,zh,5-6,75.085,37.5,100.0
Afrikaans,zh,larger than 7,77.94111111111111,44.44,100.0
English,zh,1,33.46066666666667,13.33,60.0
English,zh,2-4,50.008,30.0,70.0
English,zh,5-6,25.0475,0.0,75.0
English,zh,larger than 7,33.45777777777778,0.0,66.67
Bulgarian,en,1,47.849583333333335,33.33,62.5
Bulgarian,en,2-4,70.2180701754386,57.89,82.46
Bulgarian,en,5-6,66.576,40.0,86.67
Bulgarian,en,larger than 7,85.78714285714285,64.29,100.0
