Language,Len,Mean,CI25,CI975
Polish,Shorter PP closer,35.22,29.87,40.57
Polish,Longer PP closer,29.56,24.53,34.59
Polish,Equal length,35.22,29.87,40.57
Czech,Shorter PP closer,36.28,33.96,38.6
Czech,Longer PP closer,35.67,33.35,37.99
Czech,Equal length,28.05,25.91,30.24
Slovenian,Shorter PP closer,39.52,33.47,45.56
Slovenian,Longer PP closer,29.03,23.39,34.68
Slovenian,Equal length,31.45,25.81,37.1
Bulgarian,Shorter PP closer,33.76,23.38,44.16
Bulgarian,Longer PP closer,44.15,33.77,55.84
Bulgarian,Equal length,22.09,12.99,31.17
Russian,Shorter PP closer,39.4,37.04,41.75
Russian,Longer PP closer,31.72,29.49,33.96
Russian,Equal length,28.88,26.71,31.06
German,Shorter PP closer,39.43,38.64,40.22
German,Longer PP closer,40.22,39.43,41
German,Equal length,20.35,19.71,21
Croatian,Shorter PP closer,40.4,32.45,48.34
Croatian,Longer PP closer,35.76,28.48,43.71
Croatian,Equal length,23.84,17.22,30.46
Dutch,Shorter PP closer,44.17,40.32,48
Dutch,Longer PP closer,30.56,27.04,34.24
Dutch,Equal length,25.28,21.92,28.64
Ukrainian,Shorter PP closer,38.84,30.58,47.93
Ukrainian,Longer PP closer,36.36,28.1,44.63
Ukrainian,Equal length,24.8,17.36,33.06
English,Shorter PP closer,34.55,21.82,47.27
English,Longer PP closer,52.73,40,65.45
English,Equal length,12.72,5.45,21.82
