Language,Len,Mean,CI25,CI975
Dutch,Shorter PP closer,56.64,52.07,61.22
Dutch,Longer PP closer,25.93,22,30.07
Dutch,Equal length,17.43,13.94,20.92
Ukrainian,Shorter PP closer,53.59,47.26,59.92
Ukrainian,Longer PP closer,15.19,10.97,19.83
Ukrainian,Equal length,31.22,25.32,37.13
English,Shorter PP closer,57.6,54.88,60.32
English,Longer PP closer,23.36,21.04,25.76
English,Equal length,19.04,16.88,21.2
German,Shorter PP closer,48.7,47.48,49.94
German,Longer PP closer,30.11,28.98,31.23
German,Equal length,21.19,20.19,22.19
Croatian,Shorter PP closer,61.31,55.74,66.89
Croatian,Longer PP closer,20.33,16.07,24.92
Croatian,Equal length,18.36,14.1,22.95
Bulgarian,Shorter PP closer,51.83,43.9,59.76
Bulgarian,Longer PP closer,29.88,23.17,37.2
Bulgarian,Equal length,18.29,12.8,24.39
Russian,Shorter PP closer,63.06,61.04,65.08
Russian,Longer PP closer,14.64,13.17,16.15
Russian,Equal length,22.3,20.56,24.05
Polish,Shorter PP closer,54.81,51.6,58.01
Polish,Longer PP closer,10.26,8.33,12.29
Polish,Equal length,34.93,31.94,38.03
Slovenian,Shorter PP closer,54,47,61
Slovenian,Longer PP closer,18.5,13.5,24
Slovenian,Equal length,27.5,21.5,34
Czech,Shorter PP closer,55.48,53.73,57.23
Czech,Longer PP closer,19.46,18.07,20.85
Czech,Equal length,25.06,23.54,26.61
