Language,Len,Mean,CI25,CI975
Greek,Shorter PP closer,69.29,61.42,77.17
Greek,Longer PP closer,19.69,13.39,26.77
Greek,Equal length,11.02,5.51,16.54
Serbian,Shorter PP closer,68.92,62.15,75.71
Serbian,Longer PP closer,21.47,15.82,27.68
Serbian,Equal length,9.61,5.65,14.12
Indonesian,Shorter PP closer,56.86,51.82,61.9
Indonesian,Longer PP closer,22.97,18.77,27.45
Indonesian,Equal length,20.17,15.97,24.37
Arabic,Shorter PP closer,70.05,66.31,73.8
Arabic,Longer PP closer,17.65,14.62,20.86
Arabic,Equal length,12.3,9.63,15.15
Swedish,Shorter PP closer,57.99,53.69,62.3
Swedish,Longer PP closer,17.21,13.93,20.7
Swedish,Equal length,24.79,21.11,28.69
Galician,Shorter PP closer,76.02,70.14,81.45
Galician,Longer PP closer,12.67,8.6,17.19
Galician,Equal length,11.31,7.24,15.84
Norwegian,Shorter PP closer,52.91,50.19,55.56
Norwegian,Longer PP closer,20.41,18.29,22.6
Norwegian,Equal length,26.68,24.34,29.1
Irish,Shorter PP closer,59.04,48.19,69.88
Irish,Longer PP closer,19.28,10.84,27.71
Irish,Equal length,21.69,13.25,31.33
Danish,Shorter PP closer,59.09,52.02,65.66
Danish,Longer PP closer,16.66,11.62,22.22
Danish,Equal length,24.24,18.18,30.3
Slovak,Shorter PP closer,53.5,44.74,62.28
Slovak,Longer PP closer,6.14,1.75,10.53
Slovak,Equal length,40.36,31.58,49.12
Latvian,Shorter PP closer,37.28,25.42,49.15
Latvian,Longer PP closer,25.42,15.25,37.29
Latvian,Equal length,37.29,25.42,49.15
Hebrew,Shorter PP closer,69.71,66.8,72.61
Hebrew,Longer PP closer,15.04,12.86,17.32
Hebrew,Equal length,15.25,12.97,17.53
