Language,Len,Mean,CI25,CI975
Portuguese,Shorter PP closer,37.13,25.71,48.57
Portuguese,Longer PP closer,48.58,37.14,60
Portuguese,Equal length,14.29,7.14,22.86
Italian,Shorter PP closer,33.33,28.18,38.48
Italian,Longer PP closer,50.91,45.45,56.36
Italian,Equal length,15.76,11.82,19.7
Romanian,Shorter PP closer,30.64,19.35,41.94
Romanian,Longer PP closer,50,37.1,62.9
Romanian,Equal length,19.36,9.68,29.03
Catalan,Shorter PP closer,29.56,21.74,38.26
Catalan,Longer PP closer,60.01,51.3,68.7
Catalan,Equal length,10.44,5.22,16.52
Spanish,Shorter PP closer,27.47,20.88,34.07
Spanish,Longer PP closer,52.75,45.6,59.89
Spanish,Equal length,19.78,14.29,25.82
French,Shorter PP closer,33.77,26.49,41.72
French,Longer PP closer,49.01,41.06,56.95
French,Equal length,17.22,11.26,23.18
