Language,Len,Mean,Std
Portuguese,Shorter PP closer,37.14,6.82
Portuguese,Longer PP closer,48.57,7.06
Portuguese,Equal length,14.29,4.95
Italian,Shorter PP closer,33.34,6.67
Italian,Longer PP closer,50.91,7.08
Italian,Equal length,15.75,5.15
Romanian,Shorter PP closer,30.64,6.51
Romanian,Longer PP closer,50.01,7.07
Romanian,Equal length,19.35,5.59
Catalan,Shorter PP closer,29.56,6.46
Catalan,Longer PP closer,60,6.93
Catalan,Equal length,10.43,4.33
Spanish,Shorter PP closer,27.48,6.31
Spanish,Longer PP closer,52.74,7.06
Spanish,Equal length,19.79,5.63
French,Shorter PP closer,33.78,6.69
French,Longer PP closer,49,7.07
French,Equal length,17.22,5.35
