Language,Len,Mean,CI25,CI975
Catalan,Shorter PP closer,64.85,61.34,68.35
Catalan,Longer PP closer,23.11,20.03,26.19
Catalan,Equal length,12.04,9.66,14.43
Spanish,Shorter PP closer,65.27,63.47,67.07
Spanish,Longer PP closer,20.66,19.12,22.19
Spanish,Equal length,14.07,12.76,15.42
French,Shorter PP closer,64.67,62.7,66.64
French,Longer PP closer,22.99,21.24,24.73
French,Equal length,12.34,11,13.73
Romanian,Shorter PP closer,63.3,59.22,67.2
Romanian,Longer PP closer,20.04,16.84,23.4
Romanian,Equal length,16.67,13.65,19.86
Italian,Shorter PP closer,69.1,67.18,71.02
Italian,Longer PP closer,18.56,16.96,20.2
Italian,Equal length,12.34,10.97,13.71
Portuguese,Shorter PP closer,62.1,57.94,66.27
Portuguese,Longer PP closer,22.42,18.85,26.19
Portuguese,Equal length,15.48,12.3,18.65
