Language,Len,Mean,Std
Catalan,Shorter PP closer,64.86,6.75
Catalan,Longer PP closer,23.1,5.96
Catalan,Equal length,12.04,4.6
Spanish,Shorter PP closer,65.26,6.74
Spanish,Longer PP closer,20.66,5.73
Spanish,Equal length,14.08,4.92
French,Shorter PP closer,64.68,6.76
French,Longer PP closer,22.98,5.95
French,Equal length,12.34,4.65
Romanian,Shorter PP closer,63.31,6.81
Romanian,Longer PP closer,20.03,5.66
Romanian,Equal length,16.67,5.27
Italian,Shorter PP closer,69.09,6.53
Italian,Longer PP closer,18.56,5.49
Italian,Equal length,12.34,4.65
Portuguese,Shorter PP closer,62.1,6.87
Portuguese,Longer PP closer,22.42,5.91
Portuguese,Equal length,15.47,5.11
